Table:CsvAbyssCalc,,,,,
tid,l_param,r_param,buff_id,random_l,random_r
# 对手计算表（波数）,排名左系数,排名右系数,,左随机边界,右随即边界
1,-200,-150,,301,330
2,-149,-100,,271,300
3,-99,-50,,241,270
4,-49,-40,,211,240
5,-39,-30,,181,210
6,-29,-10,,151,180
7,-9,10,,121,150
8,11,50,,81,120
9,51,100,,51,80
10,101,200,,26,50
11,201,400,,11,25
12,401,1000,,4,10
13,99990,99996,,2,3
14,99997,99999,,1,1
15,99999,100000,80001,1,1
16,99999,100000,80002,1,1
17,99999,100000,80003,1,1
18,99999,100000,80004,1,1
19,99999,100000,80005,1,1
20,99999,100000,80006,1,1
