Table:CsvAbyssStoneLimit,,,
tid,start_vip,end_vip,max_stone
# 试炼重生石的累计上限表,起始vip,结束vip,奖励物品列表
#,（包括）,（包括）,最多四个
1,0,15,1
,,,
Table:CsvAbyssRefreshLimit,,,
tid,start_vip,end_vip,max_refresh
#试炼商店刷新次数限定,起始vip,结束vip,刷新次数上限
#,（包括）,（包括）,
1,0,1,1
2,2,3,2
3,4,4,3
4,5,5,4
5,6,6,5
6,7,7,6
7,8,8,7
8,9,9,8
9,10,15,10
,,,
Table:CsvAbyssRefreshCost,,,
tid,time,cost,
#试炼商店刷新次数消耗表,次数（小于等于这个次数对应右边消耗，从最小的开始判断）,消耗钻石数,
1,1,20,
2,2,50,
3,3,100,
4,4,200,
5,5,300,
6,6,400,
7,7,500,
8,8,500,
9,9,500,
10,10,500,
