Table:CsvAchievement,,,,,,,,,,,,,,,,
tid,type:AchievementType,achieve_desc:s,icon_path:s,condition_type,appear_condition,completion_condition,is_repeat:b,is_phypower:b,award1,award1_number,award2,award2_number,award3,award3_number,award4,award4_number
#,所属标签,成就描述,图标路径,条件类型(1、大于 2、小于 3、等于 都是前面一个数与后面一个数进行对比),出现条件(预留),完成条件,是否可重复领取（预留）,体力奖励标识（预留）,奖励1,奖励1数量,奖励2,奖励2数量,奖励3,奖励3数量,奖励4,奖励4数量
10000,指挥官等级,指挥官等级达到10级,DailyTask/rcrw_dengji,1,5,10,0,0,103,50,107,20000,108,200,,
10001,指挥官等级,指挥官等级达到20级,DailyTask/rcrw_dengji,1,15,20,0,0,103,50,107,20000,108,1000,,
10002,指挥官等级,指挥官等级达到30级,DailyTask/rcrw_dengji,1,25,30,0,0,103,50,107,30000,108,2000,,
10003,指挥官等级,指挥官等级达到40级,DailyTask/rcrw_dengji,1,35,40,0,0,103,50,107,50000,108,2000,,
10004,指挥官等级,指挥官等级达到50级,DailyTask/rcrw_dengji,1,45,50,0,0,103,50,107,50000,108,2000,,
10005,指挥官等级,指挥官等级达到55级,DailyTask/rcrw_dengji,1,50,55,0,0,103,50,107,50000,108,2000,,
10006,指挥官等级,指挥官等级达到60级,DailyTask/rcrw_dengji,1,55,60,0,0,103,50,107,50000,108,2000,,
10007,指挥官等级,指挥官等级达到65级,DailyTask/rcrw_dengji,1,60,65,0,0,103,50,107,50000,108,2000,,
10008,指挥官等级,指挥官等级达到70级,DailyTask/rcrw_dengji,1,65,70,0,0,103,50,107,50000,108,2000,,
10009,指挥官等级,指挥官等级达到75级,DailyTask/rcrw_dengji,1,70,75,0,0,103,50,107,50000,108,2000,,
10010,指挥官等级,指挥官等级达到80级,DailyTask/rcrw_dengji,1,75,80,0,0,103,50,107,50000,108,2000,,
10011,指挥官等级,指挥官等级达到85级,DailyTask/rcrw_dengji,1,80,85,0,0,103,50,107,50000,108,2000,,
10012,指挥官等级,指挥官等级达到90级,DailyTask/rcrw_dengji,1,85,90,0,0,103,50,107,50000,108,2000,,
10013,指挥官等级,指挥官等级达到95级,DailyTask/rcrw_dengji,1,90,95,0,0,103,50,107,50000,108,2000,,
10014,指挥官等级,指挥官等级达到100级,DailyTask/rcrw_dengji,1,95,100,0,0,103,50,107,50000,108,2000,,
10015,指挥官等级,指挥官等级达到105级,DailyTask/rcrw_dengji,1,100,105,0,0,103,50,107,50000,108,2000,,
10016,指挥官等级,指挥官等级达到110级,DailyTask/rcrw_dengji,1,105,110,0,0,103,50,107,50000,108,2000,,
10017,指挥官等级,指挥官等级达到115级,DailyTask/rcrw_dengji,1,110,115,0,0,103,50,107,50000,108,2000,,
10018,指挥官等级,指挥官等级达到120级,DailyTask/rcrw_dengji,1,115,120,0,0,103,50,107,50000,108,2000,,
20000,战力GS,战力GS达到5万,DailyTask/rcrw_zhanli,1,1,50000,0,0,103,100,,,,,,
20001,战力GS,战力GS达到10万,DailyTask/rcrw_zhanli,1,50000,100000,0,0,103,100,,,,,,
20002,战力GS,战力GS达到20万,DailyTask/rcrw_zhanli,1,100000,200000,0,0,103,100,,,,,,
20003,战力GS,战力GS达到30万,DailyTask/rcrw_zhanli,1,200000,300000,0,0,103,100,,,,,,
20004,战力GS,战力GS达到40万,DailyTask/rcrw_zhanli,1,300000,400000,0,0,103,100,,,,,,
20005,战力GS,战力GS达到50万,DailyTask/rcrw_zhanli,1,400000,500000,0,0,103,100,,,,,,
20006,战力GS,战力GS达到60万,DailyTask/rcrw_zhanli,1,500000,600000,0,0,103,100,,,,,,
20007,战力GS,战力GS达到80万,DailyTask/rcrw_zhanli,1,600000,800000,0,0,103,100,,,,,,
20008,战力GS,战力GS达到100万,DailyTask/rcrw_zhanli,1,800000,1000000,0,0,103,100,,,,,,
20009,战力GS,战力GS达到120万,DailyTask/rcrw_zhanli,1,1000000,1200000,0,0,103,100,,,,,,
20010,战力GS,战力GS达到140万,DailyTask/rcrw_zhanli,1,1200000,1400000,0,0,103,100,,,,,,
20011,战力GS,战力GS达到160万,DailyTask/rcrw_zhanli,1,1400000,1600000,0,0,103,100,,,,,,
20012,战力GS,战力GS达到180万,DailyTask/rcrw_zhanli,1,1600000,1800000,0,0,103,100,,,,,,
20013,战力GS,战力GS达到200万,DailyTask/rcrw_zhanli,1,1800000,2000000,0,0,103,100,,,,,,
20014,战力GS,战力GS达到220万,DailyTask/rcrw_zhanli,1,2000000,2200000,0,0,103,100,,,,,,
20015,战力GS,战力GS达到240万,DailyTask/rcrw_zhanli,1,2200000,2400000,0,0,103,100,,,,,,
20016,战力GS,战力GS达到260万,DailyTask/rcrw_zhanli,1,2400000,2600000,0,0,103,100,,,,,,
20017,战力GS,战力GS达到280万,DailyTask/rcrw_zhanli,1,2600000,2800000,0,0,103,100,,,,,,
20018,战力GS,战力GS达到300万,DailyTask/rcrw_zhanli,1,2800000,3000000,0,0,103,100,,,,,,
20019,战力GS,战力GS达到320万,DailyTask/rcrw_zhanli,1,3000000,3200000,0,0,103,100,,,,,,
20020,战力GS,战力GS达到340万,DailyTask/rcrw_zhanli,1,3200000,3400000,0,0,103,100,,,,,,
30000,竞技场排名,竞技场排名达到3000,DailyTask/rcrw_jingjichang,2,10000,3000,0,0,103,200,,,,,,
30001,竞技场排名,竞技场排名达到2500,DailyTask/rcrw_jingjichang,2,3000,2500,0,0,103,200,,,,,,
30002,竞技场排名,竞技场排名达到2000,DailyTask/rcrw_jingjichang,2,2500,2000,0,0,103,200,,,,,,
30003,竞技场排名,竞技场排名达到1500,DailyTask/rcrw_jingjichang,2,2000,1500,0,0,103,200,,,,,,
30004,竞技场排名,竞技场排名达到1000,DailyTask/rcrw_jingjichang,2,1500,1000,0,0,103,200,,,,,,
30005,竞技场排名,竞技场排名达到500,DailyTask/rcrw_jingjichang,2,1000,500,0,0,103,200,,,,,,
30006,竞技场排名,竞技场排名达到300,DailyTask/rcrw_jingjichang,2,500,300,0,0,103,200,,,,,,
30007,竞技场排名,竞技场排名达到100,DailyTask/rcrw_jingjichang,2,300,100,0,0,103,200,,,,,,
30008,竞技场排名,竞技场排名达到50,DailyTask/rcrw_jingjichang,2,100,50,0,0,103,200,,,,,,
30009,竞技场排名,竞技场排名达到10,DailyTask/rcrw_jingjichang,2,50,10,0,0,103,200,,,,,,
30010,竞技场排名,竞技场排名达到3,DailyTask/rcrw_jingjichang,2,10,3,0,0,103,200,,,,,,
30011,竞技场排名,竞技场排名达到1,DailyTask/rcrw_jingjichang,2,3,1,0,0,103,200,,,,,,
40000,通关征战地图,通关第1张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,0,1,0,0,107,30000,108,1000,,,,
40001,通关征战地图,通关第2张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,1,2,0,0,107,50000,108,1000,,,,
40002,通关征战地图,通关第3张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,2,3,0,0,107,50000,108,1000,,,,
40003,通关征战地图,通关第4张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,3,4,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第5张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,4,5,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第6张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,5,6,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第7张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,6,7,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第8张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,7,8,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第9张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,8,9,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第10张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,9,10,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第11张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,10,11,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第12张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,11,12,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第13张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,12,13,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第14张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,13,14,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第15张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,14,15,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第16张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,15,16,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第17张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,16,17,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第18张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,17,18,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第19张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,18,19,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第20张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,19,20,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第21张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,20,21,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第22张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,21,22,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第23张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,22,23,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第24张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,23,24,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第25张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,24,25,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第26张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,25,26,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第27张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,26,27,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第28张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,27,28,0,0,107,50000,108,1000,,,,
