Table:CsvActivityBattle,,,,,
tid,name:s,need_level,pp_cost,drop_group,map:s
#,名称,开放等级,消耗体力,掉落组,地图预制名
60101,铜币-简单,23,0,501,JingJiChang
60102,铜币-普通,33,0,502,JingJiChang
60103,铜币-困难,43,0,503,JingJiChang
60104,铜币-英雄,53,0,504,JingJiChang
60105,铜币-噩梦,63,0,505,JingJiChang
60106,铜币-地狱,73,0,506,JingJiChang
60201,战魂-简单,23,0,521,JingJiChang
60202,战魂-普通,33,0,522,JingJiChang
60203,战魂-困难,43,0,523,JingJiChang
60204,战魂-英雄,53,0,524,JingJiChang
60205,战魂-噩梦,63,0,525,JingJiChang
60206,战魂-地狱,73,0,526,JingJiChang
60301,好感-简单,31,0,541,JingJiChang
60302,好感-普通,41,0,542,JingJiChang
60303,好感-困难,51,0,543,JingJiChang
60304,好感-英雄,61,0,544,JingJiChang
60305,好感-噩梦,71,0,545,JingJiChang
60306,好感-地狱,81,0,546,JingJiChang
60401,附魔-简单,31,0,561,JingJiChang
60402,附魔-普通,41,0,562,JingJiChang
60403,附魔-困难,51,0,563,JingJiChang
60404,附魔-英雄,61,0,564,JingJiChang
60405,附魔-噩梦,71,0,565,JingJiChang
60406,附魔-地狱,81,0,566,JingJiChang
60501,突破-简单,53,0,581,JingJiChang
60502,突破-普通,63,0,582,JingJiChang
60503,突破-困难,73,0,583,JingJiChang
60504,突破-英雄,83,0,584,JingJiChang
60505,突破-噩梦,93,0,585,JingJiChang
60506,突破-地狱,103,0,586,JingJiChang
60601,鉴定熔炼-简单,53,0,591,JingJiChang
60602,鉴定熔炼-普通,63,0,592,JingJiChang
60603,鉴定熔炼-困难,73,0,593,JingJiChang
60604,鉴定熔炼-英雄,83,0,594,JingJiChang
60605,鉴定熔炼-噩梦,93,0,595,JingJiChang
60606,鉴定熔炼-地狱,103,0,596,JingJiChang
