Table:CsvEquipAddAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,AttrNum,attr1:AttrType,value_min1,value_max1,Probability1,color1:ItemColor,attr2:AttrType,value_min2,value_max2,Probability2,color2:ItemColor,attr3:AttrType,value_min3,value_max3,Probability3,color3:ItemColor,attr4:AttrType,value_min4,value_max4,Probability4,color4:ItemColor,attr5:AttrType,value_min5,value_max5,Probability5,color5:ItemColor,attr6:AttrType,value_min6,value_max6,Probability6,color6:ItemColor,attr7:AttrType,value_min7,value_max7,Probability7,color7:ItemColor,attr8:AttrType,value_min8,value_max8,Probability8,color8:ItemColor,attr9:AttrType,value_min9,value_max9,Probability9,color9:ItemColor,attr10:AttrType,value_min10,value_max10,Probability10,color10:ItemColor,attr11:AttrType,value_min11,value_max11,Probability11,color11:ItemColor,attr12:AttrType,value_min12,value_max12,Probability12,color12:ItemColor,attr13:AttrType,value_min13,value_max13,Probability13,color13:ItemColor,attr14:AttrType,value_min14,value_max14,Probability14,color14:ItemColor,attr15:AttrType,value_min15,value_max15,Probability15,color15:ItemColor,attr16:AttrType,value_min16,value_max16,Probability16,color16:ItemColor,attr17:AttrType,value_min17,value_max17,Probability17,color17:ItemColor
#,属性条数,属性1,属性1下线,属性1上限,属性1概率,属性1颜色,属性2,属性2下线,属性2上限,属性2概率,属性2颜色,属性3,属性3下线,属性3上限,属性3概率,属性3颜色,属性4,属性4下线,属性4上限,属性4概率,属性4颜色,属性5,属性5下线,属性5上限,属性5概率,属性5颜色,属性6,属性6下线,属性6上限,属性6概率,属性6颜色,属性7,属性7下线,属性7上限,属性7概率,属性7颜色,属性8,属性8下线,属性8上限,属性8概率,属性8颜色,属性9,属性9下线,属性9上限,属性9概率,属性9颜色,属性10,属性10下线,属性10上限,属性10概率,属性10颜色,属性11,属性11下线,属性11上限,属性11概率,属性11颜色,属性12,属性12下线,属性12上限,属性12概率,属性12颜色,属性13,属性13下线,属性13上限,属性13概率,属性13颜色,属性14,属性14下线,属性14上限,属性14概率,属性14颜色,属性15,属性15下线,属性15上限,属性15概率,属性15颜色,属性16,属性16下线,属性16上限,属性16概率,属性16颜色,属性17,属性17下限,属性17上限,属性17概率,属性17颜色
1001101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1001102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1001201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1001202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1001301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1001302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1001401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1001402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1001501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
