Table:CsvLimitedShop,,,,,,,,,
tid,level,commodity_group,num,is_free,paid_refresh,commodity_id,discription:s,price_type:PriceType,price
#,等级组,商品组别,数量,是否元宝刷新,刷新概率,商品ID,描述,价格类型,价格(总价)
111001,1,1,1,1,1100,2012,逐日者碎片,英魂,270
111002,1,1,1,1,1100,2011,克总碎片,英魂,270
111003,1,1,1,1,1100,2027,牛头人酋长碎片,英魂,270
111004,1,1,1,1,1100,2020,半神碎片,英魂,270
111005,1,1,1,1,1100,2025,地狱咆哮碎片,英魂,270
111006,1,1,1,1,1100,2004,图拉扬碎片,英魂,270
111007,1,1,1,1,500,2008,先知碎片,英魂,135
111008,1,1,1,1,500,2010,大法师碎片,英魂,135
111009,1,1,1,1,500,2013,灰舌死誓者碎片,英魂,135
111010,1,1,1,1,500,2016,暮光首领碎片,英魂,135
111011,1,1,1,1,500,2003,血魔碎片,英魂,135
111012,1,1,1,1,30,2006,暴风摄政王碎片,英魂,90
111013,1,1,1,1,30,2014,霜狼督军碎片,英魂,90
111014,1,1,1,1,30,2017,基丹碎片,英魂,90
111015,1,1,1,1,30,2029,守望者碎片,英魂,90
111016,1,1,1,1,30,2030,刺客碎片,英魂,90
111017,1,1,1,1,30,2026,山丘之王碎片,英魂,90
111018,1,1,1,1,30,2005,银白十字军碎片,英魂,90
111019,1,1,1,1,30,2024,暗矛巨魔碎片,英魂,90
111020,1,1,1,1,30,2009,大主教碎片,英魂,90
111021,1,1,1,1,30,2015,天灾首领碎片,英魂,90
111022,1,1,1,1,30,2021,符文图腾碎片,英魂,90
111023,1,1,1,1,30,2018,恐惧魔王碎片,英魂,90
111024,1,1,1,1,30,2023,盘牙女王碎片,英魂,90
111025,1,1,2,1,40,2006,暴风摄政王碎片,英魂,180
111026,1,1,2,1,39,2014,霜狼督军碎片,英魂,180
111027,1,1,2,1,40,2017,基丹碎片,英魂,180
111028,1,1,2,1,39,2029,守望者碎片,英魂,180
111029,1,1,2,1,39,2030,刺客碎片,英魂,180
111030,1,1,2,1,39,2026,山丘之王碎片,英魂,180
111031,1,1,2,1,40,2005,银白十字军碎片,英魂,180
111032,1,1,2,1,39,2024,暗矛巨魔碎片,英魂,180
111033,1,1,2,1,39,2009,大主教碎片,英魂,180
111034,1,1,2,1,39,2015,天灾首领碎片,英魂,180
111035,1,1,2,1,39,2021,符文图腾碎片,英魂,180
111036,1,1,2,1,39,2018,恐惧魔王碎片,英魂,180
111037,1,1,2,1,39,2023,盘牙女王碎片,英魂,180
112001,1,2,1,1,496,100890,乔丹法杖,英魂,1000
112002,1,2,1,1,496,100900,一闪,英魂,1000
112003,1,2,1,1,497,100910,法力风暴护腿,英魂,1000
112004,1,2,1,1,497,100920,狮心头盔,英魂,1000
112005,1,2,1,1,497,100930,洞察法袍,英魂,1000
112006,1,2,1,1,497,100940,黑色龙鳞战靴,英魂,1000
112007,1,2,1,1,2,101180,亮木法杖,钻石,1200
112008,1,2,1,1,2,101190,斩首者康恩,钻石,1200
112009,1,2,1,1,2,101200,踏云腿甲,钻石,1200
112010,1,2,1,1,2,101210,风蛇的拥抱,钻石,1200
112011,1,2,1,1,2,101220,烈焰之环,钻石,1200
112012,1,2,1,1,2,101230,闪避之靴,钻石,1200
112013,1,2,1,1,2,101240,龙之召唤,钻石,1200
112014,1,2,1,1,1,101410,院长之杖,钻石,2000
112015,1,2,1,1,1,101420,奥兰纳的拥抱,钻石,2000
112016,1,2,1,1,1,101430,泰坦护腿,钻石,2000
112017,1,2,1,1,1,101440,瑞文戴尔之剑,钻石,2000
112018,1,2,1,1,1,101450,纳尔维之盔,钻石,2000
112019,1,2,1,1,1,101460,熔岩犬皮靴,钻石,2000
112020,1,2,1,1,1150,11089,乔丹法杖碎片,英魂,100
112021,1,2,1,1,1150,11090,一闪碎片,英魂,100
112022,1,2,1,1,1150,11091,法力风暴护腿碎片,英魂,100
112023,1,2,1,1,1150,11092,狮心头盔碎片,英魂,100
112024,1,2,1,1,1150,11093,洞察法袍碎片,英魂,100
112025,1,2,1,1,1150,11094,黑色龙鳞战靴碎片,英魂,100
112026,1,2,1,1,10,11118,亮木法杖碎片,钻石,120
112027,1,2,1,1,10,11119,斩首者康恩碎片,钻石,120
112028,1,2,1,1,10,11120,踏云腿甲碎片,钻石,120
112029,1,2,1,1,10,11121,风蛇的拥抱碎片,钻石,120
