Table:CsvAlchemyAward,,,,,
tid,name:s,type:AlchemyType,items:a,items_count:a,cost_diamond
#,名字,类型,奖励物品,奖励数量,激活消耗钻石
#闪避,,,最多四个,最多四个,
1001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
1002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
1003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
1004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
1005,第五天(初级炼金术),初级炼金术,"103,20031,40041,","200,1,3,",0
1006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
1007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
1008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
1009,第四天(大师炼金术),大师炼金术,"103,20031,40041,","600,1,3,",0
1010,第五天(大师炼金术),大师炼金术,"103,20032,40042,","600,1,1,",0
1011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
1012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
1013,第三天(宗师炼金术),宗师炼金术,"103,20031,40042,","1000,1,1,",0
1014,第四天(宗师炼金术),宗师炼金术,"103,20032,40042,","1000,1,1,",0
1015,第五天(宗师炼金术),宗师炼金术,"103,20033,40043,","1000,1,2,",0
#暴击,,,最多四个,最多四个,
2001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
2002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
2003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
2004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
2005,第五天(初级炼金术),初级炼金术,"103,20041,40041,","200,1,3,",0
2006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
2007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
2008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
2009,第四天(大师炼金术),大师炼金术,"103,20041,40041,","600,1,3,",0
2010,第五天(大师炼金术),大师炼金术,"103,20042,40042,","600,1,1,",0
2011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
2012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
2013,第三天(宗师炼金术),宗师炼金术,"103,20041,40042,","1000,1,1,",0
2014,第四天(宗师炼金术),宗师炼金术,"103,20042,40042,","1000,1,1,",0
2015,第五天(宗师炼金术),宗师炼金术,"103,20043,40043,","1000,1,2,",0
#韧性,,,最多四个,最多四个,
3001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
3002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
3003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
3004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
3005,第五天(初级炼金术),初级炼金术,"103,20081,40041,","200,1,3,",0
3006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
3007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
3008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
3009,第四天(大师炼金术),大师炼金术,"103,20081,40041,","600,1,3,",0
3010,第五天(大师炼金术),大师炼金术,"103,20082,40042,","600,1,1,",0
3011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
3012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
3013,第三天(宗师炼金术),宗师炼金术,"103,20081,40042,","1000,1,1,",0
3014,第四天(宗师炼金术),宗师炼金术,"103,20082,40042,","1000,1,1,",0
3015,第五天(宗师炼金术),宗师炼金术,"103,20083,40043,","1000,1,2,",0
#穿透,,,最多四个,最多四个,
4001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
4002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
4003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
4004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
4005,第五天(初级炼金术),初级炼金术,"103,20131,40041,","200,1,3,",0
4006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
4007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
4008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
4009,第四天(大师炼金术),大师炼金术,"103,20131,40041,","600,1,3,",0
4010,第五天(大师炼金术),大师炼金术,"103,20132,40042,","600,1,1,",0
4011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
4012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
4013,第三天(宗师炼金术),宗师炼金术,"103,20131,40042,","1000,1,1,",0
4014,第四天(宗师炼金术),宗师炼金术,"103,20132,40042,","1000,1,1,",0
4015,第五天(宗师炼金术),宗师炼金术,"103,20133,40043,","1000,1,2,",0
#格挡,,,最多四个,最多四个,
5001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
5002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
5003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
5004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
5005,第五天(初级炼金术),初级炼金术,"103,20001,40041,","200,1,3,",0
5006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
5007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
5008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
5009,第四天(大师炼金术),大师炼金术,"103,20001,40041,","600,1,3,",0
5010,第五天(大师炼金术),大师炼金术,"103,20002,40042,","600,1,1,",0
5011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
5012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
5013,第三天(宗师炼金术),宗师炼金术,"103,20001,40042,","1000,1,1,",0
5014,第四天(宗师炼金术),宗师炼金术,"103,20002,40042,","1000,1,1,",0
