Table:CsvArmyDonate,,,,,,,,,,,,,,,,,,
tid,m_donate,m_credit,m_army_money,m_gift_tid,m_gift_num,d_donate,d_credit,d_army_money,d_gift_tid,d_gift_num,s_donate,s_credit,s_army_money,s_gift_tid,s_gift_num,weekly_donate_cost,weekly_donate_credit,weekly_army_money
#建筑等级,铜币捐献每次消耗,铜币捐献每次获得军力,铜币捐献每次获得贡献值,铜币捐献赠送的物品（宝箱）,钻石捐献赠送的物品个数（宝箱）,钻石捐献每次消耗,钻石捐献每次获得军力,钻石捐献每次获得贡献值,钻石捐献赠送的物品（宝箱）,钻石捐献赠送的物品个数（宝箱）,至尊捐献每次消耗,至尊捐献每次获得军力,至尊捐献每次获得贡献值,至尊捐献赠送的物品（宝箱）,至尊捐献赠送的物品个数（宝箱）,每次周捐献消耗的徽记个数,每次周捐献获得军力,每次周捐献获得贡献值
1,50000,10,500,60004,1,50,20,1000,60005,1,200,30,1500,60006,1,1,40,5000
2,50000,11,500,60004,1,50,22,1000,60005,1,200,33,1500,60006,1,1,44,5000
3,50000,11,510,60004,2,50,22,1020,60005,2,200,33,1530,60006,2,1,44,5100
4,50000,12,510,60004,2,50,24,1020,60005,2,200,36,1530,60006,2,1,48,5100
5,50000,12,520,60004,3,50,24,1040,60005,3,200,36,1560,60006,3,1,48,5200
6,50000,13,520,60004,3,50,26,1040,60005,3,200,39,1560,60006,3,1,52,5200
7,50000,13,530,60004,4,50,26,1060,60005,4,200,39,1590,60006,4,1,52,5300
8,50000,14,530,60004,4,50,28,1060,60005,4,200,42,1590,60006,4,1,56,5300
9,50000,14,540,60004,5,50,28,1080,60005,5,200,42,1620,60006,5,1,56,5400
10,50000,15,540,60004,5,50,30,1080,60005,5,200,45,1620,60006,5,1,60,5400
11,50000,15,550,60004,5,50,30,1100,60005,5,200,45,1650,60006,5,1,60,5500
12,50000,16,550,60004,5,50,32,1100,60005,5,200,48,1650,60006,5,1,64,5500
13,50000,16,560,60004,5,50,32,1120,60005,5,200,48,1680,60006,5,1,64,5600
14,50000,17,560,60004,5,50,34,1120,60005,5,200,51,1680,60006,5,1,68,5600
15,50000,17,570,60004,5,50,34,1140,60005,5,200,51,1710,60006,5,1,68,5700
16,50000,18,570,60004,5,50,36,1140,60005,5,200,54,1710,60006,5,1,72,5700
17,50000,18,580,60004,5,50,36,1160,60005,5,200,54,1740,60006,5,1,72,5800
18,50000,19,580,60004,5,50,38,1160,60005,5,200,57,1740,60006,5,1,76,5800
19,50000,19,590,60004,5,50,38,1180,60005,5,200,57,1770,60006,5,1,76,5900
20,50000,20,590,60004,5,50,40,1180,60005,5,200,60,1770,60006,5,1,80,5900
21,50000,20,600,60004,5,50,40,1200,60005,5,200,60,1800,60006,5,1,80,6000
22,50000,21,600,60004,5,50,42,1200,60005,5,200,63,1800,60006,5,1,84,6000
23,50000,21,610,60004,5,50,42,1220,60005,5,200,63,1830,60006,5,1,84,6100
24,50000,22,610,60004,5,50,44,1220,60005,5,200,66,1830,60006,5,1,88,6100
25,50000,22,620,60004,5,50,44,1240,60005,5,200,66,1860,60006,5,1,88,6200
26,50000,23,620,60004,5,50,46,1240,60005,5,200,69,1860,60006,5,1,92,6200
27,50000,23,630,60004,5,50,46,1260,60005,5,200,69,1890,60006,5,1,92,6300
28,50000,24,630,60004,5,50,48,1260,60005,5,200,72,1890,60006,5,1,96,6300
29,50000,24,640,60004,5,50,48,1280,60005,5,200,72,1920,60006,5,1,96,6400
30,50000,25,640,60004,5,50,50,1280,60005,5,200,75,1920,60006,5,1,100,6400
