Table:CsvAward,,,,,
tid,name:s,items:a,items_count:a,heros:a,heros_count:a
#,名字,奖励物品列表,奖励物品数量列表,奖励英雄列表,奖励英雄数量列表
1,竞技场2分奖励,"110, 40020,107","60,5,15000,",,
2,竞技场4分奖励,"110, 40020,107","60,5,18000,",,
3,竞技场6分奖励,"110, 40020,107","60,5,21000,",,
4,竞技场8分奖励,"110, 40021,107","80,1,24000,",,
5,竞技场10分奖励,"110, 40012,107","100,1,30000,",,
6,竞技场12分奖励,"110, 40020,107","60,5,15000,",,
7,竞技场14分奖励,"110, 40020,107","60,5,18000,",,
8,竞技场16分奖励,"110, 40020,107","60,5,21000,",,
9,竞技场18分奖励,"110, 40021,107","80,1,24000,",,
10,竞技场20分奖励,"110, 40012,107","100,2,30000,",,
11,竞技场第1名奖励,"110, 103,107","1200,400,200000,",,
12,竞技场第2名奖励,"110, 103,107","1000,350,190000,",,
13,竞技场第3名奖励,"110, 103,107","900,300,180000,",,
14,竞技场第4名奖励,"110, 103,107","800,280,170000,",,
15,竞技场第5名奖励,"110, 103,107","750,260,160000,",,
16,竞技场第6名奖励,"110, 103,107","720,250,150000,",,
17,竞技场第7名奖励,"110, 103,107","690,240,140000,",,
18,竞技场第8名奖励,"110, 103,107","660,230,130000,",,
19,竞技场第9名奖励,"110, 103,107","630,220,120000,",,
20,竞技场第10名奖励,"110, 103,107","600,210,110000,",,
21,竞技场第20名奖励,"110, 103,107","550,200,100000,",,
22,竞技场第50名奖励,"110, 103,107","500,180,90000,",,
23,竞技场第100名奖励,"110, 103,107","450,150,80000,",,
24,竞技场第300名奖励,"110, 103,107","400,120,70000,",,
25,竞技场第500名奖励,"110, 103,107","350,100,60000,",,
26,竞技场第700名奖励,"110, 103,107","300,80,50000,",,
27,竞技场第1000名奖励,"110, 103,107","280,60,40000,",,
28,竞技场第2000名奖励,"110, 103,107","260,50,30000,",,
29,竞技场第3000名奖励,"110, 103,107","240,40,20000,",,
30,竞技场第3000名以外奖励,"110, 103,107","100,20,10000,",,
101,剧情任务1,"2107,106,107,","30,20,10000,",,
102,剧情任务2,"106,107,","20,20000,",,
103,剧情任务3,"106,107,","20,20000,",,
104,剧情任务4,"106,107,","20,20000,",,
105,剧情任务5,"106,107,","60,20000,",,
106,剧情任务6,"106,107,","300,20000,",,
107,剧情任务7,"106,107,100140,","500,20000,1,",,
108,剧情任务8,"106,107,200911,200912","600,20000,1,1",,
109,剧情任务9,"106,107,108,","50,20000,500,",,
110,剧情任务10,"106,107,108,100130,","50,20000,500,1,",,
111,剧情任务11,"106,107,108,","600,20000,500,",,
112,剧情任务12,"106,107,108,","600,20000,500,",,
113,剧情任务13,"106,107,108,","800,20000,500,",,
114,剧情任务14,"107,20091,40022,","20000,1,1,",,
115,剧情任务15,"106,107,42001,42002,","1000,20000,15,15,",,
116,剧情任务16,"106,107,100350,","100,20000,1,",,
117,剧情任务17,"106,107,2128,","100,20000,30,",,
118,剧情任务18,"106,107,","120,25000,",,
119,剧情任务19,"106,107,","140,30000,",,
120,剧情任务20,"106,107,","160,35000,",,
121,剧情任务21,"106,107,","180,40000,",,
122,剧情任务22,"106,107,","200,45000,",,
123,剧情任务23,"106,107,","200,50000,",,
124,剧情任务24,"106,107,","200,50000,",,
125,剧情任务25,"106,107,","200,50000,",,
126,剧情任务26,"106,107,","200,50000,",,
127,剧情任务27,"106,107,","200,50000,",,
128,剧情任务28,"106,107,","200,50000,",,
129,剧情任务29,"106,107,","200,50000,",,
130,剧情任务30,"106,107,","200,50000,",,
131,剧情任务31,"106,107,","200,50000,",,
132,剧情任务32,"106,107,","200,50000,",,
133,剧情任务33,"106,107,","200,50000,",,
134,剧情任务34,"106,107,","200,50000,",,
#,,,,,
1001,日常任务1,"107,40053,","10000,1,",,
1002,日常任务2,"107,50025,","20000,1,",,
1003,日常任务3,"107,40012,","30000,1,",,
1004,日常任务4,"107,50024,","50000,1,",,
#,,,,,
2001,军团活跃-日常任务1,116,50,,
2002,军团活跃-日常任务2,116,80,,
2003,军团活跃-日常任务3,"116,70001,","100,1,",,
2004,军团活跃-日常任务4,"116,44003,","120,1,",,
#,只首充礼包，只能有最多三个物品，一个英雄,,,,
8001,首充礼包,"100930,40014,107,","1,5,188888,",1022,1
