Table:CsvBattleMap,,,,,,,,,,,,,,
tid,name:s,need_level,battle_num,star1,drop_group1,star2,drop_group2,star3,drop_group3,prefab:s,dungeon,,,
#,名字,等级要求(玩家等级+15小于该等级则不能打),有几个副本,宝箱1需星星数,宝箱1,宝箱2需星星数,宝箱2,宝箱3需星星数,宝箱3,地图预制名,战役地图,,,
101,北郡,10,5,5,2011,,,,,beijunxiudaoyuan,,,,
102,闪金森林,14,6,3,2021,7,2022,,,aierwensenglin,,,,
103,西部旷野,18,7,7,2031,15,2032,,,xibuhuangye,201,,,
104,银松,21,10,10,2041,20,2042,30,2043,yinsongsenlin,202,,,
105,黑海岸,24,10,10,2051,20,2052,30,2053,heihaian,,,,
106,北贫瘠,27,10,10,2061,20,2062,30,2063,beipinjizhidi,203,,,
107,赤脊山,30,10,10,2071,20,2072,30,2073,chijishan,,,,
108,灰谷森林,33,10,10,2081,20,2082,30,2083,huigu,204,,,
109,湿地,36,10,10,2091,20,2092,30,2093,shidi,,,,
110,天灾林地,39,10,10,2101,20,2102,30,2103,tiruisifalindi,205,,,
111,希尔斯布莱德,42,10,10,2111,20,2112,30,2113,xiersibulaide,,,,
112,南贫瘠,45,10,10,2121,20,2122,30,2123,nanpinjizhidi,206,,,
113,夜色森林,48,10,10,2131,20,2132,30,2133,musesenlin,,,,
114,荒芜之地,51,10,10,2141,20,2142,30,2143,huangwuzhidi,207,,,
115,荆棘谷,54,10,10,2151,20,2152,30,2153,jingjigu,,,,
116,沙漠,57,10,10,2161,20,2162,30,2163,tanalisi,208,,,
117,尘泥,60,10,10,2171,20,2172,30,2173,chennizhaoze,,,,
118,凄凉,63,10,10,2181,20,2182,30,2183,qiliangzhidi,209,,,
119,高地,66,10,10,2191,20,2192,30,2193,alaxi,,,,
120,悲伤,69,10,10,2201,20,2202,30,2203,beishangzhaoze,210,,,
121,辛特兰,72,10,10,2211,20,2212,30,2213,xintelan,,,,
122,峡谷,75,10,10,2221,20,2222,30,2223,zhuorexiagu,211,,,
123,艾萨拉,78,10,10,2231,20,2232,30,2233,aisala,,,,
124,菲拉斯,81,10,10,2241,20,2242,30,2243,feilasi,212,,,
125,奥特兰克山脉,84,10,10,2251,20,2252,30,2253,aotelankeshanmai,,,,
126,西瘟疫,87,10,10,2261,20,2262,30,2263,xiwenyizhidi,213,,,
127,环形山,90,10,10,2271,20,2272,30,2273,angeluohuanxingshan,,,,
128,东瘟疫,93,10,10,2281,20,2282,30,2283,dongwenyizhidi,214,,,
129,费伍德,96,10,10,2291,20,2292,30,2293,feiwudesenlin,,,,
130,黑锋要塞,99,10,10,2301,20,2302,30,2303,heifengyaosai,215,,,
131,冬泉谷,102,10,10,2301,20,2302,30,2303,feiwudesenlin,,,,
132,燃烧平原,105,10,10,2301,20,2302,30,2303,qiliangzhidi,216,,,
133,希利苏斯,108,10,10,2301,20,2302,30,2303,feiwudesenlin,,,,
134,黑石山 ,111,10,10,2301,20,2302,30,2303,qiliangzhidi,217,,,
135,诅咒之地,114,10,10,2301,20,2302,30,2303,huangwuzhidi,,,,
136,地狱火半岛,117,10,10,2301,20,2302,30,2303,huangwuzhidi,218,,,
,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
Table:CsvDungeonMap,,,,,,,,,,,,,,
tid,name:s,desc:s,small_img_path:s,img_path:s,added_drop_group1:a,added_drop_pro1:a,added_drop_group2:a,added_drop_pro2:a,added_drop_group3:a,added_drop_pro3:a,added_drop_group4:a,added_drop_pro4:a,added_drop_group5:a,added_drop_pro5:a
#,战役名称,战役说明,战役小图片路径（卡牌）,战役大图片路径,战役额外奖励掉落组-1,战役额外奖励掉落组概率-1,战役额外奖励掉落组-2,战役额外奖励掉落组概率-2,战役额外奖励掉落组-3,战役额外奖励掉落组概率-3,战役额外奖励掉落组-4,战役额外奖励掉落组概率-4,战役额外奖励掉落组-5,战役额外奖励掉落组概率-5
201,死矿,大范在地下构筑了庞大的基地，一切都只为了推翻暴风城。,Dungeon/fuben_siwangkuangjing,DungeonMap/siwangkuangjing,"1011,1012,1013,1014,1015,1016","1720,1720,1720,1720,1720,1400,","3011,3012,3013,3014,3015,3016,","1720,1720,1720,1720,1720,1400,","4011,4012,4013,4014,4015,4016,","1720,1720,1720,1720,1720,1400,","5011,5012,5013,5014,5015,5016,","1720,1720,1720,1720,1720,1400,","6011,6012,6013,6014,6015,6016,","1720,1720,1720,1720,1720,1400,"
202,影牙,一天夜晚阿鲁高把城堡占为己有，命名为影牙要塞。,Dungeon/fuben_yingyachengbao,DungeonMap/yingyachengbao,"1021,1022,1023,1024,1025,1026","1720,1720,1720,1720,1720,1400,","3021,3022,3023,3024,3025,3026,","1720,1720,1720,1720,1720,1400,","4021,4022,4023,4024,4025,4026,","1720,1720,1720,1720,1720,1400,","5021,5022,5023,5024,5025,5026,","1720,1720,1720,1720,1720,1400,","6021,6022,6023,6024,6025,6026,","1720,1720,1720,1720,1720,1400,"
203,哀嚎,被称作哀嚎的地方有很多的蒸汽缝隙，发出的声音就犹如哀嚎一般。,Dungeon/fuben_aihaodongxue,DungeonMap/aihaodongxue,"1031,1032,1033,1034,1035,1036","1720,1720,1720,1720,1720,1400,","3031,3032,3033,3034,3035,3036,","1720,1720,1720,1720,1720,1400,","4031,4032,4033,4034,4035,4036,","1720,1720,1720,1720,1720,1400,","5031,5032,5033,5034,5035,5036,","1720,1720,1720,1720,1720,1400,","6031,6032,6033,6034,6035,6036,","1720,1720,1720,1720,1720,1400,"
204,深渊,位于灰谷森林佐拉姆海岸的深渊曾经是为供奉暗夜精灵月神艾露恩建造的。,Dungeon/fuben_heianshenyuan,DungeonMap/heianshenyuan,"1041,1042,1043,1044,1045,1046","1720,1720,1720,1720,1400,1720,","3041,3042,3043,3044,3045,3046,","1720,1720,1720,1720,1400,1720,","4041,4042,4043,4044,4045,4046,","1720,1720,1720,1720,1400,1720,","5041,5042,5043,5044,5045,5046,","1720,1720,1720,1720,1400,1720,","6041,6042,6043,6044,6045,6046,","1720,1720,1720,1720,1400,1720,"
205,血色,白银之手幸存的圣骑士决心与亡灵战斗到底，他们成立了血色十字军。,Dungeon/fuben_xuesexiudaoyuan,DungeonMap/xuesexiudaoyuan,"1051,1052,1053,1054,1055,1056","1720,1720,1720,1720,1400,1720,","3051,3052,3053,3054,3055,3056,","1720,1720,1720,1720,1400,1720,","4051,4052,4053,4054,4055,4056,","1720,1720,1720,1720,1400,1720,","5051,5052,5053,5054,5055,5056,","1720,1720,1720,1720,1400,1720,","6051,6052,6053,6054,6055,6056,","1720,1720,1720,1720,1400,1720,"
206,剃刀,阴影力量笼罩了这个原始的洞穴，寒冰之王将荆棘迷宫变成了亡灵的堡垒。,Dungeon/fuben_tidaogaodi,DungeonMap/tidaogaodi,"1061,1062,1063,1064,1065,1066","1720,1720,1720,1720,1400,1720,","3061,3062,3063,3064,3065,3066,","1720,1720,1720,1720,1400,1720,","4061,4062,4063,4064,4065,4066,","1720,1720,1720,1720,1400,1720,","5061,5062,5063,5064,5065,5066,","1720,1720,1720,1720,1400,1720,","6061,6062,6063,6064,6065,6066,","1720,1720,1720,1720,1400,1720,"
207,造物者遗迹,造物者遗迹是古代泰坦创世之时所留下的深埋于地下的城市。,Dungeon/fuben_aodaman,DungeonMap/aodaman,"1071,1072,1073,1074,1075,1076","1400,1720,1720,1720,1720,1720,","3071,3072,3073,3074,3075,3076,","1400,1720,1720,1720,1720,1720,","4071,4072,4073,4074,4075,4076,","1400,1720,1720,1720,1720,1720,","5071,5072,5073,5074,5075,5076,","1400,1720,1720,1720,1720,1720,","6071,6072,6073,6074,6075,6076,","1400,1720,1720,1720,1720,1720,"
208,祖法,日光暴晒下的这座城市是沙怒巨魔的家园，他们一向以其无情而闻名。,Dungeon/fuben_zuerfalake,DungeonMap/zuerfalake,"1081,1082,1083,1084,1085,1086","1400,1720,1720,1720,1720,1720,","3081,3082,3083,3084,3085,3086,","1400,1720,1720,1720,1720,1720,","4081,4082,4083,4084,4085,4086,","1400,1720,1720,1720,1720,1720,","5081,5082,5083,5084,5085,5086,","1400,1720,1720,1720,1720,1720,","6081,6082,6083,6084,6085,6086,","1400,1720,1720,1720,1720,1720,"
209,玛拉顿,玛拉顿被狂暴的玛拉顿半人马所保护，那是凄凉之地最神圣的地方。,Dungeon/fuben_maladun,DungeonMap/maladun,"1091,1092,1093,1094,1095,1096","1400,1720,1720,1720,1720,1720,","3091,3092,3093,3094,3095,3096,","1400,1720,1720,1720,1720,1720,","4091,4092,4093,4094,4095,4096,","1400,1720,1720,1720,1720,1720,","5091,5092,5093,5094,5095,5096,","1400,1720,1720,1720,1720,1720,","6091,6092,6093,6094,6095,6096,","1400,1720,1720,1720,1720,1720,"
210,神庙,被击败的阿塔莱祭司为哈卡神建造了一座大神庙——阿塔哈卡神庙。,Dungeon/fuben_atahakashenmiao,DungeonMap/atahakashenmiao,"1101,1102,1103,1104,1105,1106","1400,1720,1720,1720,1720,1720,","3101,3102,3103,3104,3105,3106,","1400,1720,1720,1720,1720,1720,","4101,4102,4103,4104,4105,4106,","1400,1720,1720,1720,1720,1720,","5101,5102,5103,5104,5105,5106,","1400,1720,1720,1720,1720,1720,","6101,6102,6103,6104,6105,6106,","1400,1720,1720,1720,1720,1720,"
211,黑石,这座火山迷宫曾经是黑铁矮人的首都，现在则被火焰之王拉格纳罗斯占据。,Dungeon/fuben_heishishenyuan,DungeonMap/heishishenyuan,"1111,1112,1113,1114,1115,1116","1720,1720,1720,1400,1720,1720,","3111,3112,3113,3114,3115,3116,","1720,1720,1720,1400,1720,1720,","4111,4112,4113,4114,4115,4116,","1720,1720,1720,1400,1720,1720,","5111,5112,5113,5114,5115,5116,","1720,1720,1720,1400,1720,1720,","6111,6112,6113,6114,6115,6116,","1720,1720,1720,1400,1720,1720,"
212,厄运,埃雷萨拉斯古城这座伟大的城市屹立在那里，现在其被称为厄运之槌。,Dungeon/fuben_siwangkuangjing,DungeonMap/siwangkuangjing,"1121,1122,1123,1124,1125,1126","1720,1720,1720,1400,1720,1720,","3121,3122,3123,3124,3125,3126,","1720,1720,1720,1400,1720,1720,","4121,4122,4123,4124,4125,4126,","1720,1720,1720,1400,1720,1720,","5121,5122,5123,5124,5125,5126,","1720,1720,1720,1400,1720,1720,","6121,6122,6123,6124,6125,6126,","1720,1720,1720,1400,1720,1720,"
213,通灵,教徒们将那些古老的地下室改造成了一座亡灵法术学院，取名通灵学院。,Dungeon/fuben_yingyachengbao,DungeonMap/yingyachengbao,"1131,1132,1133,1134,1135,1136","1800,1800,1800,2600,1000,1000,","3131,3132,3133,3134,3135,3136,","1800,1800,1800,2600,1000,1000,","4131,4132,4133,4134,4135,4136,","1800,1800,1800,2600,1000,1000,","5131,5132,5133,5134,5135,5136,","1800,1800,1800,2600,1000,1000,","6131,6132,6133,6134,6135,6136,","1800,1800,1800,2600,1000,1000,"
