Table:CsvDLIMonster,,,,,
tid,walk_time,hit_blood,whole_blood,npc_name:s,last_hit_award_tid
#,行进时间,雕像掉血,总血量,怪物名字,
#怪物类型,#,#,#,#,
1,100,1,20,小鬼,111
2,100,1,20,地狱猎犬,112
3,100,1,20,萨特,113
4,100,3,20,虚空行者,114
5,100,3,20,魅魔,115
6,100,3,20,先知,116
7,100,3,20,逐日者,117
8,100,3,20,天灾首领,117
9,200,10,20,卡扎克,117
,,,,,
,,,,,
Table:CsvDLIFence,,,,,
tid,road,position,stop_time,,
#,路数,栅栏位置,栅栏停留时间,,
#,#,#,#,,
1,1,14,25,,
2,1,25,35,,
3,2,14,25,,
4,2,30,35,,
5,3,14,25,,
6,3,38,35,,
,,,,,
Table:CsvWBReviveCost,,,,,
tid,cost,,,,
#当前复活次数,复活花费,,,,
0,100,,,,
1,200,,,,
2,300,,,,
3,400,,,,
4,500,,,,
5,600,,,,
6,700,,,,
7,800,,,,
8,900,,,,
9,1000,,,,
,,,,,
Table:CsvWBInspireCost,,,,,
tid,cost,,,,
#当前鼓舞次数,鼓舞花费,,,,
0,50,,,,
1,50,,,,
2,50,,,,
3,100,,,,
4,100,,,,
5,100,,,,
6,100,,,,
7,200,,,,
8,200,,,,
9,200,,,,
10,200,,,,
11,300,,,,
12,300,,,,
13,300,,,,
14,300,,,,
15,500,,,,
16,500,,,,
17,500,,,,
18,500,,,,
19,500,,,,
