Table:CsvBuff,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:BuffType,desc:s,icon:s,i#__固定加成__,attr1:AttrType,attr1_p,attr1_v,attr2:AttrType,attr2_p,attr2_v,attr3:AttrType,attr3_p,attr3_v,i#__special_effect__,result1:s,para1:a,s#para1_desc,cover_buffs:a,add_effect_tids:a,rem_effect_tids:a,a#__other_params__,commanderGiftLevel,preBuffTid,canUseWhenlDead:b,i#rate
#,名字,类型,,图标,,加成属性,万分比,值,加成属性,万分比,值,加成属性,万分比,值,特殊效果,,参数1,参数1说明,遇到这些buff会覆盖,添加时光效Tid,移除时光效Tid,其它参数,指挥官天赋等级,前置指挥官天赋,是否在英雄阵亡时生效,触发机率
#,,,,,,,,,,,,,,,,,,,,,,,,,,英雄技能效果，指挥官技能效果才有用
#以下是英雄天赋,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,射击,英雄天赋,命中+10%，暴击+5%,Icon/sheji_01,,命中,1000,,暴击,500,,,,,,,,,,,,,,,,
10002,初始怒气+50,英雄天赋,初始怒气+50,Icon/tianfushu_01,,怒气,,50,,,,,,,,,,,,,,,,,,
10003,元素,英雄天赋,第一次攻击造成额外100%伤害,Icon/yuansu_01,,,,,,,,,,,,ps_firstAttack+X3,"10000,",X3,,,,,,,,
10004,狂暴1,英雄天赋,每受到一次伤害，则都会提升自己的攻击,Icon/tianfushu_01,,,,,,,,,,,,ps_fury,"4000,50000,","X3,X3上限",,20711,20712,,,,,
10005,生存,英雄天赋,血量越少，所有免伤系数越高,Icon/shengcun_01,,,,,,,,,,,,ps_survival,"5000,",X4,,,,,,,,
10006,假死,英雄天赋,受到致死的伤害时不会死亡，而是把血量减为1，每次战斗生效2次（对dot伤害无效）,Icon/tianfushu_01,,,,,,,,,,,,ps_neverDie,"2,",几次,,,,,,,,
10007,鲜血,英雄天赋,攻击敌人和受到攻击时，分别会为除自己以外的所有英雄恢复伤害量2%血量和伤害量4%的血量,Icon/xianxue_01,,,,,,,,,,,,ps_recoverOnHurtAndBeHurt,"200,400,",攻击敌人恢复Hp万分比，被攻击恢复Hp万分比,,,,,,,,
10008,符文分流,英雄天赋,死亡后为所有其他友军单位恢复以自身血量50%+0计算的生命,Icon/tianfushu_01,,,,,,,,,,,,ps_recoverOtherOnDie,"5000,0,",Hp万分比，值,,,,,,,,
10009,刺杀,英雄天赋,发动怒气技能时，每次均会攻击血量最少的一个英雄,Icon/cisha_01,,,,,,,,,,,,ps_alwaysAttackLowestHpEnemy,1,0表示2个技能，1表示仅怒气技能,,,,,,,,
10010,重生,英雄天赋,死亡后立即复活，拥有40%的血量,Icon/tianfushu_01,,,,,,,,,,,,ps_rebornImmediately,4000,Hp万分比,,,,,,,,
10011,神圣,英雄天赋,增加所有的伤害和治疗效果+12%,Icon/shensheng_01,,X19,1200,,X3,1200,,,,,,,,,,,,,,,,
10012,暗影,英雄天赋,获得暗影形态，法术伤害提高10%，物理免伤提高10%,Icon/anying_01,,X3,1000,,X4物理,1000,,,,,,,,,,,,,,,,
10013,奥秘,英雄天赋,释放怒气技能后，有50%的几率恢复50点怒气,Icon/aoshu_01,,,,,,,,,,,,ps_recoverMpOnMpSkill,"5000,50,",概率，怒气值,,,,,,,,
10014,火焰,英雄天赋,免疫燃烧效果，燃烧效果增加25%,Icon/huoyan_01,,,,,,,,,,,,ps_EleFire,"2500,30027,30010,30045,30011,30012,30034,100221,100281",火元素伤增强万分比，免疫buff id列表,,,,,,,,
10015,毁灭,英雄天赋,每杀死一个敌方英雄，均会再次进行一次普通攻击,Icon/huimie_01,,,,,,,,,,,,ps_1MoreNormalAttackOnKill,,,,,,,,,,
10016,恶魔,英雄天赋,法术免伤+5%，抵抗+10%，免疫沉默效果,Icon/emo_01,,X4法术,500,,抵抗,1000,,,,,,ps_rejectBuff,"30025,30041,",免疫buff id列表,,,,,,,,
10017,防护,英雄天赋,格挡+10%，物理免伤+5%，免疫中毒效果,Icon/fanghu_01,,格挡,1000,,X4物理,500,,,,,,ps_rejectBuff,"30026,40024,30013,30046,30014,30015,30057,",免疫buff id列表,,,,,,,,
10018,天神下凡,英雄天赋,免疫所有负面状态，抵抗+5%，并且普通技能与怒气技能的眩晕几率提高5%,Icon/tianfushu_01,,抵抗,500,,,,,,,,,ps_god,"0,500,20002,20003,20040,20041,100221,100281,100671,400091,400231,101121,30001,30039,30044,30006,30008,30010,30045,30011,30012,30034,30013,30046,30014,30015,30057,30016,30030,30017,30018,30033,30019,30042,30020,30047,30025,30041,30026,40024,30027,30029,30032,40001,40002,40003,41001,10165,10164,40004,30048,10166,10167,41002,40006,40010,40020,40009,30035,30043,",抵抗万分比，眩晕几率增量，驱散的buff tid列表,,,,,,,,
10019,奥术智慧,英雄天赋,被动提升我方所有英雄（5%*英雄自身智力+5）点智力,Icon/tianfushu_01,,,,,,,,,,,,ps_addAttr,"0,0,5,500,0,0,0,0",力量点数，力量万分比，智力点数，智力万分比，敏捷点数，敏捷万分比，耐力点数，耐力万分比,,,,,,,,
10020,debuff无效,英雄天赋,不会被添加任何debuff,Icon/tianfushu_01,,,,,,,,,,,,ps_rejectBuff,"20002,20003,30001,30039,30044,30006,30008,30029,30032,30010,30045,30011,30012,30034,30013,30046,30014,30015,30057,30016,30030,30017,30018,30033,30019,30042,30020,30047,30025,30041,30026,40024,30027,40001,40020,40002,40003,41001,10164,10165,40004,30048,10166,10167,41002,40006,40009,40010,100221,100281,100671,400091,400231,30025,20040,20041,101121,30035,30043,10124,10116",拒绝的buff tid列表,,,,,,,,
10021,防御无效,英雄天赋,伤害无视任何防御天赋和技能,Icon/tianfushu_01,,,,,,,,,,,,ps_attackIgnoreBuff,,,,,,,,,,
10022,点燃,英雄天赋,受到普通攻击时，100%几率使敌人处于燃烧状态一回合,Icon/tianfushu_01,,,,,,,,,,,,ps_addBurnOnAttacked,"100221,",伤害万分比(乘攻击力)，燃烧几次,,,,,,,,
10023,爆炎,英雄天赋,如果敌军处于燃烧状态，则暴击几率+20%,Icon/tianfushu_01,,,,,,,,,,,,ps_addCriticalToBurningTarget,"2000,",加暴击万分比,,,,,,,,
10024,神圣之魂,英雄天赋,死亡后变成灵魂医者（无法受到战复、亡灵大军等一切复活技能的影响），不会受到攻击,Icon/tianfushu_01,,,,,,,,,,,,ps_holySoul,"84,0,6000,","模型TID,scale增量(百),减掉数值万分比",,,,,,,,
10025,风怒,英雄天赋,普通攻击时，有几率再次攻击一次。,Icon/tianfushu_01,,,,,,,,,,,,ps_windfury,"4000,",概率,,,,,,,,
10026,水之护盾,英雄天赋,每次受到伤害时，均会恢复10点怒气,Icon/tianfushu_01,,,,,,,,,,,,ps_watershield,"10000,10,",概率，怒气值,,,,,,,,
10027,真言术韧,英雄天赋,被动提高我方所有英雄的耐力,Icon/tianfushu_01,,,,,,,,,,,,ps_addap1,"1,1000,","AttrType, 万分比",,,,,,,,
10028,灼热烈焰,英雄天赋,普通攻击和怒气技能必定附带燃烧状态,Icon/tianfushu_01,,,,,,,,,,,,ps_attackwithflame,"100281,",伤害万分比(乘攻击力)，燃烧几次,,,,,,,,
10029,双暴,英雄天赋,暴击+x%，暴伤+x%,Icon/tianfushu_01,,暴击,1000,,暴伤,1000,,,,,,,,,,,,,,,,
10030,敏锐,英雄天赋,命中+10%，闪避+5%,Icon/minrui_01,,命中,1000,,闪避,500,,,,,,,,,,,,,,,,
10031,物理攻击+200,英雄天赋,物理攻击+200,Icon/tianfushu_01,,物理攻击,,200,,,,,,,,,,,,,,,,,,
10032,血量+400,英雄天赋,血量+400,Icon/tianfushu_01,,血量,,400,,,,,,,,,,,,,,,,,,
10033,法术防御+120,英雄天赋,法术防御+120,Icon/tianfushu_01,,法术防御,,120,,,,,,,,,,,,,,,,,,
10034,法术攻击+200,英雄天赋,法术攻击+200,Icon/tianfushu_01,,法术攻击,,200,,,,,,,,,,,,,,,,,,
10035,速度+180,英雄天赋,速度+180,Icon/tianfushu_01,,速度,,180,,,,,,,,,,,,,,,,,,
10036,物理攻击+350,英雄天赋,物理攻击+350,Icon/tianfushu_01,,物理攻击,,350,,,,,,,,,,,,,,,,,,
10037,血量+1600,英雄天赋,血量+1600,Icon/tianfushu_01,,血量,,1600,,,,,,,,,,,,,,,,,,
10038,物理免伤+20%,英雄天赋,物理免伤+20%,Icon/tianfushu_01,,X4物理,2000,,,,,,,,,,,,,,,,,,,
10039,法术免伤+20%,英雄天赋,法术免伤+20%,Icon/tianfushu_01,,X4法术,2000,,,,,,,,,,,,,,,,,,,
10040,攻击+200,英雄天赋,攻击+200,Icon/tianfushu_01,,攻击,,200,,,,,,,,,,,,,,,,,,
10041,攻击+350,英雄天赋,攻击+350,Icon/tianfushu_01,,攻击,,350,,,,,,,,,,,,,,,,,,
10042,攻击+500,英雄天赋,攻击+500,Icon/tianfushu_01,,攻击,,500,,,,,,,,,,,,,,,,,,
10043,攻击+1000,英雄天赋,攻击+1000,Icon/tianfushu_01,,攻击,,1000,,,,,,,,,,,,,,,,,,
10044,韧性+15%,英雄天赋,韧性+15%,Icon/tianfushu_01,,韧性,1500,,,,,,,,,,,,,,,,,,,
10045,抵抗+12%,英雄天赋,抵抗+12%,Icon/tianfushu_01,,抵抗,1200,,,,,,,,,,,,,,,,,,,
10046,命中+15%,英雄天赋,命中+15%,Icon/tianfushu_01,,命中,1500,,,,,,,,,,,,,,,,,,,
10047,闪避+12%,英雄天赋,闪避+12%,Icon/tianfushu_01,,闪避,1200,,,,,,,,,,,,,,,,,,,
10048,暴击+12%,英雄天赋,暴击+12%,Icon/tianfushu_01,,暴击,1200,,,,,,,,,,,,,,,,,,,
10049,穿透+15%,英雄天赋,穿透+15%,Icon/tianfushu_01,,穿透,1500,,,,,,,,,,,,,,,,,,,
10050,#神圣,英雄天赋,使你所有的伤害和治疗效果+10%,Icon/shensheng_01,,,,,,,,,,,,,,,,,,,,,,
10051,恢复,英雄天赋,提升10%的治疗量和受治疗量,Icon/huifu_02,,治疗效果,1000,,受治疗效果,1000,,,,,,,,,,,,,,,,
10052,邪恶,英雄天赋,对血量低的敌人造成额外伤害,Icon/xiee_01,,,,,,,,,,,,ps_evil,"8000,10000,",少于百分比，额外伤害百分比,,,,,,,,
10053,惩戒,英雄天赋,受到伤害时，40%几率反弹40%的伤害,Icon/chengjie_01,,,,,,,,,,,,ps_discipline,"4000,4000,",反弹几率，反弹系数,,,,,,,,
