Table:CsvBulletSubtitle,,,,,,
tid,content:s,time:f,color:ItemColor,sceneid:s,,
#,内容,时间,颜色,,备注,
10001,死亡之翼！！！,0,红,10,初入游戏剧情,
10002,烧烤模式开启,1,红,10,,
10003,好大只！！！,2,红,10,,
10004,3万经济一秒躺,4,红,10,,
10005,ganme over,5,红,10,,
1200,动画不错,2,红,11,,
20001,动画还不错,2,红,20,狗男女剧情（第一个关卡）,
20002,卧槽~偷袭,2,红,20,,
20003,美女救草包了么？,6,红,20,,
20004,狗头人原来这么猥琐,7,红,20,,
20005,卑鄙！！,7,红,20,,
20006,这两货有一腿,8,红,20,,
30001,这地图挺漂亮的,1,红,30,名字未知,
30002,鸟人变熊了，好凶,15,红,30,,
30003,这个削苹果的有点逗,26,红,30,,
30004,古丹尔牛逼,30,红,30,,
30005,这胖女人好凶残,36,红,30,,
30006,这个上马动作好僵！！,43,红,30,,
30007,人加马还没那个女人大,45,红,30,,
40001,腿这么短还能跳这么高,0,红,40,正义的复仇,
40002,范克里夫没有范里克夫好听,3,红,40,正义的复仇,
40003,炫的很嘛,2,红,40,正义的复仇,
40004,阿鲁高看起来好年轻,6,红,40,正义的复仇,
40005,挺帅,7,红,40,正义的复仇,
40006,影牙城堡4个字看起来好高大上,8,红,40,正义的复仇,
40007,又是这个胖女人,16,红,40,正义的复仇,
40008,魔兽的公主都好丑,15,红,40,正义的复仇,
40009,吓我一跳以为屏幕又裂了,17,红,40,正义的复仇,
40010,这个龙绿绿的看起来就很毒,15,红,40,正义的复仇,
40011,地上好多骷髅头,18.5,红,40,正义的复仇,
40012,就是这四个货？,19,红,40,正义的复仇,
#下面是冒险关卡,,,,,,
1010101,这怪看起来就很弱鸡,3,红,101011,狗头人营地（第一场）,1
1010102,还会丢火球！,5,红,101011,狗头人营地（第一场）,
1010103,血色指挥官特效不错,6,红,101011,狗头人营地（第一场）,
1010104,看起来要跪的节奏,7,红,101011,狗头人营地（第一场）,
1010105,赢了,8,红,101011,狗头人营地（第一场）,
1010106,又是这两货,1,红,101012,（第二场）,
1010107,这怪一个副本被虐两次,1,红,101012,（第二场）,
1010108,没事，别给我面子，继续虐它,2,红,101012,（第二场）,
1010109,大家好,3,红,101012,（第二场）,
1010110,羁绊，又见羁绊,4,红,101012,（第二场）,
1010111,指挥官技能都不用丢就赢了,4,红,101012,（第二场）,
1010201,好凶！,3,红,101021,北郡山谷,1
1010202,每次被咬都会抖屏一下,6,红,101021,北郡山谷,
1010203,这狼有幻影,5,红,101021,北郡山谷,
1010204,这狼咬人的位置好尴尬,6,红,101021,北郡山谷,
1010205,这种颜色的狼是什么品种,9,红,101021,北郡山谷,
1010206,一波就GG了？,12,红,101021,北郡山谷,
1010207,我把狼变成鸡了，哈哈,14,红,101021,北郡山谷,
1010301,又是这两货，回来报仇？,2,红,101031,回音山矿洞,1
1010302,活捉两只野生挖矿野狗！,6,红,101031,回音山矿洞,
1010303,这年头挖个矿也不安全啊,10,红,101031,回音山矿洞,
1010304,他们内心是崩溃的,15,红,101031,回音山矿洞,
1010305,讲道理，没我家泰迪可爱,16,红,101031,回音山矿洞,
1010411,他们头好大,1,红,101041,米莉的葡萄园,1
1010412,新怪物出现了,5,红,101041,米莉的葡萄园,
1010413,好low的发型,8,红,101041,米莉的葡萄园,
1010414,两个男的，搞基的么,12,红,101041,米莉的葡萄园,
1010415,弱弱的问一下，蓝条是啥意思,11,红,101041,米莉的葡萄园,
1010416,怒气，英雄怒气满了会放技能,9,红,101041,米莉的葡萄园,
1010421,肯定有人要说她们是啦啦,3,红,101042,第二场,
1010422,和前面的怪看起来像兄妹,5,红,101042,第二场,
1010423,没胸，差评,6,红,101042,第二场,
1010424,你们确定他们是女的？,9,红,101042,第二场,
1010425,还是我们的英雄好看,11,红,101042,第二场,
1010431,讲道理，对面应该有四个怪吧,3,红,101043,第三场,
1010432,她们上半身张的一样耶,6,红,101043,第三场,
1010433,他们没有配奶妈,8,红,101043,第三场,
1010434,虐菜的赶脚,10,红,101043,第三场,
1010435,凡妮莎和他们是不是一伙的,12,红,101043,第三场,
1010436,为啥英雄都是有点红色的,7,红,101043,第三场,
1010437,指挥官最后一个技能还没解锁么,15,红,101043,第三场,
1010511,BOSS来了！！,2,红,101051,加瑞克的赏金,1
1010512,看起来很腻害的样子,5,红,101051,加瑞克的赏金,
1010513,大佬竟然站在前面！集火干他,5,红,101051,加瑞克的赏金,
1010514,BOSS的名字是蓝色的,8,红,101051,加瑞克的赏金,
1010515,两轮就被干翻了！弱鸡,12,红,101051,加瑞克的赏金,
1010516,不堪一击,13,红,101051,加瑞克的赏金,
1020111,还有个拿擀面杖的！,5,红,102011,石碑湖,1
1020112,无限被变鸡的节奏,15,红,102011,石碑湖,
1020113,我靠，他们还嗑药！！,11,红,102011,石碑湖,
1020114,我也想招一个对面这样的鱼人,12,红,102011,石碑湖,
1020115,这个指挥官就克制这个变形术的,16,红,102011,石碑湖,
1020116,无限变鸡+1,18,红,102011,石碑湖,
1020117,无限变鸡+10086,20,红,102011,石碑湖,
1020211,狼熊为奸！,3,红,102021,东谷伐木场,1
1020212,我家哈士奇也张这蠢样,5,红,102021,东谷伐木场,
1020213,熊的指甲估计没剪过,8,红,102021,东谷伐木场,
1020214,森林狼不是NBA球队么,10,红,102021,东谷伐木场,
1020215,讲道理，熊不是应该站起来拍人嘛！,13,红,102021,东谷伐木场,
1020216,狼和熊什么时候勾搭上的,15,红,102021,东谷伐木场,
1020311,我擦，公主是一只猪！！,3,红,102031,南瓜田,1
1020312,我感觉黑猪比公主看起来高级点,5,红,102031,南瓜田,
1020313,刚才在外面看见小黑，好喜欢,8,红,102031,南瓜田,
1020314,这个公主好肉啊,12,红,102031,南瓜田,
1020315,一刀捅死！,15,红,102031,南瓜田,
1020316,突然好想吃红烧猪蹄,10,红,102031,南瓜田,
1020317,还会重生！！！,25,红,102031,南瓜田,
1020318,毫无防备,17,红,102031,南瓜田,
1020411,是不是又要无限变鸡了，卧槽,2,红,102041,水晶湖,1
1020412,开了加速，飙车！,3,红,102041,水晶湖,
1020413,喂，妖妖灵么，这边有人嗑药！！,6,红,102041,水晶湖,
1020414,这个鱼人颜色好像和之前的还不太一样,9,红,102041,水晶湖,
1020415,这个鱼人一直在朝我放电,12,红,102041,水晶湖,
1020416,鱼人永不败！,15,红,102041,水晶湖,
1020511,又是这两货！,2,红,102051,法戈第矿洞,1
1020512,不会丢火球的狗头人不是好狗头人,5,红,102051,法戈第矿洞,
1020513,他们被揍的好惨,4,红,102051,法戈第矿洞,
1020514,突然发现我的英雄头发颜色还都不一样,6,红,102051,法戈第矿洞,
1020515,狗头人的蜡烛都被熄灭了,9,红,102051,法戈第矿洞,
1020516,偷袭我一次，揍你千百次,7,红,102051,法戈第矿洞,
1020521,还是他们，而且会丢火球了,2,红,102052,第二场,
1020522,我都不忍心用指挥官技能丢他们,3,红,102052,第二场,
1020523,地图上那个邮箱是联盟的么,6,红,102052,第二场,
1020524,话说，狗头人有没有老大啊,8,红,102052,第二场,
1020525,估计下场战斗老大就出来了,11,红,102052,第二场,
1020526,这个狗头人不可耐！差评,10,红,102052,第二场,
1020531,前面2波打的是矿工还是狗头人,4,红,102053,第3场,
1020532,矿工拿的锄头像斧头帮的,6,红,102053,第3场,
1020533,狗头人到底是什么物种,7,红,102053,第3场,
1020534,狗头人有没有母的,8,红,102053,第3场,
1020535,…………,9,红,102053,第3场,
1020536,冲锋好强,15,红,102053,第3场,
1020537,rua RUA,9,红,102053,第3场,
1020611,LOADING图的娜迦是大婶啊,2,红,102061,林间空地,1
1020612,BOSS来了 ,2,红,102061,林间空地,
1020613,金刚狼,3,红,102061,林间空地,
1020614,BOSS都是有名字，不是boss都是写的物种名,6,红,102061,林间空地,
1020615,传说中的无影斧,8,红,102061,林间空地,
1020616,被晕了，强无敌！！,7,红,102061,林间空地,
1020617,我也被晕了,9,红,102061,林间空地,
1030111,秃鹫会吐火的咯？,2,红,103011,法布隆农场,1
1030112,一个一个小朋友,3,红,103011,法布隆农场,
1030113,怎么突然打它就掉一点血了？,5,红,103011,法布隆农场,
1030114,地上好多南瓜,7,红,103011,法布隆农场,
1030115,秃鹫吃南瓜会吐火么,8,红,103011,法布隆农场,
1030116,凡妮莎打谁，谁变绿,8,红,103011,法布隆农场,
1030117,最讨厌吃南瓜了,9,红,103011,法布隆农场,
1030211,我们和狗头人杠上了！,4,红,103021,詹戈洛德矿洞,1
1030212,狗头人：MD，又是你们，欠你钱了啊？,3,红,103021,詹戈洛德矿洞,
1030213,狗头人:蓝瘦，香菇,4,红,103021,詹戈洛德矿洞,
1030214,狗头人：你们看不见我，你们看不见我,6,红,103021,詹戈洛德矿洞,
1030215,这个狗头人肯定是策划的什么亲戚画的,5,红,103021,詹戈洛德矿洞,
1030216,该杀的狗头人要杀啊,8,红,103021,詹戈洛德矿洞,
