name:s,costRMB,,,itemNum,firstChargeNum,activityAddNum,card_award
名字,人民币(元),JJJ,KKK,奖励钻石数量,首充额外奖励数量,活动额外奖励数量,月卡每日获得
20000钻石,2000,27000,,20000,,7000,
10000钻石,1000,13200,,10000,,3200,
5000钻石,500,6500,19500,5000,13000,1500,
2000钻石,200,2400,7200,2000,4800,400,
1000钻石,100,1050,3150,1000,2100,50,
500钻石,50,510,1530,500,1020,10,
100钻石,10,100,300,100,200,0,
30元月卡,30,,,300,,,100
90元月卡,90,,,900,,,300
,,,,,,,
,,,,,,,
,,,,,,,
编码,商品名称,,人民币(元),,,,
1,27000钻石,,2000,,,,
2,13200钻石,,1000,,,,
3,6500钻石,,500,,,,
4,2400钻石,,200,,,,
5,1050钻石,,100,,,,
6,510钻石,,50,,,,
7,100钻石,,10,,,,
8,300钻石,,30,,,,
9,900钻石,,90,,,,
,,,,,,,
10,19500钻石,,500,,,,
11,7200钻石,,200,,,,
12,3150钻石,,100,,,,
13,1530钻石,,50,,,,
14,300钻石,,10,,,,
