Table:CsvChargeScoreAward,,,,
tid,name:s,items:a,items_count:a,score
#,名字,奖励物品列表,奖励物品数量列表,需求积分
#,,最多四个,最多四个,
#暴击,,,,
1001,充值10元即可获取,"107,108,","88888,1200,",10
1002,充值200元即可获取,"20041,40041,","1,4,",200
1003,充值500元即可获取,"40042,40012,","2,9,",500
1004,充值1000元即可获取,"20042,40042,","1,3,",1000
1005,充值2500元即可获取,"20043,40043,","1,3,",2500
#闪避,,,,
2001,充值10元即可获取,"107,108,","88888,1200,",10
2002,充值200元即可获取,"20031,40041,","1,4,",200
2003,充值500元即可获取,"40042,40012,","2,9,",500
2004,充值1000元即可获取,"20032,40042,","1,3,",1000
2005,充值2500元即可获取,"20033,40043,","1,3,",2500
#附魔材料,,,,
3001,充值10元即可获取,"107,44002,","88888,2,",10
3002,充值200元即可获取,"44003,44002,","8,12,",200
3003,充值500元即可获取,"44003,40012,","18,9,",500
3004,充值1000元即可获取,"44004,44003,","12,20,",1000
3005,充值2000元即可获取,"44004,44003,","50,50,",2000
#突破石,,,,
4001,充值10元即可获取,"107,42101,","88888,5,",10
4002,充值200元即可获取,"42101,","25,",200
4003,充值500元即可获取,"42101,40012,","40,9,",500
4004,充值1000元即可获取,"42101,103,","70,800,",1000
4005,充值2000元即可获取,"42101,103,","360,2000,",2000
#蛇夫座,,,,
5001,充值10元即可获取,"107,108,","88888,1200,",10
5002,充值200元即可获取,"103,107,108,","200,288888,2000,",200
5003,充值500元即可获取,"103,107,108,40012,","500,588888,4000,9,",500
5004,充值1000元即可获取,"103,","1000,",1000
5005,充值3000元即可获取,"31073,","1,",3000
#绑钻,,,,
6001,充值10元即可获取,103,100,10
6002,充值200元即可获取,103,400,200
6003,充值500元即可获取,103,1000,500
6004,充值1000元即可获取,103,2288,1000
6005,充值3000元即可获取,103,8000,3000
#战魂,,,,
7001,充值10元即可获取,108,1500,10
7002,充值200元即可获取,108,7000,200
7003,充值500元即可获取,108,18000,500
7004,充值1000元即可获取,108,37888,1000
7005,充值1800元即可获取,108,88888,1800
#稀有英雄四选一宝箱,,,,
8001,充值10元即可获取,"107,108,","88888,1200,",10
8002,充值200元即可获取,"103,107,108,","200,288888,2000,",200
8003,充值500元即可获取,"103,107,108,40012,","500,588888,4000,9,",500
8004,充值1000元即可获取,"103,","1000,",1000
8005,充值2500元即可获取,"110003,","1,",2500
#饰品四选一宝箱,,,,
9001,充值10元即可获取,"107,108,","88888,1200,",10
9002,充值200元即可获取,"103,107,108,","200,288888,2000,",200
9003,充值500元即可获取,"103,107,108,40012,","500,588888,4000,9,",500
9004,充值1000元即可获取,"103,","1000,",1000
9005,充值3000元即可获取,"110001,","1,",3000
#神将四选一宝箱,,,,
10001,充值10元即可获取,"107,108,","88888,1200,",10
10002,充值200元即可获取,"103,107,108,","200,288888,2000,",200
10003,充值500元即可获取,"103,107,108,40012,","500,588888,4000,9,",500
10004,充值1000元即可获取,"103,","1000,",1000
10005,充值3000元即可获取,"110007,","1,",3000
#八芒星,,,,
11001,充值10元即可获取,"107,108,","88888,1200,",10
11002,充值200元即可获取,"103,107,108,","300,88888,1200,",200
11003,充值500元即可获取,"103,107,108,40012,","800,288888,3500,9,",500
11004,充值1000元即可获取,"40008,","2,",1000
11005,充值2500元即可获取,"40008,","5,",2500
#奥术之尘,,,,
12001,充值10元即可获取,"107,108,","88888,1200,",10
12002,充值200元即可获取,"103,107,108,","300,88888,1200,",200
12003,充值500元即可获取,"40033,40012,","1,9,",500
12004,充值1000元即可获取,"40033,","5,",1000
12005,充值1500元即可获取,"40033,","8,",1500
#地精打孔装置,,,,
13001,充值10元即可获取,"107,108,","88888,1200,",10
13002,充值200元即可获取,"103,107,108,","300,88888,1200,",200
13003,充值500元即可获取,"40051,40012,","5,9,",500
13004,充值1000元即可获取,"40051,","25,",1000
13005,充值1500元即可获取,"40051,","40,",1500
#铭文,,,,
14001,充值10元即可获取,"120011,","1,",10
14002,充值200元即可获取,"120011,",3,200
14003,充值500元即可获取,"120011,","5,",500
14004,充值1000元即可获取,"40054,120011,","1,10,",1000
14005,充值2000元即可获取,"40054,120011,","1,20,",2000
#伊利丹,,,,
15001,充值10元即可获取,"103,",100,10
15002,充值200元即可获取,"103,",400,200
15003,充值500元即可获取,"103,","1000,",500
15004,充值1000元即可获取,2028,"25,",1000
15005,充值2000元即可获取,2028,"25,",2000
15006,充值3000元即可获取,2028,"25,",3000
15007,充值4000元即可获取,2028,"25,",4000
15008,充值5000元即可获取,2028,"25,",5000
15009,充值6000元即可获取,2028,"25,",6000
#爆伤,,,,
16001,充值10元即可获取,"107,108,","88888,1200,",10
16002,充值200元即可获取,"20051,40041,","1,4,",200
16003,充值500元即可获取,"40042,40012,","2,9,",500
16004,充值1000元即可获取,"20052,40042,","1,3,",1000
16005,充值3000元即可获取,"20053,40043,","1,3,",3000
