Table:CsvCommanderTalent,,,
tid,level,talent_id,weight
#, 等级,天赋id,权重
1,0,10001,100
2,1,10001,90
3,2,10001,80
4,3,10001,70
5,4,10001,60
6,5,10001,55
7,6,10001,50
8,7,10001,45
9,8,10001,40
10,9,10001,35
11,10,10001,30
12,11,10001,25
13,12,10001,20
14,13,10001,15
15,14,10001,10
16,15,10001,0
17,0,10002,100
18,1,10002,90
19,2,10002,80
20,3,10002,70
21,4,10002,60
22,5,10002,55
23,6,10002,50
24,7,10002,45
25,8,10002,40
26,9,10002,35
27,10,10002,30
28,11,10002,25
29,12,10002,20
30,13,10002,15
31,14,10002,10
32,15,10002,0
33,0,10003,100
34,1,10003,90
35,2,10003,80
36,3,10003,70
37,4,10003,60
38,5,10003,55
39,6,10003,50
40,7,10003,45
41,8,10003,40
42,9,10003,35
43,10,10003,30
44,11,10003,25
45,12,10003,20
46,13,10003,15
47,14,10003,10
48,15,10003,0
49,0,10005,100
50,1,10005,90
51,2,10005,80
52,3,10005,70
53,4,10005,60
54,5,10005,55
55,6,10005,50
56,7,10005,45
57,8,10005,40
58,9,10005,35
59,10,10005,30
60,11,10005,25
61,12,10005,20
62,13,10005,15
63,14,10005,10
64,15,10005,0
65,0,10006,100
66,1,10006,90
67,2,10006,80
68,3,10006,70
69,4,10006,60
70,5,10006,55
71,6,10006,50
72,7,10006,45
73,8,10006,40
74,9,10006,35
75,10,10006,30
76,11,10006,25
77,12,10006,20
78,13,10006,15
79,14,10006,10
80,15,10006,0
81,0,10007,100
82,1,10007,90
83,2,10007,80
84,3,10007,70
85,4,10007,60
86,5,10007,55
87,6,10007,50
88,7,10007,45
89,8,10007,40
90,9,10007,35
91,10,10007,30
92,11,10007,25
93,12,10007,20
94,13,10007,15
95,14,10007,10
96,15,10007,0
97,0,10008,100
98,1,10008,90
99,2,10008,80
100,3,10008,70
101,4,10008,60
102,5,10008,55
103,6,10008,50
104,7,10008,45
105,8,10008,40
106,9,10008,35
107,10,10008,30
108,11,10008,25
109,12,10008,20
110,13,10008,15
111,14,10008,10
112,15,10008,0
113,0,10009,100
114,1,10009,90
115,2,10009,80
116,3,10009,70
117,4,10009,60
118,5,10009,55
119,6,10009,50
120,7,10009,45
121,8,10009,40
122,9,10009,35
123,10,10009,30
124,11,10009,25
125,12,10009,20
126,13,10009,15
127,14,10009,10
128,15,10009,0
129,0,10010,100
130,1,10010,90
131,2,10010,80
132,3,10010,70
133,4,10010,60
134,5,10010,55
135,6,10010,50
136,7,10010,45
137,8,10010,40
138,9,10010,35
139,10,10010,30
140,11,10010,25
141,12,10010,20
142,13,10010,15
143,14,10010,10
144,15,10010,0
145,0,10012,100
146,1,10012,90
147,2,10012,80
148,3,10012,70
149,4,10012,60
150,5,10012,55
151,6,10012,50
152,7,10012,45
153,8,10012,40
154,9,10012,35
155,10,10012,30
156,11,10012,25
157,12,10012,20
158,13,10012,15
159,14,10012,10
160,15,10012,0
161,0,10013,100
162,1,10013,90
163,2,10013,80
164,3,10013,70
165,4,10013,60
166,5,10013,55
167,6,10013,50
168,7,10013,45
169,8,10013,40
170,9,10013,35
171,10,10013,30
172,11,10013,25
173,12,10013,20
174,13,10013,15
175,14,10013,10
176,15,10013,0
177,0,10014,100
178,1,10014,90
179,2,10014,80
180,3,10014,70
181,4,10014,60
182,5,10014,55
183,6,10014,50
184,7,10014,45
185,8,10014,40
186,9,10014,35
187,10,10014,30
188,11,10014,25
189,12,10014,20
190,13,10014,15
191,14,10014,10
192,15,10014,0
193,0,10015,100
194,1,10015,90
195,2,10015,80
196,3,10015,70
197,4,10015,60
198,5,10015,55
199,6,10015,50
200,7,10015,45
201,8,10015,40
202,9,10015,35
203,10,10015,30
204,11,10015,25
205,12,10015,20
206,13,10015,15
207,14,10015,10
208,15,10015,0
209,0,10016,100
210,1,10016,90
211,2,10016,80
212,3,10016,70
213,4,10016,60
214,5,10016,55
215,6,10016,50
216,7,10016,45
217,8,10016,40
218,9,10016,35
219,10,10016,30
220,11,10016,25
221,12,10016,20
222,13,10016,15
223,14,10016,10
224,15,10016,0
