Table:CsvItem,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:ItemType,max_num,desc:s,icon_path:s,icon_path_s:s,is_sell:b,sell_price,display_color:ItemColor,sort_order,equip_limited_lv,exchange_cost,exchange_limited_lv,equip_main_attr0:AttrType,equip_standard_value0,equip_inc_value0,equip_main_attr1:AttrType,equip_standard_value1,equip_inc_value1,const_type1:ConstType,const_type2:ConstType,is_use:b
#,道具名,类型,堆叠上限,道具描述,大图标路径,小图标路径,是否可出售,基础出售价格,物品颜色,排序优先级,装备需求等级,兑换消耗,兑换限制等级,属性类型0,基础数值0,加成数值0,属性类型1,基础数值1,加成数值1,,,1
30001,黑猫,星座垃圾,1,,Icon/xzxt_Aquarius,Constellation/xzxt_w,1,2000,白,0,0,0,0,无,0,0,无,0,0,,,1
30002,扫帚,星座垃圾,1,,Icon/xzxt_Aries,Constellation/xzxt_w,1,4000,白,0,0,0,0,无,0,0,无,0,0,,,1
30003,女巫,星座垃圾,1,,Icon/xzxt_Cancer,Constellation/xzxt_w,1,7000,白,0,0,0,0,无,0,0,无,0,0,,,1
30101,白色星魂,星魂,999999,使用后可以获得5点星值,Icon/xzxt_baixinghun,Constellation/xzxt_w,0,0,白,0,0,0,0,无,0,0,无,0,0,,,1
30102,绿色星魂,星魂,999999,使用后可以获得12点星值,Icon/xzxt_lvxinghun,Constellation/xzxt_g,0,0,绿,0,0,0,0,无,0,0,无,0,0,,,1
30103,蓝色星魂,星魂,999999,使用后可以获得25点星值,Icon/xzxt_lanxinghun,Constellation/xzxt_b,0,0,蓝,0,0,0,0,无,0,0,无,0,0,,,1
30104,紫色星魂,星魂,999999,使用后可以获得50点星值,Icon/xzxt_zixinghun,Constellation/xzxt_p,0,0,紫,0,0,0,0,无,0,0,无,0,0,,,1
30105,橙色星魂,星魂,999999,使用后可以获得100点星值,Icon/xzxt_zixinghun,Constellation/xzxt_o,0,0,橙,0,0,1,100,无,0,0,无,0,0,,,1
30201,星座碎片,星座碎片,999999,用于兑换星座,Icon/xzxt_xingzuosuipian,Constellation/xzxt_o,0,0,橙,0,0,0,0,无,0,0,无,0,0,,,1
31001,金星,星座,1,,Icon/xzxt_xz_jx,Constellation/xzxt_g,0,0,绿,0,0,0,0,物理攻击,60,60,无,0,0,物攻型,无,1
31002,木星,星座,1,,Icon/xzxt_xz_mx,Constellation/xzxt_g,0,0,绿,0,0,0,0,法术攻击,60,60,无,0,0,法攻型,无,1
#,水星,星座,1,,Icon/xzxt_Capricorn,Constellation/xzxt_g,0,0,绿,0,0,0,99999,物理防御,0,0,无,0,0,物防型,无,1
#,火星,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_g,0,0,绿,0,0,0,99999,法术防御,0,0,无,0,0,法防型,无,1
#,土星,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_g,0,0,绿,0,0,0,99999,速度,0,0,无,0,0,速度型,无,1
31006,天王星,星座,1,,Icon/xzxt_xz_twx,Constellation/xzxt_g,0,0,绿,0,0,0,0,血量,180,180,无,0,0,血量型,无,1
#,冥王星,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_g,0,0,绿,0,0,0,99999,X19,0,0,无,0,0,,,1
#,海王星,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_g,0,0,绿,0,0,0,99999,X20,0,0,无,0,0,,,1
31021,大熊座,星座,1,物攻+120，每升一级物攻+120,Icon/xzxt_xz_dx,Constellation/xzxt_b,0,0,蓝,0,0,0,0,物理攻击,120,120,无,0,0,物攻型,无,1
31022,白鸟座,星座,1,法攻+120，每升一级法攻+120,Icon/xzxt_xz_bn,Constellation/xzxt_b,0,0,蓝,0,0,0,0,法术攻击,120,120,无,0,0,法攻型,无,1
31023,天龙座,星座,1,物防+72，每升一级物防+72,Icon/xzxt_xz_tlz,Constellation/xzxt_b,0,0,蓝,0,0,0,0,物理防御,72,72,无,0,0,物防型,无,1
