Table:CsvConsumeScoreAward,,,,
tid,name:s,items:a,items_count:a,score
#,名字,奖励物品列表,奖励物品数量列表,需求积分
#,,最多四个,最多四个,
#附魔材料,,,,
10001,消费积分到达1分可领取,50028,1,1
10002,消费积分到达500分可领取,"44003,44002,","2,5,",500
10003,消费积分到达4000分可领取,"44003,44002,","10,10,",4000
10004,消费积分到达8000分可领取,"44004,44003,","6,10,",8000
10005,消费积分到达15000分可领取,"44004,44003,","20,20,",15000
#物理攻击,,,,
20001,消费积分到达1分可领取,50029,1,1
20002,消费积分到达500分可领取,"20091,",1,500
20003,消费积分到达4000分可领取,"40042,",1,4000
20004,消费积分到达8000分可领取,"20092,",1,8000
20005,消费积分到达15000分可领取,"20093,",1,15000
#法术攻击,,,,
30001,消费积分到达1分可领取,50028,1,1
30002,消费积分到达500分可领取,"20111,",1,500
30003,消费积分到达4000分可领取,"40042,",1,4000
30004,消费积分到达8000分可领取,"20112,",1,8000
30005,消费积分到达15000分可领取,"20113,",1,15000
#物理防御,,,,
40001,消费积分到达1分可领取,50029,1,1
40002,消费积分到达500分可领取,"20101,",1,500
40003,消费积分到达4000分可领取,"40042,",1,4000
40004,消费积分到达8000分可领取,"20102,",1,8000
40005,消费积分到达15000分可领取,"20103,",1,15000
#法术防御,,,,
50001,消费积分到达1分可领取,50028,1,1
50002,消费积分到达500分可领取,"20121,",1,500
50003,消费积分到达4000分可领取,"40042,",1,4000
50004,消费积分到达8000分可领取,"20122,",1,8000
50005,消费积分到达15000分可领取,"20123,",1,15000
#血量,,,,
60001,消费积分到达1分可领取,50029,1,1
60002,消费积分到达500分可领取,"20071,",1,500
60003,消费积分到达4000分可领取,"40042,",1,4000
60004,消费积分到达8000分可领取,"20072,",1,8000
60005,消费积分到达15000分可领取,"20073,",1,15000
#芒星石,,,,
70001,消费积分到达1分可领取,50027,1,1
70002,消费积分到达500分可领取,108,2000,500
70003,消费积分到达5000分可领取,108,8000,5000
70004,消费积分到达10000分可领取,40008,2,10000
70005,消费积分到达20000分可领取,40008,3,20000
#打孔装置,,,,
80001,消费积分到达1分可领取,50028,1,1
80002,消费积分到达500分可领取,108,3000,500
80003,消费积分到达3000分可领取,108,7500,3000
80004,消费积分到达8000分可领取,40051,12,8000
80005,消费积分到达15000分可领取,40051,24,15000
#奥术之尘,,,,
90001,消费积分到达1分可领取,50029,1,1
90002,消费积分到达500分可领取,107,200000,500
90003,消费积分到达3000分可领取,107,500000,3000
90004,消费积分到达8000分可领取,40033,2,8000
90005,消费积分到达15000分可领取,40033,4,15000
#战魂+高级召唤石,,,,
100001,消费积分到达1分可领取,50028,1,1
100002,消费积分到达500分可领取,"40007,108,","1,500,",500
100003,消费积分到达2000分可领取,"40007,108,","2,1000,",2000
100004,消费积分到达5000分可领取,"40007,108,","3,5000,",5000
100005,消费积分到达10000分可领取,"40007,108,","4,12000,",10000
#铭文,,,,
110001,消费积分到达1分可领取,50029,1,1
110002,消费积分到达500分可领取,"120011,",2,500
110003,消费积分到达5000分可领取,"120011,",4,5000
110004,消费积分到达10000分可领取,"120011,",8,10000
110005,消费积分到达20000分可领取,"40054,120011,","1,8,",20000
,,,,
Table:CsvExchangeScoreAward,,,,
tid,itemId,item_count,score,
#,兑换奖励物品ID,物品数量,需求积分,
10006,50028,1,200,
20006,50029,1,300,
30006,50061,1,300,
40006,50029,1,300,
50006,50061,1,300,
60006,50029,1,300,
70006,50027,1,300,
80006,50028,1,200,
90006,50029,1,300,
100006,50061,1,300,
110006,50029,1,300,
