Table:CsvContinuousLogin,,,,,
tid,name:s,d#start_time,d#end_time,items:a,items_count:a
#,名字,开始时间,结束时间,奖励物品列表,奖励物品数量列表
10000,配置时间,20160101,20160201,,
10001,第一天,20160101,20160201,101,10
10002,第二天,20160101,20160201,"101, 106","50,50"
10003,第三天,20160101,20160201,"101, 106, 1001","50,50,50"
10004,第四天,20160101,20160201,"101, 106, 1002","50,50,51"
10005,第五天,20160101,20160201,"101, 106, 1003","50,50,52"
10006,第六天,20160101,20160201,"101, 106, 1004","50,50,53"
10007,第七天,20160101,20160201,"101, 106, 1005","50,50,54"
#,,,,,
#,,,,,
20000,配置时间,20160101,20160201,,
20001,第一天,20160101,20160201,101,10
20002,第二天,20160101,20160201,"101, 106","50,50"
20003,第三天,20160101,20160201,"101, 106, 1001","50,50,50"
20004,第四天,20160101,20160201,"101, 106, 1002","50,50,51"
20005,第五天,20160101,20160201,"101, 106, 1003","50,50,52"
20006,第六天,20160101,20160201,"101, 106, 1004","50,50,53"
20007,第七天,20160101,20160201,"101, 106, 1005","50,50,54"
#,,,,,
#,,,,,
30000,配置时间,20160101,20160201,,
30001,第一天,20160101,20160201,101,10
30002,第二天,20160101,20160201,"101, 106","50,50"
30003,第三天,20160101,20160201,"101, 106, 1001","50,50,50"
30004,第四天,20160101,20160201,"101, 106, 1002","50,50,51"
30005,第五天,20160101,20160201,"101, 106, 1003","50,50,52"
30006,第六天,20160101,20160201,"101, 106, 1004","50,50,53"
30007,第七天,20160101,20160201,"101, 106, 1005","50,50,54"
