Table:CsvDrop,,,,,,
tid,type:DropType,group,desc:s,itemTid,itemCount,probability
#,类型,掉落组,掉落组说明,道具编号,掉落个数,几率
#,,,,[物品TID],,
#,,,,[英雄TID],,
#,,,,,,
101,英雄,1,普通钻石抽将,1212,1,321
102,英雄,1,普通钻石抽将,1217,1,321
103,英雄,1,普通钻石抽将,1225,1,321
104,英雄,1,普通钻石抽将,1205,1,321
105,英雄,1,普通钻石抽将,1228,1,322
106,英雄,1,普通钻石抽将,1227,1,322
107,英雄,1,普通钻石抽将,1214,1,322
108,英雄,1,普通钻石抽将,1223,1,321
109,英雄,1,普通钻石抽将,1230,1,321
110,英雄,1,普通钻石抽将,1204,1,321
111,英雄,1,普通钻石抽将,1206,1,321
112,英雄,1,普通钻石抽将,1209,1,322
113,英雄,1,普通钻石抽将,1211,1,322
114,英雄,1,普通钻石抽将,1218,1,322
115,英雄,1,普通钻石抽将,1105,1,258
116,英雄,1,普通钻石抽将,1107,1,258
117,英雄,1,普通钻石抽将,1112,1,258
118,英雄,1,普通钻石抽将,1117,1,258
119,英雄,1,普通钻石抽将,1122,1,258
120,英雄,1,普通钻石抽将,1128,1,258
121,英雄,1,普通钻石抽将,1130,1,258
122,英雄,1,普通钻石抽将,1104,1,258
123,英雄,1,普通钻石抽将,1124,1,259
124,英雄,1,普通钻石抽将,1109,1,258
125,英雄,1,普通钻石抽将,1111,1,259
126,英雄,1,普通钻石抽将,1115,1,258
127,英雄,1,普通钻石抽将,1110,1,259
128,英雄,1,普通钻石抽将,1113,1,258
129,英雄,1,普通钻石抽将,1125,1,259
130,英雄,1,普通钻石抽将,1114,1,258
131,英雄,1,普通钻石抽将,1106,1,259
132,英雄,1,普通钻石抽将,1116,1,258
133,英雄,1,普通钻石抽将,1118,1,258
134,英雄,1,普通钻石抽将,1120,1,258
135,英雄,1,普通钻石抽将,1127,1,258
136,英雄,1,普通钻石抽将,1006,1,7
137,英雄,1,普通钻石抽将,1014,1,7
138,英雄,1,普通钻石抽将,1026,1,7
139,英雄,1,普通钻石抽将,1030,1,7
140,英雄,1,普通钻石抽将,1029,1,7
141,英雄,1,普通钻石抽将,1017,1,7
142,英雄,1,普通钻石抽将,1021,1,7
143,英雄,1,普通钻石抽将,1005,1,7
144,英雄,1,普通钻石抽将,1009,1,7
145,英雄,1,普通钻石抽将,1015,1,7
146,英雄,1,普通钻石抽将,1018,1,7
201,英雄,2,钻石抽将-紫,1112,1,476
