Table:CsvDropMgr,,,,
tid,name:s,group,probability,sub_group
#,名字,掉落组,几率,子掉落组
101,普通钻石抽将,1,10000,1
201,钻石抽将-紫,2,10000,2
301,钻石抽将-橙,3,10000,3
401,普通战令抽将-首抽,4,10000,4
501,普通战令抽将,5,10000,5
601,神将活动-克总,6,10000,6
701,神将活动-逐日者,7,10000,7
801,神将活动-牛头人酋长,8,10000,8
901,抢夺-翻牌奖励,9,10000,9
1001,神将活动-半神塞纳留斯,10,10000,10
1101,神将活动-格罗姆地狱咆哮,11,10000,11
1201,神将活动-图拉扬,12,10000,12
1301,征战掉落-假概率（成功）道具,13,10000,11
1302,征战掉落-假概率（成功）铜币,13,10000,8
1303,征战掉落-假概率（成功）战魂,13,10000,10
1401,征战掉落-假概率（失败）铜币,14,10000,8
1402,征战掉落-假概率（失败）战魂,14,10000,10
#,,,,
1701,采集-援助（程序写死的掉落组）,17,10000,1701
1702,采集-援助（程序写死的掉落组）,17,1000,1702
1801,采集-被援助（程序写死的掉落组）,18,10000,1801
2001,采集-可能得物品,20,10000,2001
2101,采集-可能得物品,21,10000,2101
2201,采集-可能得物品,22,10000,2201
2301,采集-可能得物品,23,10000,2301
2401,采集-可能得物品,24,10000,2401
2501,采集-可能得物品,25,10000,2501
2601,采集-可能得物品,26,10000,2601
2701,采集-可能得物品,27,10000,2701
2801,采集-可能得物品,28,10000,2801
2901,采集-可能得物品,29,10000,2901
3001,采集-可能得物品,30,10000,3001
3101,采集-可能得物品,31,10000,3101
3201,采集-可能得物品,32,10000,3201
3301,采集-可能得物品,33,10000,3301
3401,采集-可能得物品,34,10000,3401
#,,,,
5001,四选一饰品宝箱,50,10000,5001
5101,四选一饰品宝箱,51,10000,5101
5201,四选一饰品宝箱,52,10000,5201
5301,四选一饰品宝箱,53,10000,5301
5401,橙将四选一宝箱,54,10000,5401
5501,橙将四选一宝箱,55,10000,5501
5601,橙将四选一宝箱,56,10000,5601
5701,橙将四选一宝箱,57,10000,5701
5801,稀有橙将四选一宝箱,58,10000,5801
5901,稀有橙将四选一宝箱,59,10000,5901
6001,稀有橙将四选一宝箱,60,10000,6001
6101,稀有橙将四选一宝箱,61,10000,6101
6201,10品质紫装四选一宝箱,62,10000,6201
6301,10品质紫装四选一宝箱,63,10000,6301
6401,10品质紫装四选一宝箱,64,10000,6401
