Table:CsvEnchanting,,,,,,,,,,
tid,equip_tid,quality_level,attr_type1:AttrType,base1_value,add1_value,attr_type2:AttrType,base2_value,add2_value,stage_levels:a,buffs_id:a
#,装备tid（程序只需要五位去匹配装备表里面的前五位）只配5位！！！,品级,属性类型1,基础属性值1(数值型),加成属性值1(数值型)每一级增加的属性值,属性类型2,基础属性值2,加成属性值2每一级增加的属性值,阶段等级,buff表的id数组
1,10089,10,法术攻击,,10,血量,,12,,
2,10090,10,物理攻击,,10,血量,,12,,
3,10091,10,血量,,42,,,,,
4,10092,10,法术防御,,6,血量,,12,,
5,10093,10,物理防御,,6,血量,,12,,
6,10094,10,速度,,5,血量,,12,,
7,10118,15,法术攻击,,10,血量,,24,"20,28,35,41,46,50,","10168,10198,10168,10168,10198,10168,"
8,10119,15,物理攻击,,10,血量,,24,"20,28,35,41,46,50,","10168,10198,10168,10168,10198,10168,"
9,10120,15,血量,,54,,,,"20,28,35,41,46,50,","10192,10202,10192,10192,10202,10193,"
10,10121,15,物理防御,,6,血量,,24,"20,28,35,41,46,50,","10174,10202,10174,10174,10202,10175,"
11,10122,15,法术防御,,6,血量,,24,"20,28,35,41,46,50,","10180,10206,10180,10180,10206,10181,"
12,10123,15,速度,,5,血量,,24,"20,28,35,41,46,50,","10186,10206,10186,10186,10206,10187,"
13,10124,15,物理攻击,,10,血量,,24,"20,28,35,41,46,50,","10168,10198,10168,10168,10198,10168,"
14,10141,20,法术攻击,,15,血量,,36,"20,28,35,41,46,50,","10170,10199,10170,10170,10199,10170,"
15,10142,20,物理防御,,9,血量,,36,"20,28,35,41,46,50,","10176,10203,10176,10176,10203,10177,"
16,10143,20,血量,,81,,,,"20,28,35,41,46,50,","10194,10203,10194,10194,10203,10195,"
17,10144,20,物理攻击,,15,血量,,36,"20,28,35,41,46,50,","10170,10199,10170,10170,10199,10170,"
18,10145,20,法术防御,,9,血量,,36,"20,28,35,41,46,50,","10182,10207,10182,10182,10207,10183,"
19,10146,20,速度,,7,血量,,36,"20,28,35,41,46,50,","10188,10207,10188,10188,10207,10189,"
20,10147,25,物理攻击,,20,血量,,51,"20,28,35,41,46,50,","10172,10200,10172,10172,10200,10172,"
21,10148,25,法术防御,,12,血量,,51,"20,28,35,41,46,50,","10184,10208,10184,10184,10208,10185,"
22,10149,25,速度,,10,血量,,51,"20,28,35,41,46,50,","10190,10208,10190,10190,10208,10191,"
23,10150,25,法术攻击,,20,血量,,51,"20,28,35,41,46,50,","10172,10200,10172,10172,10200,10172,"
24,10151,25,血量,,111,,,,"20,28,35,41,46,50,","10196,10204,10196,10196,10204,10197,"
25,10152,25,物理防御,,12,血量,,51,"20,28,35,41,46,50,","10178,10204,10178,10178,10204,10179,"
