Table:CsvEpigraph,,,,,,,,,,
tid,HeroTid,Layer,Index,Exp,TotalExp,BuffTids:a,SkillTid1,SkillTid2,item_tid:a,num:a
# ,英雄TID,铭文层数,第几个铭文,当前的等级需要多少经验,总共需要多少经验,铭文增加的Buff,铭文替换的普通技能,铭文替换的怒气技能,消耗物品id,消耗物品数量
1,1001,1,1,30,0,11001,,,107,100000
2,1001,1,2,50,30,11002,,,107,120000
3,1001,1,3,70,80,11003,,,107,150000
4,1001,1,4,100,150,11007,,,107,180000
5,1001,1,5,60,250,11004,,,107,120000
6,1001,1,6,80,310,11005,,,107,150000
7,1001,1,7,100,390,11006,,,107,180000
8,1001,1,8,120,490,11008,,,107,200000
9,1001,1,9,150,610,11013,,10071,40054,1
10,1001,2,1,,,,,,,
11,1002,1,1,30,0,11001,,,107,100000
12,1002,1,2,50,30,11002,,,107,120000
13,1002,1,3,70,80,11003,,,107,150000
14,1002,1,4,100,150,11007,,,107,180000
15,1002,1,5,60,250,11004,,,107,120000
16,1002,1,6,80,310,11005,,,107,150000
17,1002,1,7,100,390,11006,,,107,180000
18,1002,1,8,120,490,11008,,,107,200000
19,1002,1,9,150,610,11013,,10071,40054,1
20,1002,2,1,,,,,,,
21,1003,1,1,30,0,11001,,,107,100000
22,1003,1,2,50,30,11002,,,107,120000
23,1003,1,3,70,80,11003,,,107,150000
24,1003,1,4,100,150,11009,,,107,180000
25,1003,1,5,60,250,11004,,,107,120000
26,1003,1,6,80,310,11005,,,107,150000
27,1003,1,7,100,390,11006,,,107,180000
28,1003,1,8,120,490,11011,,,107,200000
29,1003,1,9,150,610,11013,,10491,40054,1
30,1003,2,1,,,,,,,
31,1004,1,1,30,0,11001,,,107,100000
32,1004,1,2,50,30,11002,,,107,120000
33,1004,1,3,70,80,11003,,,107,150000
34,1004,1,4,100,150,11010,,,107,180000
35,1004,1,5,60,250,11004,,,107,120000
36,1004,1,6,80,310,11005,,,107,150000
37,1004,1,7,100,390,11006,,,107,180000
38,1004,1,8,120,490,11012,,,107,200000
39,1004,1,9,150,610,11013,,10471,40054,1
40,1004,2,1,,,,,,,
41,1005,1,1,30,0,11001,,,107,100000
42,1005,1,2,50,30,11002,,,107,120000
43,1005,1,3,70,80,11003,,,107,150000
44,1005,1,4,100,150,11007,,,107,180000
45,1005,1,5,60,250,11004,,,107,120000
46,1005,1,6,80,310,11005,,,107,150000
47,1005,1,7,100,390,11006,,,107,180000
48,1005,1,8,120,490,11008,,,107,200000
49,1005,1,9,150,610,11013,,10281,40054,1
50,1005,2,1,,,,,,,
51,1006,1,1,30,0,11001,,,107,100000
52,1006,1,2,50,30,11002,,,107,120000
53,1006,1,3,70,80,11003,,,107,150000
54,1006,1,4,100,150,11009,,,107,180000
55,1006,1,5,60,250,11004,,,107,120000
56,1006,1,6,80,310,11005,,,107,150000
57,1006,1,7,100,390,11006,,,107,180000
58,1006,1,8,120,490,11011,,,107,200000
59,1006,1,9,150,610,11013,,10071,40054,1
60,1006,2,1,,,,,,,
61,1007,1,1,30,0,11001,,,107,100000
62,1007,1,2,50,30,11002,,,107,120000
63,1007,1,3,70,80,11003,,,107,150000
64,1007,1,4,100,150,11010,,,107,180000
65,1007,1,5,60,250,11004,,,107,120000
66,1007,1,6,80,310,11005,,,107,150000
67,1007,1,7,100,390,11006,,,107,180000
68,1007,1,8,120,490,11012,,,107,200000
69,1007,1,9,150,610,11013,,10131,40054,1
70,1007,2,1,,,,,,,
71,1008,1,1,30,0,11001,,,107,100000
72,1008,1,2,50,30,11002,,,107,120000
73,1008,1,3,70,80,11003,,,107,150000
74,1008,1,4,100,150,11010,,,107,180000
75,1008,1,5,60,250,11004,,,107,120000
76,1008,1,6,80,310,11005,,,107,150000
77,1008,1,7,100,390,11006,,,107,180000
78,1008,1,8,120,490,11012,,,107,200000
79,1008,1,9,150,610,11013,,10331,40054,1
80,1008,2,1,,,,,,,
81,1009,1,1,30,0,11001,,,107,100000
82,1009,1,2,50,30,11002,,,107,120000
83,1009,1,3,70,80,11003,,,107,150000
84,1009,1,4,100,150,11007,,,107,180000
85,1009,1,5,60,250,11004,,,107,120000
86,1009,1,6,80,310,11005,,,107,150000
87,1009,1,7,100,390,11006,,,107,180000
88,1009,1,8,120,490,11008,,,107,200000
89,1009,1,9,150,610,11013,,10361,40054,1
90,1009,2,1,,,,,,,
91,1010,1,1,30,0,11001,,,107,100000
92,1010,1,2,50,30,11002,,,107,120000
93,1010,1,3,70,80,11003,,,107,150000
94,1010,1,4,100,150,11007,,,107,180000
95,1010,1,5,60,250,11004,,,107,120000
96,1010,1,6,80,310,11005,,,107,150000
97,1010,1,7,100,390,11006,,,107,180000
98,1010,1,8,120,490,11008,,,107,200000
