Table:CsvItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:ItemType,max_num,desc:s,icon_path:s,icon_path_s:s,is_sell:b,sell_price,display_color:ItemColor,para1,para2,para3,sort_order,need_level,is_use:b,equip_type:EquipType,equip_limited_lv,equip_main_attr0:AttrType,equip_standard_value0,equip_inc_value0,equip_main_attr1:AttrType,equip_standard_value1,equip_inc_value1,equip_side_attr:AttrType,can_upgrade:b,occupation_type:OccupationType,addAttr1,Probability1,addAttr2,Probability2,punch_cost_id:a,punch_cost_num:a,punch_num,equip_grade,extraction_cost,appriasal_cost
#,道具名,类型,堆叠上限,道具描述,大图标路径,小图标路径,是否可出售,基础出售价格,物品颜色,参数1,参数2,参数3,排序优先级,物品的需求等级,是否可用,装备类型,装备需求等级,属性类型0,基础数值0,加成数值0,属性类型1,基础数值1,加成数值1,副属性类型,是否可以进阶,职业类型,附加属性类型1,附加属性类型1概率,附加属性类型2,附加属性类型2概率,打孔消耗道具,打孔消耗数量,可以打几个孔,品级,抽取消耗道具数量,鉴定石消耗数量
100010,粗制重剑,装备,1,,Icon/cuzhizhongjian,,1,500,白,,,,0,1,1,武器,1,物理攻击,20,2,,,,,0,物理,,,,,,,,1,,
100020,弯曲的法杖,装备,1,,Icon/wanqudefazhang,,1,500,白,,,,0,1,1,武器,1,法术攻击,20,2,,,,,0,法术,,,,,,,,1,,
100030,不整洁的短裤,装备,1,,Icon/buzhengjiededuanku,,1,500,白,,,,0,1,1,裤子,1,血量,60,6,,,,,0,全部,,,,,,,,1,,
100040,磨损的外套,装备,1,,Icon/mosundewaitao,,1,500,白,,,,0,1,1,铠甲,1,物理防御,12,1,,,,,0,全部,,,,,,,,1,,
100050,破旧的渔帽,装备,1,,Icon/pojiudeyumao,,1,500,白,,,,0,1,1,头盔,1,法术防御,12,1,,,,,0,全部,,,,,,,,1,,
100060,劣质战靴,装备,1,,Icon/liezhizhanxue,,1,500,白,,,,0,1,1,鞋子,1,速度,10,1,,,,,0,全部,,,,,,,,1,,
100031,旅者短裤,装备,1,,Icon/lvzheduanku,,1,500,绿,,,,0,1,1,裤子,1,血量,90,6,,,,,0,全部,,,,,,,,1,,
100041,毒丝长袍,装备,1,,Icon/mosundewaitao,,1,500,绿,,,,0,1,1,铠甲,1,物理防御,18,1,,,,,0,全部,,,,,,,,1,,
100051,丝质头带,装备,1,,Icon/sizhitoudai,,1,500,绿,,,,0,1,1,头盔,1,法术防御,18,1,,,,,0,全部,,,,,,,,1,,
100110,残酷倒钩,装备,1,,Icon/cankudaogou,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,40,4,,,,,1,物理,1001101,6800,1001102,3200,40051,5,2,2,5,4
100120,曲奇的烧火棍,装备,1,,Icon/quqidechuihuo,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,40,4,,,,,1,法术,1001201,6800,1001202,3200,40051,5,2,2,5,4
100130,黑暗迪菲亚护腿,装备,1,,Icon/heiandifeiyahutui,,1,1000,蓝,,,,0,1,1,裤子,1,血量,120,12,,,,,1,全部,1001301,6800,1001302,3200,40051,5,2,2,5,4
100140,黑暗迪菲亚护甲,装备,1,,Icon/heiandifeiyahujia,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,24,2,,,,,1,全部,1001401,6800,1001402,3200,40051,5,2,2,5,4
100150,头盔,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,24,2,,,,,1,全部,1001501,6800,1001502,3200,40051,5,2,2,5,4
100160,靴,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,20,2,,,,,1,全部,1001601,6800,1001602,3200,40051,5,2,2,5,4
100210,毒蛇,装备,1,,Icon/dushe,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,60,4,,,,,1,物理,1002101,6800,1002102,3200,40051,5,2,2,5,4
100220,生命之根,装备,1,,Icon/shengmingzhigen,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,60,4,,,,,1,法术,1002201,6800,1002202,3200,40051,5,2,2,5,4
100230,尖牙护腿,装备,1,,Icon/jianyahutui,,1,1000,蓝,,,,0,1,1,裤子,1,血量,180,12,,,,,1,全部,1002301,6800,1002302,3200,40051,5,2,2,5,4
100240,尖牙外套,装备,1,,Icon/jianyawaitao,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,36,2,,,,,1,全部,1002401,6800,1002402,3200,40051,5,2,2,5,4
100250,头盔,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,36,2,,,,,1,全部,1002501,6800,1002502,3200,40051,5,2,2,5,4
100260,靴,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,30,2,,,,,1,全部,1002601,6800,1002602,3200,40051,5,2,2,5,4
100310,曲刃战斧,装备,1,,Icon/qurenzhanfu,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,60,5,,,,,1,物理,1003101,6000,1003102,4000,40051,5,2,4,5,4
100320,奥杜之杖,装备,1,,Icon/aoduzhizhang,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,60,5,,,,,1,法术,1003201,6000,1003202,4000,40051,5,2,4,5,4
100330,护腿,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,裤子,1,血量,180,15,,,,,1,全部,1003301,6000,1003302,4000,40051,5,2,4,5,4
100340,影牙堡主法袍,装备,1,,Icon/alugaofapao,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,36,3,,,,,1,全部,1003401,6000,1003402,4000,40051,5,2,4,5,4
100350,追随者眼罩,装备,1,,Icon/zhuisuizheyanzhao,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,36,3,,,,,1,全部,1003501,6000,1003502,4000,40051,5,2,4,5,4
100360,靴,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,30,2,,,,,1,全部,1003601,6000,1003602,4000,40051,5,2,4,5,4
100410,纳迦穿心者,装备,1,,Icon/najiachuanxinzhe,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,80,5,,,,,1,物理,1004101,6000,1004102,4000,40051,5,2,4,5,4
100420,梦游者魔棒,装备,1,,Icon/mengyouzhemobang,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,80,5,,,,,1,法术,1004201,6000,1004202,4000,40051,5,2,4,5,4
100430,凝望短裤,装备,1,,Icon/ningwangduanku,,1,1000,蓝,,,,0,1,1,裤子,1,血量,240,15,,,,,1,全部,1004301,6000,1004302,4000,40051,5,2,4,5,4
100440,海龟护甲,装备,1,,Icon/haiguihujia,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,48,3,,,,,1,全部,1004401,6000,1004402,4000,40051,5,2,4,5,4
100450,头盔,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,48,3,,,,,1,全部,1004501,6000,1004502,4000,40051,5,2,4,5,4
100460,靴,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,40,2,,,,,1,全部,1004601,6000,1004602,4000,40051,5,2,4,5,4
100510,厄运钟摆,装备,1,,Icon/eyunzhongbai,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,80,6,,,,,1,物理,1005101,6000,1005102,4000,40051,5,2,,5,4
100520,法杖,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,80,6,,,,,1,法术,1005201,6000,1005202,4000,40051,5,2,,5,4
