Table:CsvEquipEnhance,,,,
tid,cost,accum_cost,critical_rate,critical_rate2
#(int)(TID / 10)  * 1000 + EnLv,升级花费,累积花费,强化暴击概率万分比,Vip2以下强化暴击概率
10001001,30,0,2000,1000
10001002,31,30,2000,1000
10001003,35,61,2000,1000
10001004,43,96,2000,1000
10001005,53,139,2000,1000
10001006,67,192,2000,1000
10001007,85,259,2000,1000
10001008,105,344,2000,1000
10001009,129,449,2000,1000
10001010,157,578,2000,1000
10001011,187,735,2000,1000
10001012,221,922,2000,1000
10001013,259,1143,2000,1000
10001014,299,1402,2000,1000
10001015,343,1701,2000,1000
10001016,390,2044,2000,1000
10001017,441,2434,2000,1000
10001018,495,2875,2000,1000
10001019,552,3370,2000,1000
10001020,612,3922,2000,1000
10001021,676,4534,1500,750
10001022,743,5210,1500,750
10001023,813,5953,1500,750
10001024,887,6766,1500,750
10001025,964,7653,1500,750
10001026,1044,8617,1500,750
10001027,1128,9661,1500,750
10001028,1215,10789,1500,750
10001029,1305,12004,1500,750
10001030,1399,13309,1500,750
10001031,1496,14708,1000,500
10001032,1596,16204,1000,500
10001033,1699,17800,1000,500
10001034,1806,19499,1000,500
10001035,1916,21305,1000,500
10001036,2030,23221,1000,500
10001037,2147,25251,1000,500
10001038,2267,27398,1000,500
10001039,2390,29665,1000,500
10001040,2517,32055,1000,500
10001041,2647,34572,1000,500
10001042,2780,37219,1000,500
10001043,2917,39999,1000,500
10001044,3056,42916,1000,500
10001045,3200,45972,1000,500
10001046,3346,49172,1000,500
10001047,3496,52518,1000,500
10001048,3649,56014,1000,500
10001049,3806,59663,1000,500
10001050,3966,63469,1000,500
10001051,4129,67435,1000,500
10001052,4295,71564,1000,500
10001053,4465,75859,1000,500
10001054,4638,80324,1000,500
10001055,4814,84962,1000,500
10001056,4994,89776,1000,500
10001057,5177,94770,1000,500
10001058,5363,99947,1000,500
10001059,5553,105310,1000,500
10001060,5746,110863,1000,500
10001061,5943,116609,500,250
10001062,6143,122552,500,250
10001063,6347,128695,500,250
10001064,6553,135042,500,250
10001065,6763,141595,500,250
10001066,6976,148358,500,250
10001067,7193,155334,500,250
10001068,7413,162527,500,250
10001069,7635,169940,500,250
10001070,7861,177575,500,250
10001071,8091,185436,500,250
10001072,8323,193527,500,250
10001073,8559,201850,500,250
10001074,8798,210409,500,250
10001075,9040,219207,500,250
10001076,9286,228247,500,250
10001077,9535,237533,500,250
10001078,9786,247068,500,250
10001079,10041,256854,500,250
10001080,11260,266895,500,250
10001081,12868,278155,200,100
10001082,14496,291023,200,100
10001083,16144,305519,200,100
10001084,17811,321663,200,100
10001085,19499,339474,200,100
10001086,21206,358973,200,100
10001087,22933,380179,200,100
10001088,24681,403112,200,100
10001089,26447,427793,200,100
10001090,28234,454240,200,100
10001091,30041,482474,200,100
10001092,31868,512515,200,100
10001093,33714,544383,200,100
10001094,35580,578097,200,100
10001095,37467,613677,200,100
10001096,39373,651144,200,100
10001097,41298,690517,200,100
10001098,43244,731815,200,100
10001099,45210,775059,200,100
10001100,47196,820269,200,100
10001101,49201,867465,200,100
10001102,51226,916666,200,100
10001103,53271,967892,200,100
10001104,55336,1021163,200,100
10001105,57421,1076499,200,100
10001106,59526,1133920,200,100
10001107,61651,1193446,200,100
10001108,63795,1255097,200,100
10001109,65960,1318892,200,100
10001110,68144,1384852,200,100
10001111,70348,1452996,200,100
10001112,72572,1523344,200,100
10001113,74816,1595916,200,100
10001114,77080,1670732,200,100
10001115,79363,1747812,200,100
10001116,81667,1827175,200,100
10001117,83990,1908842,200,100
10001118,86333,1992832,200,100
10001119,88697,2079165,200,100
10001120,91576,2167862,200,100
10001121,94777,2259438,200,100
10001122,98005,2354215,200,100
10001123,101259,2452220,200,100
10001124,104539,2553479,200,100
10001125,107847,2658018,200,100
10001126,111180,2765865,200,100
10001127,114540,2877045,200,100
10001128,117927,2991585,200,100
10001129,121340,3109512,200,100
10001130,124779,3230852,200,100
10001131,128245,3355631,200,100
10001132,131738,3483876,200,100
10001133,135257,3615614,200,100
10001134,138802,3750871,200,100
10001135,142374,3889673,200,100
10001136,145973,4032047,200,100
10001137,149598,4178020,200,100
10001138,153249,4327618,200,100
10001139,156927,4480867,200,100
10001140,160632,4637794,200,100
10001141,164362,4798426,200,100
10001142,168120,4962788,200,100
10001143,171904,5130908,200,100
10001144,175714,5302812,200,100
10001145,179551,5478526,200,100
10001146,183415,5658077,200,100
10001147,187305,5841492,200,100
10001148,191221,6028797,200,100
10001149,195164,6220018,200,100
10001150,199134,6415182,200,100
10001151,203129,6614316,200,100
10001152,207152,6817445,200,100
10001153,211201,7024597,200,100
10001154,215276,7235798,200,100
10001155,219378,7451074,200,100
10001156,223507,7670452,200,100
10001157,227661,7893959,200,100
10001158,231843,8121620,200,100
10001159,236051,8353463,200,100
10001160,241444,8589514,200,100
10001161,248097,8830958,100,50
10001162,254792,9079055,100,50
10001163,261527,9333847,100,50
10001164,268305,9595374,100,50
10001165,275123,9863679,100,50
10001166,281983,10138802,100,50
10001167,288885,10420785,100,50
10001168,295827,10709670,100,50
10001169,302812,11005497,100,50
10001170,309837,11308309,100,50
10001171,316904,11618146,100,50
10001172,324012,11935050,100,50
10001173,331162,12259062,100,50
10001174,338353,12590224,100,50
10001175,345586,12928577,100,50
10001176,352860,13274163,100,50
10001177,360175,13627023,100,50
10001178,367532,13987198,100,50
10001179,374930,14354730,100,50
10001180,382370,14729660,100,50
10001181,389851,15112030,100,50
10001182,397373,15501881,100,50
10001183,404937,15899254,100,50
10001184,412542,16304191,100,50
10001185,420189,16716733,100,50
10001186,427877,17136922,100,50
10001187,435606,17564799,100,50
10001188,443377,18000405,100,50
10001189,451189,18443782,100,50
10001190,459043,18894971,100,50
10001191,466938,19354014,100,50
10001192,474874,19820952,100,50
10001193,482852,20295826,100,50
10001194,490871,20778678,100,50
10001195,498932,21269549,100,50
10001196,507034,21768481,100,50
10001197,515177,22275515,100,50
10001198,523362,22790692,100,50
10001199,531588,23314054,100,50
10001200,543996,23845642,100,50
10001201,563925,24389638,100,50
10002001,30,0,2000,1000
10002002,31,30,2000,1000
10002003,35,61,2000,1000
10002004,43,96,2000,1000
10002005,53,139,2000,1000
10002006,67,192,2000,1000
10002007,85,259,2000,1000
10002008,105,344,2000,1000
10002009,129,449,2000,1000
10002010,157,578,2000,1000
10002011,187,735,2000,1000
10002012,221,922,2000,1000
10002013,259,1143,2000,1000
10002014,299,1402,2000,1000
10002015,343,1701,2000,1000
10002016,390,2044,2000,1000
10002017,441,2434,2000,1000
10002018,495,2875,2000,1000
10002019,552,3370,2000,1000
10002020,612,3922,2000,1000
10002021,676,4534,1500,750
10002022,743,5210,1500,750
10002023,813,5953,1500,750
10002024,887,6766,1500,750
10002025,964,7653,1500,750
10002026,1044,8617,1500,750
10002027,1128,9661,1500,750
10002028,1215,10789,1500,750
10002029,1305,12004,1500,750
10002030,1399,13309,1500,750
10002031,1496,14708,1000,500
10002032,1596,16204,1000,500
10002033,1699,17800,1000,500
10002034,1806,19499,1000,500
10002035,1916,21305,1000,500
10002036,2030,23221,1000,500
10002037,2147,25251,1000,500
10002038,2267,27398,1000,500
10002039,2390,29665,1000,500
10002040,2517,32055,1000,500
10002041,2647,34572,1000,500
10002042,2780,37219,1000,500
10002043,2917,39999,1000,500
10002044,3056,42916,1000,500
10002045,3200,45972,1000,500
10002046,3346,49172,1000,500
10002047,3496,52518,1000,500
10002048,3649,56014,1000,500
10002049,3806,59663,1000,500
10002050,3966,63469,1000,500
10002051,4129,67435,1000,500
10002052,4295,71564,1000,500
10002053,4465,75859,1000,500
10002054,4638,80324,1000,500
10002055,4814,84962,1000,500
10002056,4994,89776,1000,500
10002057,5177,94770,1000,500
10002058,5363,99947,1000,500
10002059,5553,105310,1000,500
10002060,5746,110863,1000,500
10002061,5943,116609,500,250
10002062,6143,122552,500,250
10002063,6347,128695,500,250
10002064,6553,135042,500,250
10002065,6763,141595,500,250
10002066,6976,148358,500,250
10002067,7193,155334,500,250
