Table:CsvEquipUpgrade,,,,,,,,,,,,,,,,,,,,,,,,
tid,after_tid,lv_limited,cost,item1_tid,item1_count,item2_tid,item2_count,item3_tid,item3_count,item4_tid,item4_count,item5_tid,item5_count,rebrith_tid,return_item1_tid,return_item1_count,return_item2_tid,return_item2_count,return_item3_tid,return_item3_count,return_item4_tid,return_item4_count,return_item5_tid,return_item5_count
#,升级后装备,需求角色等级,进阶花费(铜币),需求道具1,需求数量1,需求道具2,需求数量2,需求道具3,需求数量3,需求道具4,需求数量4,需求道具5,需求数量5,重生tid,重生返还物品1,重生返还物品数量1,重生返还物品2,重生返还物品数量2,重生返还物品3,重生返还物品数量3,重生返还物品道具4,重生返还物品数量4,重生返还物品道具5,重生返还物品数量5
100110,100111,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100120,100121,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100130,100131,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100140,100141,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100150,100151,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100160,100161,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100210,100211,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100220,100221,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100230,100231,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100240,100241,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100250,100251,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100260,100261,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100310,100311,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100320,100321,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100330,100331,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100340,100341,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100350,100351,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100360,100361,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100410,100411,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100420,100421,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100430,100431,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100440,100441,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100450,100451,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100460,100461,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100510,100511,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100520,100521,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100530,100531,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100540,100541,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100550,100551,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100560,100561,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100610,100611,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
