Table:CsvEquipClearAttr,,,,,,,,,,,,
tid,name:s,attrtype:AttrType,value1:a,value2:a,value3:a,value4:a,,,,,,
# 装备属性tid,显示的名字（只要填套装属性的名字）,属性类型（值类型的属性，不重复）,（绿色的）最小值，最大值(套装最小值等于最大值)，概率(三个，由洗练石决定),（蓝色的）最小值，最大值（同左），概率,（紫色的）最小值，最大值（同左），概率,（橙色的）最小值，最大值（同左），概率,,,,,,
1,,命中,"40,65,6500,5000,4000,","70,90,3500,3800,4800,","95,120,0,1200,1000,","125,150,0,0,200,",,,,,,
2,,命中,"80,130,6500,5000,4000,","140,180,3500,3800,4800,","190,240,0,1200,1000,","250,300,0,0,200,",,,,,,
3,,命中,"100,150,6500,5000,4000,","160,210,3500,3800,4800,","220,280,0,1200,1000,","290,350,0,0,200,",,,,,,
4,,命中,"120,170,6500,5000,4000,","180,240,3500,3800,4800,","250,320,0,1200,1000,","330,400,0,0,200,",,,,,,
5,,命中,"130,180,6500,5000,4000,","190,240,3500,3800,4800,","250,320,0,1200,1000,","330,400,0,0,200,",,,,,,
6,,闪避,"40,65,6500,5000,4000,","70,90,3500,3800,4800,","95,120,0,1200,1000,","125,150,0,0,200,",,,,,,
7,,闪避,"80,130,6500,5000,4000,","140,180,3500,3800,4800,","190,240,0,1200,1000,","250,300,0,0,200,",,,,,,
8,,闪避,"100,150,6500,5000,4000,","160,210,3500,3800,4800,","220,280,0,1200,1000,","290,350,0,0,200,",,,,,,
9,,闪避,"120,170,6500,5000,4000,","180,240,3500,3800,4800,","250,320,0,1200,1000,","330,400,0,0,200,",,,,,,
10,,闪避,"130,180,6500,5000,4000,","190,240,3500,3800,4800,","250,320,0,1200,1000,","330,400,0,0,200,",,,,,,
11,,格挡,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
12,,格挡,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
13,,格挡,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
14,,格挡,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
15,,格挡,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
16,,抵抗,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
17,,抵抗,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
18,,抵抗,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
19,,抵抗,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
20,,抵抗,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
21,,穿透,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
