Table:CsvExp,,,,,
tid,commander_lv_exp,commander_total_exp,add_energy,hero_lv_exp,hero_total_exp
#,单级所需经验,累计经验,升级增加体力,单级所需经验,累计经验
1,50,-1,6,31,-1
2,212,50,6,76,31
3,392,262,6,137,107
4,627,654,6,214,244
5,1024,1281,6,308,458
6,828,2305,6,421,766
7,1086,3133,6,552,1187
8,1385,4219,6,703,1739
9,1425,5604,6,720,2442
10,1763,7029,6,792,3162
11,1946,8792,12,989,3954
12,2105,10738,12,1077,4943
13,2411,12843,12,1239,6020
14,2903,15254,12,1416,7259
15,3275,18157,12,1523,8675
16,4283,21432,18,1905,10198
17,4989,25715,18,2291,12103
18,6059,30704,18,2722,14394
19,7257,36763,18,3202,17116
20,9963,44020,18,3732,20318
21,13053,53983,24,4315,24050
22,17063,67036,24,5105,28365
23,19330,84099,24,5975,33470
24,21688,103429,24,6930,39445
25,24728,125117,24,7947,46375
26,27929,149845,30,9028,54322
27,31292,177774,30,10173,63350
28,34852,209066,30,11383,73523
29,38589,243918,30,12659,84906
30,44208,282507,30,14822,97565
31,51161,326715,36,17750,112387
32,59062,377876,36,21016,130137
33,65988,436938,36,23791,151153
34,72044,502926,36,25931,174944
35,79168,574970,36,28445,200875
36,87683,654138,42,31767,229320
37,96325,741821,42,34829,261087
38,105334,838146,42,38027,295916
39,115699,943480,42,41678,333943
40,126471,1059179,42,45486,375621
41,140857,1185650,48,50926,421107
42,154534,1326507,48,55783,472033
43,168794,1481041,48,60845,527816
44,183697,1649835,48,66112,588661
45,199093,1833532,48,71588,654773
46,216515,2032625,54,78197,726361
47,233072,2249140,54,84122,804558
48,250267,2482212,54,90265,888680
49,268112,2732479,54,96627,978945
50,286523,3000591,54,102626,1075572
51,307197,3287114,60,109809,1178198
52,326779,3594311,60,116135,1288007
53,347044,3921090,60,122616,1404142
54,368009,4268134,60,129989,1526758
55,389635,4636143,60,136818,1656747
56,414617,5025778,60,144735,1793565
57,443060,5440395,60,153788,1938300
58,475433,5883455,60,164022,2092088
59,511858,6358888,60,176482,2256110
60,552476,6870746,60,189293,2432592
61,594229,7423222,60,203560,2621885
62,637211,8017451,60,218292,2825445
63,681709,8654662,60,233492,3043737
64,727551,9336371,60,247792,3277229
65,774782,10063922,60,262410,3525021
66,823293,10838704,60,277347,3787431
67,873094,11661997,60,292601,4064778
68,924414,12535091,60,309885,4357379
69,977275,13459505,60,327664,4667264
70,1031612,14436780,60,345943,4994928
71,1087141,15468392,60,364727,5340871
72,1144163,16555533,60,384022,5705598
73,1202641,17699696,60,401661,6089620
74,1262921,18902337,60,419628,6491281
75,1324598,20165258,60,437921,6910909
76,1391694,21489856,60,457849,7348830
77,1464428,22881550,60,482052,7806679
78,1543508,24345978,60,508240,8288731
79,1628803,25889486,60,536492,8796971
80,1720615,27518289,60,566885,9333463
81,1818754,29238904,60,599500,9900348
82,1923860,31057658,60,631098,10499848
83,2036317,32981518,60,664726,11130946
84,2156405,35017835,60,700436,11795672
85,2283985,37174240,60,738278,12496108
86,2433487,39458225,60,782834,13234386
87,2596455,41891712,60,835628,14017220
88,2773287,44488167,60,892935,14852848
89,2965049,47261454,60,954919,15745783
90,3176533,50226503,60,1023361,16700702
91,3418302,53403036,60,1101778,17724063
92,3697371,56821338,60,1186155,18825841
93,4015417,60518709,60,1282075,20011996
94,4353025,64534126,60,1383095,21294071
95,4709277,68887151,60,1489318,22677166
96,5085022,73596428,60,1609058,24166484
97,5481272,78681450,60,1735406,25775542
98,5898955,84162722,60,1868553,27510948
99,6338686,90061677,60,2008688,29379501
100,6805998,96400363,60,2157841,31388189
101,7313398,103206361,60,2308476,33546030
102,7892068,110519759,60,2480315,35854506
103,8545597,118411827,60,2673891,38334821
104,9276733,126957424,60,2889733,41008712
105,10025431,136234157,60,3124653,43898445
106,10790949,146259588,60,3365340,47023098
107,11572448,157050537,60,3611841,50388438
108,12373367,168622985,60,3864211,54000279
109,13193056,180996352,60,4122505,57864490
110,14031173,194189408,60,4365478,61986995
111,14885576,208220581,60,4612075,66352473
112,15757396,223106157,60,4862294,70964548
113,16649845,238863553,60,5116136,75826842
114,17560866,255513398,60,5373600,80942978
115,18491082,273074264,60,5634688,86316578
116,19439209,291565346,60,5899398,91951266
117,20405366,311004555,60,6167729,97850664
118,21392025,331409921,60,6439685,104018393
119,22399378,352801946,60,6715262,110458078
120,23426796,375201324,60,6994463,117173340
