Table:CsvEnchantExp,,,
tid,level,quality_level,need_exp
#,等级,品级,升到下一级需要的经验
1,0,10,60
2,1,10,70
3,2,10,70
4,3,10,90
5,4,10,110
6,5,10,130
7,6,10,160
8,7,10,200
9,8,10,240
10,9,10,290
11,10,10,340
12,11,10,400
13,12,10,460
14,13,10,530
15,14,10,610
16,15,10,690
17,16,10,770
18,17,10,870
19,18,10,960
20,19,10,1070
21,20,10,1180
22,21,10,1290
23,22,10,1410
24,23,10,1540
25,24,10,1670
26,25,10,1810
27,26,10,1950
28,27,10,2100
29,28,10,2260
30,29,10,2420
31,30,10,2580
32,31,10,2760
33,32,10,2930
34,33,10,3120
35,34,10,3310
36,35,10,3500
37,36,10,3700
38,37,10,3910
39,38,10,4120
40,39,10,4340
41,40,10,4560
42,41,10,4790
43,42,10,5020
44,43,10,5260
45,44,10,5510
46,45,10,5760
47,46,10,6010
48,47,10,6280
49,48,10,6540
50,49,10,6820
51,0,15,130
52,1,15,140
53,2,15,150
54,3,15,180
55,4,15,220
56,5,15,270
57,6,15,330
58,7,15,400
59,8,15,480
60,9,15,580
61,10,15,680
62,11,15,800
63,12,15,930
64,13,15,1070
65,14,15,1220
66,15,15,1380
67,16,15,1550
68,17,15,1740
69,18,15,1930
70,19,15,2140
71,20,15,2360
72,21,15,2590
73,22,15,2830
74,23,15,3090
75,24,15,3350
76,25,15,3630
77,26,15,3910
78,27,15,4210
79,28,15,4520
80,29,15,4840
81,30,15,5170
82,31,15,5520
83,32,15,5870
84,33,15,6240
85,34,15,6620
86,35,15,7010
87,36,15,7410
88,37,15,7820
89,38,15,8240
90,39,15,8680
91,40,15,9120
92,41,15,9580
93,42,15,10050
94,43,15,10530
95,44,15,11020
96,45,15,11520
97,46,15,12030
98,47,15,12560
99,48,15,13090
100,49,15,13640
101,0,20,200
102,1,20,210
103,2,20,230
104,3,20,270
105,4,20,330
106,5,20,400
107,6,20,490
108,7,20,600
109,8,20,720
110,9,20,870
111,10,20,1020
112,11,20,1200
113,12,20,1390
114,13,20,1600
115,14,20,1830
116,15,20,2070
117,16,20,2330
118,17,20,2610
119,18,20,2900
120,19,20,3220
121,20,20,3540
122,21,20,3890
123,22,20,4250
124,23,20,4630
125,24,20,5030
126,25,20,5440
127,26,20,5870
128,27,20,6320
129,28,20,6780
130,29,20,7270
131,30,20,7760
132,31,20,8280
133,32,20,8810
134,33,20,9360
135,34,20,9930
136,35,20,10510
137,36,20,11110
138,37,20,11730
139,38,20,12360
140,39,20,13020
141,40,20,13680
142,41,20,14370
143,42,20,15070
144,43,20,15790
145,44,20,16530
146,45,20,17280
147,46,20,18050
148,47,20,18840
149,48,20,19640
150,49,20,20470
151,0,25,290
152,1,25,300
153,2,25,330
154,3,25,390
155,4,25,470
156,5,25,570
157,6,25,700
158,7,25,850
159,8,25,1030
160,9,25,1230
161,10,25,1450
162,11,25,1700
163,12,25,1970
164,13,25,2270
165,14,25,2590
166,15,25,2940
167,16,25,3310
168,17,25,3700
169,18,25,4120
170,19,25,4560
171,20,25,5020
172,21,25,5510
173,22,25,6030
174,23,25,6560
175,24,25,7120
176,25,25,7710
177,26,25,8320
178,27,25,8950
179,28,25,9610
180,29,25,10290
181,30,25,11000
182,31,25,11730
183,32,25,12490
184,33,25,13260
185,34,25,14070
186,35,25,14890
187,36,25,15740
188,37,25,16620
189,38,25,17520
190,39,25,18440
191,40,25,19390
192,41,25,20360
193,42,25,21350
194,43,25,22370
195,44,25,23420
196,45,25,24480
197,46,25,25580
198,47,25,26690
199,48,25,27830
200,49,25,28990
201,0,30,360
202,1,30,370
203,2,30,410
204,3,30,480
205,4,30,580
206,5,30,710
207,6,30,860
208,7,30,1050
209,8,30,1270
210,9,30,1520
211,10,30,1790
212,11,30,2100
213,12,30,2440
214,13,30,2810
215,14,30,3200
216,15,30,3630
217,16,30,4080
218,17,30,4570
219,18,30,5080
220,19,30,5630
221,20,30,6200
222,21,30,6810
223,22,30,7440
224,23,30,8110
225,24,30,8800
226,25,30,9530
227,26,30,10280
228,27,30,11060
229,28,30,11870
230,29,30,12720
231,30,30,13590
232,31,30,14490
233,32,30,15420
234,33,30,16390
235,34,30,17380
236,35,30,18400
237,36,30,19450
238,37,30,20530
239,38,30,21640
240,39,30,22780
241,40,30,23950
242,41,30,25150
243,42,30,26380
244,43,30,27640
245,44,30,28930
246,45,30,30250
247,46,30,31590
248,47,30,32970
249,48,30,34380
250,49,30,35820
251,0,50,450
252,1,50,470
253,2,50,520
254,3,50,600
255,4,50,730
256,5,50,890
257,6,50,1090
258,7,50,1320
259,8,50,1600
260,9,50,1910
261,10,50,2260
262,11,50,2640
263,12,50,3070
264,13,50,3530
265,14,50,4030
266,15,50,4560
267,16,50,5140
268,17,50,5750
269,18,50,6390
270,19,50,7080
271,20,50,7800
272,21,50,8560
273,22,50,9360
274,23,50,10190
275,24,50,11070
276,25,50,11980
277,26,50,12920
278,27,50,13910
279,28,50,14930
280,29,50,15990
281,30,50,17090
282,31,50,18220
283,32,50,19390
284,33,50,20600
285,34,50,21850
286,35,50,23130
287,36,50,24450
288,37,50,25810
289,38,50,27210
290,39,50,28640
291,40,50,30110
292,41,50,31620
293,42,50,33160
294,43,50,34750
295,44,50,36370
296,45,50,38020
297,46,50,39720
298,47,50,41450
299,48,50,43220
300,49,50,45030
