Table:CsvExpeditionBattle,,,,,,,,,,,,,
tid,name:s,diff_num,map:s,award_score:a,boss_face_tid,body_dire,talk:s,sweep_acce_cost,vectory_type,vectory_param,drop_group1,drop_group2,drop_group3
#,名字,有几个难度,战斗地图,奖励远征积分,显示BOSS头像,指挥官站位方向,怪物发言,扫荡加速消耗,"胜利条件类型0代表地方全体阵亡,1 代表我方阵亡人数不超过x，2代表战斗技术气血总量不低于百分之x，3代表x回合结束战斗",胜利条件参数,难度1掉落,难度2掉落,难度3掉落
70101,狗头人营地,3,BeiJunXiuDaoYuan,"50,100,150,",33,118,想通过我这关，必须消灭我们所有人！,5,0,1,451,452,453
70102,北郡山谷,3,BeiJunXiuDaoYuan,"50,100,150,",48,118,想通过我这关，必须消灭我们所有人！,5,0,1,451,452,453
70103,回音山矿洞,3,BeiJunXiuDaoYuan,"50,100,150,",134,118,想通过我这关，必须消灭我们所有人！,5,0,1,451,452,453
70104,米莉的葡萄园,3,BeiJunXiuDaoYuan,"50,100,150,",53,118,想通过我这关，必须消灭我们所有人！,5,0,1,451,452,453
70105,加瑞克的赏金,3,BeiJunXiuDaoYuan,"50,100,150,",94,118,想通过我这关，必须消灭我们所有人！,5,0,1,451,452,453
70201,东谷伐木场,3,AiErWenSenLin,"50,100,150,",115,118,想要在6回合内击败我？没那么容易！,5,3,6,451,452,453
70202,南瓜田,3,AiErWenSenLin,"50,100,150,",114,118,想要在6回合内击败我？没那么容易！,5,3,6,451,452,453
70203,水晶湖,3,AiErWenSenLin,"50,100,150,",124,118,想要在6回合内击败我？没那么容易！,5,3,6,451,452,453
70204,法戈第矿洞,3,AiErWenSenLin,"50,100,150,",134,118,想要在6回合内击败我？没那么容易！,5,3,6,451,452,453
70205,林间空地,3,AiErWenSenLin,"50,100,150,",46,118,想要在6回合内击败我？没那么容易！,5,3,6,451,452,453
70301,法布隆农场,3,XiBuHuangYe,"50,100,150,",110,118,如果总生命值低于50%，你便输了！,5,2,50,451,452,453
70302,詹戈洛德矿洞,3,XiBuHuangYe,"50,100,150,",134,118,如果总生命值低于50%，你便输了！,5,2,50,451,452,453
70303,岸边的威胁,3,XiBuHuangYe,"50,100,150,",78,118,如果总生命值低于50%，你便输了！,5,2,50,451,452,453
70304,清理荒野,3,XiBuHuangYe,"50,100,150,",53,118,如果总生命值低于50%，你便输了！,5,2,50,451,452,453
70305,月溪镇,3,XiBuHuangYe,"50,100,150,",23,118,如果总生命值低于50%，你便输了！,5,2,50,451,452,453
