#远征章节配表,,,,,,
Table:CsvExpeditionChapter,,,,,,
tid,add_attr_1,add_attr_2,add_attr_3,boss_group1,boss_group2,boss_group3
#,初级属性加成,中级属性加成,高级属性加成,boss关卡掉落1,boss关卡掉落2,boss关卡掉落3
1,101,201,301,601,602,603
2,101,201,301,606,607,608
3,101,201,301,611,612,613
4,101,201,301,616,617,618
5,101,201,301,621,622,623
6,101,201,301,626,627,628
7,101,201,301,631,632,633
8,101,201,301,636,637,638
9,101,201,301,641,642,643
10,101,201,301,646,647,648
11,101,201,301,651,652,653
12,101,201,301,656,657,658
13,101,201,301,661,662,663
14,101,201,301,666,667,668
15,101,201,301,671,672,673
16,101,201,301,676,677,678
17,101,201,301,681,682,683
18,101,201,301,686,687,688
19,101,201,301,691,692,693
20,101,201,301,696,697,698
,,,,,,
#远征属性加成配表,,,,,,
Table:CsvExpeditionAddAttr,,,,,,
tid,attr_group,attr:AttrType,add_num,probability,,
#,属性组,属性类型,加成百分比,几率,,
1,101,暴击,300,1000,,
2,101,韧性,200,1000,,
3,101,命中,300,1000,,
4,101,闪避,200,1000,,
5,101,血量,500,1000,,
6,101,格挡,300,667,,
7,101,抵抗,300,667,,
8,101,穿透,300,666,,
9,101,X3,500,1500,,
10,101,X4,200,1500,,
11,201,暴击,600,1000,,
12,201,韧性,400,1000,,
13,201,命中,600,1000,,
14,201,闪避,400,1000,,
15,201,血量,1000,1000,,
16,201,格挡,600,667,,
17,201,抵抗,600,667,,
18,201,穿透,600,666,,
19,201,X3,1000,1500,,
20,201,X4,400,1500,,
21,301,暴击,1000,1000,,
22,301,韧性,600,1000,,
23,301,命中,1000,1000,,
24,301,闪避,600,1000,,
25,301,血量,1500,1000,,
26,301,格挡,1000,667,,
27,301,抵抗,1000,667,,
28,301,穿透,1000,666,,
29,301,X3,1500,1500,,
30,301,X4,600,1500,,
