Table:CsvFavorAchieve,,,,,,,
tid,name:s,desc:s,type:FavorAchieveType,condition_type:MathOp,finish_condition,add_PhysicPower,add_Vigour
#,成就名称,成就描述 {0}完成条件,好感成就类型,条件类型,完成条件,增加体力上限,增加精力上限
1,素昧平生,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1,,2
2,形同陌路,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,25,,2
3,萍水相逢,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,50,,2
4,平淡无奇,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,100,,2
5,泛泛之交,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,150,,2
6,不过尔尔,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,200,,2
7,朝夕相处,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,250,,2
8,和睦相处,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,300,,2
9,团结友爱,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,400,,2
10,深情厚谊,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,500,,2
11,志同道合,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,600,,2
12,过从甚密,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,700,,2
13,亲密无间,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,800,,2
14,推心置腹,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,900,,2
15,息息相关,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1000,,2
16,荣辱与共,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1050,5,
17,难舍难分,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1100,5,
18,风雨同舟,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1150,5,
19,寸步不离,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1200,5,
20,形影不离,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1250,5,
21,莫逆于心,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1300,5,
22,唇齿相依,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1350,5,
23,休戚与共,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1400,5,
24,心照神交,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1450,5,
25,肝胆相照,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1500,5,
26,水乳交融,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1550,5,
27,如胶似漆,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1600,5,
28,亲如手足,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1650,5,
29,情同骨肉,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1700,5,
30,生死相依,所有英雄好感等级之和达到{0},所有英雄好感等级之和,大于等于,1750,5,
