Table:CsvFavorAddAttr,,,,,,,,
tid,level,type:FavorType,add_PhyAttack,add_MagAttack,add_PhyDefence,add_MagDefence,add_Hp,add_Speed
#,英雄好感等级,英雄好感类型,附加物理攻击,附加法术攻击,附加物理防御,附加法术防御,附加血量,附加速度
1,1,物理,,,,,50,
2,2,物理,,,,,50,
3,3,物理,,,,,50,
4,4,物理,,,,,50,
5,5,物理,,,,,,5
6,6,物理,,,,,75,
7,7,物理,,,,,75,
8,8,物理,,,,,75,
9,9,物理,,,,,75,
10,10,物理,,,,,,8
11,11,物理,,,,,100,
12,12,物理,,,,,100,
13,13,物理,,,,,100,
14,14,物理,,,,,100,
15,15,物理,,,,,,10
16,16,物理,,,,,150,
17,17,物理,,,,,150,
18,18,物理,,,,,150,
19,19,物理,,,,,150,
20,20,物理,,,,,,12
21,21,物理,,,,,200,
22,22,物理,,,,,200,
23,23,物理,,,,,200,
24,24,物理,,,,,200,
25,25,物理,,,,,,15
26,26,物理,,,,,230,
27,27,物理,,,,,230,
28,28,物理,,,,,230,
29,29,物理,,,,,230,
30,30,物理,,,,,,18
31,31,物理,,,,,260,
32,32,物理,,,,,260,
33,33,物理,,,,,260,
34,34,物理,,,,,260,
35,35,物理,,,,,,20
36,36,物理,,,,,290,
37,37,物理,,,,,290,
38,38,物理,,,,,290,
39,39,物理,,,,,290,
40,40,物理,,,,,,22
41,41,物理,,,,,320,
42,42,物理,,,,,320,
43,43,物理,,,,,320,
44,44,物理,,,,,320,
45,45,物理,,,,,,25
46,46,物理,,,,,350,
47,47,物理,,,,,350,
48,48,物理,,,,,350,
49,49,物理,,,,,350,
50,50,物理,,,,,,27
51,51,物理,,,,,370,
52,52,物理,,,,,370,
53,53,物理,,,,,370,
54,54,物理,,,,,370,
55,55,物理,,,,,,30
56,56,物理,,,,,400,
57,57,物理,,,,,400,
58,58,物理,,,,,400,
59,59,物理,,,,,400,
60,60,物理,,,,,,32
61,61,物理,,,,,430,
62,62,物理,,,,,430,
63,63,物理,,,,,430,
64,64,物理,,,,,430,
65,65,物理,,,,,,34
#,,,,,,,,
66,1,法术,,,,,50,
67,2,法术,,,,,50,
68,3,法术,,,,,50,
69,4,法术,,,,,50,
70,5,法术,,,,,,5
71,6,法术,,,,,75,
72,7,法术,,,,,75,
73,8,法术,,,,,75,
74,9,法术,,,,,75,
75,10,法术,,,,,,8
76,11,法术,,,,,100,
77,12,法术,,,,,100,
78,13,法术,,,,,100,
79,14,法术,,,,,100,
80,15,法术,,,,,,10
81,16,法术,,,,,150,
82,17,法术,,,,,150,
83,18,法术,,,,,150,
84,19,法术,,,,,150,
85,20,法术,,,,,,12
86,21,法术,,,,,200,
87,22,法术,,,,,200,
88,23,法术,,,,,200,
89,24,法术,,,,,200,
90,25,法术,,,,,,15
91,26,法术,,,,,230,
92,27,法术,,,,,230,
93,28,法术,,,,,230,
94,29,法术,,,,,230,
95,30,法术,,,,,,18
96,31,法术,,,,,260,
97,32,法术,,,,,260,
98,33,法术,,,,,260,
99,34,法术,,,,,260,
100,35,法术,,,,,,20
101,36,法术,,,,,290,
102,37,法术,,,,,290,
103,38,法术,,,,,290,
104,39,法术,,,,,290,
105,40,法术,,,,,,22
106,41,法术,,,,,320,
107,42,法术,,,,,320,
108,43,法术,,,,,320,
109,44,法术,,,,,320,
110,45,法术,,,,,,25
111,46,法术,,,,,350,
112,47,法术,,,,,350,
113,48,法术,,,,,350,
114,49,法术,,,,,350,
115,50,法术,,,,,,27
116,51,法术,,,,,370,
117,52,法术,,,,,370,
118,53,法术,,,,,370,
119,54,法术,,,,,370,
120,55,法术,,,,,,30
121,56,法术,,,,,400,
122,57,法术,,,,,400,
123,58,法术,,,,,400,
124,59,法术,,,,,400,
125,60,法术,,,,,,32
126,61,法术,,,,,430,
127,62,法术,,,,,430,
128,63,法术,,,,,430,
129,64,法术,,,,,430,
130,65,法术,,,,,,34
