Table:CsvFavorCrit,,,,
tid,total_relation_region,actual_prob,display_prob,crit_prob
#,累计好感度区间,直接升级几率,客户端显示几率,暴击几率
1,0,0,100,2000
2,8,100,100,2000
3,16,110,110,2000
4,24,180,180,2000
5,32,260,260,2000
6,40,500,500,2000
7,48,800,800,2000
8,56,1500,1500,2000
9,64,3000,3000,2000
10,76,5000,5000,2000
11,80,10000,10000,2000
1001,0,0,100,2000
1002,19,100,100,2000
1003,38,110,110,2000
1004,57,180,180,2000
1005,76,260,260,2000
1006,95,500,500,2000
1007,114,800,800,2000
1008,133,1500,1500,2000
1009,152,3000,3000,2000
1010,180,5000,5000,2000
1011,190,10000,10000,2000
2001,0,0,100,2000
2002,35,100,100,2000
2003,70,110,110,2000
2004,105,180,180,2000
2005,140,260,260,2000
2006,175,500,500,2000
2007,210,800,800,2000
2008,245,1500,1500,2000
2009,280,3000,3000,2000
2010,332,5000,5000,2000
2011,350,10000,10000,2000
3001,0,0,100,2000
3002,56,100,100,2000
3003,112,110,110,2000
3004,168,180,180,2000
3005,224,260,260,2000
3006,280,500,500,2000
3007,336,800,800,2000
3008,392,1500,1500,2000
3009,448,3000,3000,2000
3010,532,5000,5000,2000
3011,560,10000,10000,2000
4001,0,0,100,2000
4002,82,100,100,2000
4003,164,110,110,2000
4004,246,180,180,2000
4005,328,260,260,2000
4006,410,500,500,2000
4007,492,800,800,2000
4008,574,1500,1500,2000
4009,656,3000,3000,2000
4010,779,5000,5000,2000
4011,820,10000,10000,2000
5001,0,0,100,1000
5002,112,100,100,1000
5003,224,110,110,1000
5004,336,180,180,1000
5005,448,260,260,1000
5006,560,500,500,1000
5007,672,800,800,1000
5008,784,1500,1500,1000
5009,896,3000,3000,1000
5010,1064,5000,5000,1000
5011,1120,10000,10000,1000
6001,0,0,100,1000
6002,220,100,100,1000
6003,367,110,110,1000
6004,514,180,180,1000
6005,661,260,260,1000
6006,808,500,500,1000
6007,955,800,800,1000
6008,1102,1500,1500,1000
6009,1249,3000,3000,1000
6010,1396,5000,5000,1000
6011,1470,10000,10000,1000
7001,0,0,100,1000
7002,280,100,100,1000
7003,467,110,110,1000
7004,654,180,180,1000
7005,841,260,260,1000
7006,1028,500,500,1000
7007,1215,800,800,1000
7008,1402,1500,1500,1000
7009,1589,3000,3000,1000
7010,1776,5000,5000,1000
7011,1870,10000,10000,1000
8001,0,0,100,1000
8002,348,100,100,1000
8003,580,110,110,1000
8004,812,180,180,1000
8005,1044,260,260,1000
8006,1276,500,500,1000
8007,1508,800,800,1000
8008,1740,1500,1500,1000
8009,1972,3000,3000,1000
8010,2204,5000,5000,1000
8011,2320,10000,10000,1000
9001,0,0,100,1000
9002,423,100,100,1000
9003,705,110,110,1000
9004,987,180,180,1000
9005,1269,260,260,1000
9006,1551,500,500,1000
9007,1833,800,800,1000
9008,2115,1500,1500,1000
9009,2397,3000,3000,1000
9010,2679,5000,5000,1000
9011,2820,10000,10000,1000
10001,0,0,100,500
10002,504,100,100,500
10003,840,110,110,500
