Table:CsvFormulaConst,,,,,,,,,,,,,,,
tid,f#p1,f#p2,f#p3,f#p4,f#p5,f#p6,f#p7,f#p8,f#p9,f#p9_1,f#p10,f#p11,f#p12,f#p13,f#p21
#注：这个表tid必须为1,,,,,,,,,,,,,,,
1,0,20,10,-20,80,0.15,0.3,1.5,0.5,0.5,0.5,0.3,1.5,0.25,0.67
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table:CsvNpcADSuppress,,,,,,,,,,,,,,,
tid,op:MathOp,op_value,X5,X6,,,,,,,,,,,
#,条件,操作数（等级差）,万分比,万分比,,,,,,,,,,,
10001,小于等于,-5,-4000,-6700,,,,,,,,,,,
10002,等于,-4,-3000,-4300,,,,,,,,,,,
10003,等于,-3,-2000,-2500,,,,,,,,,,,
10004,等于,-2,-1500,-1800,,,,,,,,,,,
10005,等于,-1,-1000,-1200,,,,,,,,,,,
10006,等于,0,0,0,,,,,,,,,,,
10007,等于,1,100,100,,,,,,,,,,,
10008,等于,2,200,200,,,,,,,,,,,
10009,等于,3,500,500,,,,,,,,,,,
10010,等于,4,1000,1000,,,,,,,,,,,
10011,等于,5,1500,1400,,,,,,,,,,,
10012,等于,6,2000,1700,,,,,,,,,,,
10013,等于,7,3000,2400,,,,,,,,,,,
10014,等于,8,4000,2900,,,,,,,,,,,
10015,等于,9,5000,3400,,,,,,,,,,,
10016,等于,10,6000,3800,,,,,,,,,,,
10017,等于,11,7000,4200,,,,,,,,,,,
10018,等于,12,8000,4500,,,,,,,,,,,
10019,等于,13,10000,5000,,,,,,,,,,,
10020,等于,14,12000,5500,,,,,,,,,,,
10021,等于,15,14000,5900,,,,,,,,,,,
10022,等于,16,17000,6300,,,,,,,,,,,
10023,等于,17,20000,6700,,,,,,,,,,,
10024,等于,18,25000,7200,,,,,,,,,,,
10025,等于,19,30000,7500,,,,,,,,,,,
10026,等于,20,40000,8000,,,,,,,,,,,
10027,大于等于,21,50000,8400,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table:CsvNpcOtherSuppress,,,,,,,,,,,,,,,
tid,op:MathOp,op_value,Hit,Critical,Block,Speed,,,,,,,,,
#,条件,操作数（等级差）,命中（加）,暴击（加）,格挡和抵抗（加）,速度（万分比率）,,,,,,,,,
10001,小于等于,4,0,0,0,0,,,,,,,,,
10002,等于,5,250,500,500,500,,,,,,,,,
10003,等于,6,300,600,600,600,,,,,,,,,
10004,等于,7,350,700,700,700,,,,,,,,,
10005,等于,8,400,800,800,800,,,,,,,,,
10006,等于,9,500,1000,1000,1000,,,,,,,,,
10007,等于,10,750,1500,1500,1500,,,,,,,,,
10008,等于,11,1000,2000,2000,2000,,,,,,,,,
10009,等于,12,1250,2500,2500,2500,,,,,,,,,
10010,等于,13,1500,3000,3000,3000,,,,,,,,,
10011,等于,14,1750,3500,3500,3500,,,,,,,,,
10012,等于,15,2000,4000,4000,4000,,,,,,,,,
10013,等于,16,2250,4500,4500,4500,,,,,,,,,
10014,等于,17,2500,5000,5000,5000,,,,,,,,,
10015,等于,18,2750,5500,5500,5500,,,,,,,,,
10016,等于,19,3000,6000,6000,6000,,,,,,,,,
10017,等于,20,3250,6500,6500,6500,,,,,,,,,
10018,大于等于,21,3500,7000,7000,7000,,,,,,,,,
