Table:CsvGuide,,,,,,,,,,,,,,,,
tid,name:s,whenAdd:WhenAddGuide,whenAddParam:s,trigger:GuideTrigger,triggerParam:s,doWhat:GuideDoWhat,doWhatParam:s,presentation:GuidePresentation,delay:f,isShowMask:b,keepMask,finishCond:GuideFinishCond,finishCondParam:s,actionAfterAdd:s,actionBeforeDo:s,actionAfterDo:s
#,名字,何时添加,可变参数,何时触发,可变参数,做什么,可变参数,表现形式,延迟多少秒后显示指引,显示时是否显示遮罩,指引结束后是否保留遮罩,指引完成条件,指引完成条件参数,添加后,,
#,,,[战斗ID],,[技能TID],,[剧情TID],,,,,,,,,
#,,,[],,[界面],,[技能TID],,,,,,,,,
#,,,,,[],,[技能TID/角色TID],,,,,,,,,
#,,,,,,,[技能TID/位置标号],,,,,,,,,
#,,,,,,,[界面/部位/意义/参数][界面/意义/参数][界面/参数],,,,,,,,,
#,,,,,,,,,,,,,,,,
#,1级:合成新英雄并上阵,,,,,,,,,,,,,,,
100,做1号任务_点链接,,1,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0,1,1,,,,,
101,领取1号任务奖励,,1,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.7,,1,任务已提交,1,,1,
#,,,,,,,,,,,,,,,,
200,英雄合成_说话,,,界面显示时,MainCityUI,说话,2,默认,0.3,,1,,,,,
201,英雄合成_开英雄界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/herolist,默认,0.3,1,1,,,,,
202,英雄合成_切换标签页,,,界面显示时,HeroListUI,点按钮,HeroListUI/HeroFragmentPage,默认,0.5,1,2,,,,,
203,英雄合成_点合成按钮,,,界面显示时,HeroListUI,点按钮,HeroListUI/ComposeButton,默认,0,1,1,拥有英雄数量,2,,,
204,英雄合成_确定,,,界面显示时,ComposeMsgUI,点按钮,ComposeMsgUI/ok,默认,1,,1,,,,,
205,英雄合成_关闭界面,,,界面显示时,HeroListUI,点按钮,HeroListUI/close,默认,0.3,1,1,,,,,
#,,,,,,,,,,,,,,,,
300,上阵英雄_说话,,,界面显示时,MainCityUI,说话,3,默认,0.3,,1,,,,,
301,上阵英雄_开队伍界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
302,上阵英雄_点第2个格子,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos2,默认,0.5,1,2,,,,,
303,上阵英雄_点上阵按钮,,,界面显示时,r_HeroSel,点按钮,r_HeroSel/herosel_up,默认,0,1,2,队伍英雄数量,2,,,
304,上阵英雄_点关闭,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/close,默认,0,1,1,,,,,
#,,,,,,,,,,,,,,,,
400,接2号任务_点链接,,2,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,,1,任务已接取,2,,,
#,,,,,,,,,,,,,,,,
500,做2号任务_点链接,,2,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
501,做2号任务_点战斗,,2,界面显示时,BattleReady,点按钮,BattleReady/battle1,默认,,1,,进入战斗,10101,,,
502,关闭升级界面,,,界面显示时,CommanderLevelUp,点按钮,CommanderLevelUp/Allot1,默认,0,1,1,,,,,close:LevelUp
#,,,,,,,,,,,,,,,,
550,做2号任务_说话,,101011,技能可用时,10001,说话,4,默认,,,,,,,,
551,做2号任务_使用火球术,,,上一个结束时,,拖技能按钮到角色,10001/10101111,默认,,,,,,,,
#,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#2级,,,,,,,,,,,,,,,,
600,提交2号任务_点链接,,2,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
601,领取2号任务奖励,,2,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,2,,1,
#,,,,,,,,,,,,,,,,
700,做3号任务_点链接,,3,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
701,做3号任务_点战斗,,3,界面显示时,BattleReady,点按钮,BattleReady/battle1,默认,,1,,进入战斗,10102,,,
#,,,,,,,,,,,,,,,,
#3级:招募并上阵第三个英雄,,,,,,,,,,,,,,,,
800,提交3号任务_点链接,,3,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
801,领取3号任务奖励,,3,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,3,,1,
#,,,,,,,,,,,,,,,,
900,英雄招募_说话,,,界面显示时,MainCityUI,说话,5,默认,0.3,,1,,,,,
901,英雄招募_开招募界面,,,上一个结束时,,点按钮,MainCityUI/recruit,默认,0.3,1,1,,,,,
902,英雄招募_点左边,,,界面显示时,HeroRecruitUI,点按钮,HeroRecruitUI/left,默认,0.5,1,1,免费招募次数,1,,,
903,英雄招募_点确定,,,界面显示时,HeroRecruitResultUI,点按钮,HeroRecruitResultUI/Confirm,默认,1.2,,1,,,,,
904,英雄招募_点关闭,,,界面显示时,HeroRecruitUI,点按钮,HeroRecruitUI/close,默认,0,1,1,,,,,
#,,,,,,,,,,,,,,,,
1000,上阵英雄_说话,,,界面显示时,MainCityUI,说话,6,默认,0.8,,1,,,,,
1001,上阵英雄_开队伍界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
