Table:CsvHeroUpgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,hero_id,trans_times,trans_discription:s,color:ItemColor,name:s,intel_p,intel_i,intel_e,intel_a,freepoint,fightingspirit,buff_id,needlevel,needmoney,needitem1,needitem2,needitem3,needitem4,needitem5,amount1,amount2,amount3,amount4,amount5,return_spirit,return_item1,return_item2,return_item3,return_item4,return_item5,return_item6,return_item7,return_item8,return_item9,return_item10,return_item11,return_item12,return_item13,return_item14,return_item15,return_item16,return_item17,return_item18,return_item19,return_item20,return_amount1,return_amount2,return_amount3,return_amount4,return_amount5,return_amount6,return_amount7,return_amount8,return_amount9,return_amount10,return_amount11,return_amount12,return_amount13,return_amount14,return_amount15,return_amount16,return_amount17,return_amount18,return_amount19,return_amount20,needHeroTID,needHeroCount
#,英雄编号,进阶次数,进阶描述,颜色,英雄名字,累计力量资质,累计智力资质,累计耐力资质,累计敏捷资质,当前状态获得额外自由点,普通培养战魂值,天赋,需求等级,需求铜币,需求物品1,需求物品2,需求物品3,需求物品4,需求物品5,需求物品1数量,需求物品2数量,需求物品3数量,需求物品4数量,需求物品5数量,返还战魂值,返还物品编号1,返还物品编号2,返还物品编号3,返还物品编号4,返还物品编号5,返还物品编号6,返还物品编号7,返还物品编号8,返还物品编号9,返还物品编号10,返还物品编号11,返还物品编号12,返还物品编号13,返还物品编号14,返还物品编号15,返还物品编号16,返还物品编号17,返还物品编号18,返还物品编号19,返还物品编号20,返还数量1,返还数量2,返还数量3,返还数量4,返还数量5,返还数量6,返还数量7,返还数量8,返还数量9,返还数量10,返还数量11,返还数量12,返还数量13,返还数量14,返还数量15,返还数量16,返还数量17,返还数量18,返还数量19,返还数量20,需要英雄,需要几个英雄
100100,1001,0,,橙,巫妖王,80,80,80,60,0,240,10052,1,100000,42001,42002,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100101,1001,1,＋1,橙,巫妖王,120,120,120,90,60,240,10071,15,200000,42001,42002,42003,,,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100102,1001,2,＋2,橙,巫妖王,160,160,160,120,60,500,10153,25,300000,42001,42002,42003,42004,,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1001,1
100103,1001,3,＋3,橙,巫妖王,200,200,200,150,60,900,10153,35,400000,42011,42012,42013,,,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2001,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1001,1
100104,1001,4,＋4,橙,巫妖王,240,240,240,180,60,1400,10002,45,500000,42011,42012,42013,42014,,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2001,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1001,2
100105,1001,5,＋5,橙,巫妖王,280,280,280,210,60,2000,10042,55,1000000,42012,42013,42015,42101,,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2001,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1001,3
100106,1001,6,＋6,红,巫妖王,320,320,320,240,60,1500,10153,60,1200000,42012,42013,42021,42101,,360,360,340,600,,68040,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,,,,,,,,,,2001,92,92,40,20,250,650,340,100,160,500,0,0,0,0,0,0,0,0,0,350,1001,1
100107,1001,7,＋7,红,巫妖王,360,360,360,270,60,2000,10153,65,1500000,42012,42013,42022,42101,,500,500,700,700,,88290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,,,,,,,,,2001,92,92,40,20,250,1010,700,100,160,1100,340,0,0,0,0,0,0,0,0,400,1001,2
100108,1001,8,＋8,红,巫妖王,400,400,400,300,60,2600,10153,70,1800000,42012,42013,42023,42101,,900,900,1300,800,,115290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,,,,,,,,2001,92,92,40,20,250,1510,1200,100,160,1800,340,700,0,0,0,0,0,0,0,500,1001,3
