Table:CsvISHeroAward,,,
tid,need_score,items:a,items_count:a
#,积分需求,奖励物品列表,奖励物品数量列表
#,,最多四个,最多四个
10101,10,"2011,",1
10102,30,"2011,",4
10103,100,"2011,",10
10104,300,"2011,",10
10105,600,"2011,",10
10106,1000,"2011,",15
#,,,
20101,10,"2012,",1
20102,30,"2012,",4
20103,100,"2012,",10
20104,300,"2012,",10
20105,600,"2012,",10
20106,1000,"2012,",15
#,,,
30101,10,"2027,",1
30102,30,"2027,",4
30103,100,"2027,",10
30104,300,"2027,",10
30105,600,"2027,",10
30106,1000,"2027,",15
#,,,
40101,10,"2020,",1
40102,30,"2020,",4
40103,100,"2020,",10
40104,300,"2020,",10
40105,600,"2020,",10
40106,1000,"2020,",15
#,,,
50101,10,"2025,",1
50102,30,"2025,",4
50103,100,"2025,",10
50104,300,"2025,",10
50105,600,"2025,",10
50106,1000,"2025,",15
#,,,
60101,10,"2004,",1
60102,30,"2004,",4
60103,100,"2004,",10
60104,300,"2004,",10
60105,600,"2004,",10
60106,1000,"2004,",15
,,,
Table:CsvISHeroRankAward,,,
tid,items:a,items_count:a,min_score
# 等级,奖励物品列表,奖励物品数量列表,保底积分
#,最多四个,最多四个,
10101,"2011,50044,40022,107,","50,2,30,500000,",400
10102,"2011,50044,40022,107,","50,1,25,480000,",350
10103,"2011,50044,40022,107,","50,1,25,450000,",350
10104,"2011,50024,40022,107,","50,40,20,420000,",300
10105,"2011,50024,40022,107,","50,40,20,400000,",300
10106,"2011,50024,40022,107,","50,40,15,390000,",300
10107,"2011,50024,40022,107,","40,30,15,380000,",200
10108,"2011,50024,40022,107,","40,30,15,370000,",200
10109,"2011,50024,40022,107,","40,30,15,360000,",200
10110,"2011,50024,40022,107,","40,30,15,350000,",200
10111,"2011,50024,40022,107,","30,20,10,340000,",100
10112,"2011,50024,40022,107,","30,20,10,330000,",100
10113,"2011,50024,40022,107,","30,20,10,320000,",100
10114,"2011,50024,40022,107,","30,20,10,310000,",100
10115,"2011,50024,40022,107,","30,20,10,300000,",100
10116,"2011,50024,40022,107,","30,20,10,290000,",100
10117,"2011,50024,40022,107,","30,20,10,280000,",100
10118,"2011,50024,40022,107,","30,20,10,270000,",100
10119,"2011,50024,40022,107,","30,20,10,260000,",100
10120,"2011,50024,40022,107,","30,20,10,250000,",100
10121,"2011,50024,40022,107,","20,10,5,240000,",50
10122,"2011,50024,40022,107,","20,10,5,230000,",50
10123,"2011,50024,40022,107,","20,10,5,220000,",50
10124,"2011,50024,40022,107,","20,10,5,210000,",50
10125,"2011,50024,40022,107,","20,10,5,200000,",50
10126,"2011,50024,40022,107,","20,10,5,190000,",50
10127,"2011,50024,40022,107,","20,10,5,180000,",50
10128,"2011,50024,40022,107,","20,10,5,170000,",50
10129,"2011,50024,40022,107,","20,10,5,160000,",50
10130,"2011,50024,40022,107,","20,10,5,150000,",50
#,,,
20101,"2012,50044,40022,107,","50,2,30,500000,",400
20102,"2012,50044,40022,107,","50,1,25,480000,",350
