Table:CsvItem,,,,,,,,,,,,,,,,,
tid,name:s,type:ItemType,max_num,desc:s,icon_path:s,icon_path_s:s,icon_path_t:s,is_sell:b,sell_price,display_color:ItemColor,para1,para2,para3,para4,sort_order,need_level,is_use:b
#,道具名,类型,堆叠上限,道具描述,大图标路径,小图标路径,不带背景的图片,出售状态,基础出售价格,物品颜色,参数1,参数2,参数3,参数4,排序优先级,需求等级,可否使用
#,,,,,,,,,,,[经验值],,,,,,
#,,,,,,,,,,,[buffTid],,,,,,
101,钻石,钻石,,可充值获得，可在商城购买各类道具,Icon/101zuanshi,Common/zuanshi,-1,,,橙,,,,,2,1,0
102,钻石,钻石,,可充值获得，可在商城购买各类道具,Icon/101zuanshi,Common/zuanshi,-1,,,橙,,,,,2,1,0
103,绑定钻石,绑定钻石,,可在商城购买各类道具,Icon/bangzuan,Common/bangzuan,Treasure/kaoguxue_bangzuan_01,,,橙,,,,,2,1,0
104,体力,体力,,挑战副本消耗数值,Icon/104,-1,-1,,,橙,,,,,2,1,0
105,精力,精力,,挑战竞技消耗数值,Common/Jingli_01,-1,-1,,,橙,,,,,2,1,0
106,经验,经验,,指挥官升级所需数值,Icon/jingyan,-1,-1,,,橙,,,,,2,1,0
107,铜币,铜币,,用于强化装备,Icon/107tongbi,Icon/107tongbi_2,Treasure/kaoguxue_tongbi_01,,,橙,,,,,2,1,0
108,战魂,战魂,,用于培养英雄,Icon/108zhanhun,Icon/108zhanhun_2,Treasure/kaoguxue_zhanhun_01,,,橙,,,,,2,1,0
109,冒险星数,星星,,用于指挥官觉醒,BattleUI/auto,-1,-1,,,橙,,,,,2,1,0
110,竞技场点数,竞技币,,在竞技场中的【挑战奖励】、【排名奖励】可领取,Icon/jingjibi,-1,-1,,,橙,,,,,2,1,0
111,远征积分,远征积分,,每次成功挑战远征关卡，均可获得远征积分，用于本商店购买物品,Icon/yuanzhengjifen,-1,-1,,,橙,,,,,2,1,0
112,英雄经验,英雄经验,,英雄升级所需数值,Icon/jingyan,-1,-1,,,橙,,,,,2,1,0
113,vip经验,vip经验,,为账号增加vip等级提升所需经验,Icon/jingyan,,,,,橙,,,,,2,1,0
114,试炼积分,试炼积分,,每次成功挑战试炼关卡后，均可获得试炼积分，用于试炼商店购买物品,Icon/shilianjifen,-1,-1,,,橙,,,,,2,1,0
115,净化石,净化石,,可在【无尽试炼】中获得一次重生机会,Abyss/shenyuan_shengmingjinghua_01,-1,Abyss/shenyuan_shengmingjinghua_01,,,橙,,,,,2,1,0
116,军团贡献,军团贡献,,可在军团商店兑换道具,Icon/juntuanjuanxian,,,,,,,,,,,,
117,初级洗炼石,洗练石,999999,用于装备洗炼,Icon/dijixilianshi,-1,-1,1,100,蓝,,0,,,2,1,1
118,中级洗炼石,洗练石,999999,用于装备洗炼,Icon/zhongjixilianshi,-1,-1,1,200,紫,,1,,,2,1,1
119,高级洗炼石,洗练石,999999,用于装备洗炼,Icon/gaojixilianshi,-1,-1,1,300,橙,,2,,,2,1,1
2001,大领主,英雄碎片,999999,集齐50个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,橙,1001,50,,,2,1,0
2002,死亡使者,英雄碎片,999999,集齐50个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,橙,1002,50,,,2,1,0
2003,血魔,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/talongxuemo_01,-1,-1,1,100,橙,1003,50,,,2,1,0
2004,图拉扬,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/tulayang_01,-1,-1,1,100,橙,1004,50,,,2,1,0
2005,银白十字军,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/tiliaofuding_01,-1,-1,1,100,橙,1005,50,,,2,1,0
2006,暴风摄政王,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/bowaerfotagen_01,-1,-1,1,100,橙,1006,50,,,2,1,0
2007,艾萨拉女王,英雄碎片,999999,集齐50个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,橙,1007,50,,,2,1,0
2008,先知,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/xianzhiweilun_01,-1,-1,1,100,橙,1008,50,,,2,1,0
2009,大主教,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/benniditasi_01,-1,-1,1,100,橙,1009,50,,,2,1,0
2010,大法师,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/andongnidasi_01,-1,-1,1,100,橙,1010,50,,,2,1,0
2011,克总,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/keersujiade_01,-1,-1,1,100,橙,1011,50,,,2,1,0
2012,逐日者,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/kaiersasi_01,-1,-1,1,100,橙,1012,50,,,2,1,0
2013,灰舌死誓者,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/akama_01,-1,-1,1,100,橙,1013,50,,,2,1,0
2014,霜狼督军,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/deleiketaer_01,-1,-1,1,100,橙,1014,50,,,2,1,0
2015,天灾首领,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/naiaozu_01,-1,-1,1,100,橙,1015,50,,,2,1,0
2016,暮光首领,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/koujiaer_01,-1,-1,1,100,橙,1016,50,,,2,1,0
2017,基丹,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/jierjiadan_01,-1,-1,1,100,橙,1017,50,,,2,1,0
2018,恐惧魔王,英雄碎片,999999,集齐50个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,橙,1018,50,,,2,1,0
2019,鹿盔,英雄碎片,999999,集齐50个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,橙,1019,50,,,2,1,0
2020,半神,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/sainaliusi_01,-1,-1,1,100,橙,1020,50,,,2,1,0
2021,符文图腾,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/fuwentuteng_01,-1,-1,1,100,橙,1021,50,,,2,1,0
2022,黑暗游侠,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/xierwanasi_01,-1,-1,1,100,橙,1022,50,,,2,1,0
