Table:CsvLangTrans,,,
tid,name:s,ch_text:s,
#,元文本,显示文本,
#,,,
#,ItemColor 物品颜色,,
#,,,
10001,White,白,
10002,Green,绿,
10003,Blue,蓝,
10004,Purple,紫,
10005,Orange,橙,
10006,Red,红,
#,,,
#,PSkillGrade 技能等级,,
#,,,
20001,Grade1,初级,
20002,Grade2,中级,
20003,Grade3,高级,
#,,,
#,RandomOpponentUtil.probability 随机概率,,
#,,,
30001,NoneProbability,无概率,
30002,HighProbability,较高概率,
30003,GeneralProbability,一般概率,
30004,LowProbability,极低概率,
#,,,
#,EquipType 装备名称,,
#,,,
40001,Weapon,武器,
40002,Head,头盔,
40003,Chest,铠甲,
40004,Shoes,鞋子,
40005,Trousers,裤子,
40006,Accessories,饰品,
#,,,
#,PriceType 货币类型,,
#,,,
50001,RechargeDiamond,钻石,
50002,Diamond,钻石,
50003,Money,铜币,
50004,PhysicPower,体力,
50005,Vigour,精力,
50006,FightingSpirit,武魂,
50007,CompetitionMoney,竞技场点数,
50008,Flower,鲜花,
50009,Star,冒险星数,
50010,HeroSoul,英魂,
50011,AbyssScore,试炼积分,
50012,AbyssStone,净化石,
50013,ArmyGroupMoney,军团贡献,
#,,,
#,ActivityState 活动状态,,
#,,,
60001,Ready,活动准备,
60002,Start,活动开始,
60003,End,活动结束,
#,,,
#,AttrType 属性名称,,
#,,,
70001,Hp,血量,
70002,Mp,怒气,
70003,Power,力量,
70004,Intelligence,智力,
70005,Agility,敏捷,
70006,Endurance,耐力,
70007,PhyAttack,物理攻击,
70008,MagAttack,法术攻击,
70009,PhyDefence,物理防御,
70010,MagDefence,法术防御,
70011,Speed,速度,
70012,X19,技能攻击,
70013,X20,技能防御,
70014,Hit,命中,
70015,Dodge,闪避,
70016,Critical,暴击,
70017,DeCritical,韧性,
70018,Block,格挡,
70019,Resistance,抵抗,
70020,CriticalAdd,暴伤,
70021,DeBlock,穿透,
70022,AutoRecover,回复,
70023,X9,治疗效果,
70024,BattleValue,战力,
70025,X5,X5,
70026,X6,X6,
70027,X6_Phy,X6_Phy,
70028,X6_Mag,X6_Mag,
70029,X3,伤害增加,
70030,X4,伤害减免,
70031,DoubleAttack,攻击,
70032,DoubleDefence,防御,
70033,AddFinalDamage,最终伤害,
70034,SubFinalDamage,最终减伤,
70035,X10,受治疗效果,
#,,,
#,,,
#,OccupationType 装备职业类型,,
#,,,
80001,Physical,物理,
80002,Magic,法术,
80003,All,无限制,
#,,,
#,DailyTaskType 日常任务,,
#,,,
90001,Conque,挑战冒险关卡,
90002,Dungeon,通关副本关卡,
90003,EnhanceEquip,强化装备,
90004,HeroRecruit,英雄召唤,
90005,Competition,竞技场挑战,
90006,Sacrifice,进行祭祀,
90007,RefreshMysteryShop,刷新神秘商店,
90008,WorldBoss,抵御黑暗军团入侵,
90009,AddFavor,提升英雄好感,
90010,GiveFlower,向好友送花,
90011,Expedition,英雄远征,
#,,,
#,ReasonEnums 原因,,
#,,,
100001,Ok,操作成功,
100002,Failed,操作失败,
100003,Disconnected,网络连接被断开,
100004,TimeExpired,网络请求超时,
100005,NotEnoughMoney,没有足够铜币,
100006,NotEnoughDiamond,没有足够钻石,
100007,NotEnoughHeroSoul,没有足够英魂,
100008,NotEnoughCredits,没有足够积分,
100009,NotEnoughPhysicPower,没有足够体力,
100010,NotEnoughVigour,没有足够精力,
100011,NotEnoughCompititionMoney,竞技场点数不足,
100012,NotEnoughStar,冒险星数不足,
100013,CanNotFindUser,找不到指定的玩家,
100014,CanNotFindItem,找不到指定物品,
100015,NotEnoughConstStar,没有足够的星值,
100016,Waiting4Coldown,冷却时间未到,
100017,ItemSoldOut,物品已售罄,
100018,InvalidName,名称不合法,
100019,InvalidIDOrPWD,用户名或密码错误,
100020,Login_CheckFail,登录验证失败,
100021,EquipRankLimited,装备强化等级已达上限,
100022,CanNotUpgrade,不可进阶,
100023,NotEnoughMaterial,没有足够材料,
100024,InappropriateEquip,不合适的装备,
100025,AlreadyWore,已经装备,
100026,CanNotFindEquip,找不到装备,
100027,HasPunch,装备已经打孔,
100028,NotEnoughItem,材料不足,
100029,InappropriateGemType,宝石类型和装备类型不匹配,
100030,NotEnoughPunchCount,孔数已不足,
100031,NoMore4Draw,已经没有待发的牌了,
100032,NoMorePlace,已经没有空位了,
100033,NotEnoughPoker,没有足够的牌,
100034,NotEnoughConstFrags,没有足够的星座碎片,
100035,SameConstType,不能装备相同类型的星座,
100036,NotTimes,剩余次数不足,
100037,NotEnoughTime,冷却时间未到,
100038,NotEnoughHeroFrags,没有足够的英雄碎片,
100039,NotEnoughKey,钥匙不足,
100040,NotEnoughBox,宝箱不足,
100041,NotEnoughLevel,等级不足,
100042,BagIsFull,包裹已满,
100043,NotEnoughVSCount,没有足够挑战次数,
100044,NotEnoughRefreshRivalsCount,没有足够刷新对手的次数,
100045,NotEnoughSacrifice,祭祀次数不够,
100046,NotEnoughFightingSpirit,战魂不足,
100047,UserOffline,对方不在线,
100048,CannotGiveFlowerToSelf,不能给自己送花,
100049,TodayRecv9Flowers,今日已送花9次,
100050,AlreadyGiveToThisUser,今日已经送过该玩家 ,
100051,YouHaveNoFlowers,你包裹里没花啊,
100052,RecvFlowerUserNotEnoughLevel,收花人等级未达到10级,
100053,CanNotFindTheTeam,找不到指定队伍,
100054,TeamHasChanged,队伍信息已经变更,
100055,WorshipLimited,达到膜拜次数上限,
100056,ItemAlreadyRefresh,物品已经刷新,
100057,InvalidSlogan,口号内容不合法,
100058,CanNotVSRankHighThanYou,不能挑战排行比你高的玩家,
100059,CanNotAddMyself,不能添加自己为好友,
100060,AlreadIsFriend,该玩家已经是您的好友,
100061,FriendNumMax,好友数量已达上限,
100062,InBlackFromIt,您在该玩家的黑名单中,
100063,InBlackFromU,该玩家在您的黑名单中,
100064,NotInBlack,不在黑名单中,
100065,NotUser,没有该用户,
100066,NameOverflowSix,输入的名字超过6个,
100067,BlackNumMax,黑名单人数已满,
100068,IsNotUFriend,不是你的好友,
100069,NotHasCanAdd,没有能添加的好友,
100070,ApplyHasBlack,申请列表中有黑名单玩家,
100071,ArmyGroupAlreadyExists,该军团名称已被使用，请更换其他名称 ,
100072,ArmyGroupNotExists,军团不存在,
100073,ArmyGroupApplyLimited,达到申请上限,
100074,ArmyGroupMembersFull,军团人数达到上限,
100075,LackArmyGroupToken,缺少军团召集令,
100076,AlreadyInArmyGroup,已经在军团中,
100077,ArmyGroupApplyCanceled,申请已撤销,
100078,ArmyGroupBeApplyLimited,军团申请人数达到上限,
100079,AwardAlreadyGot,奖励已经领取,
100080,ArmyGroupBossBeKilled,Boss已被击杀,
100081,ArmyGroupBossNotKilled,Boss还未被击杀,
100082,RosefinchToken,军团徽记,
100083,ArmyGroupToken,军团号角,
100084,ArmyGroupBossActivityNotExists,军团Boss活动不存在,
100085,NoRank,暂无排名,
100086,ArmyGroupQuitTimeNotEnough,退团时间不足24小时，无法加入军团！,
100087,NotInArmyGroup,不在军团中,
100088,NotEnoughRosefinchToken,军团徽记不足,
100089,ArmyGroupNoPrivilege,没有相应权限,
100090,CanNotQuitArmyGroup,不能退团,
100091,CanNotAccuseArmyGroupPresident,不能弹劾团长,
100092,NotEnoughArmyGroupMoney,贡献值不够,
100093,CanNotBuyMore,物品购买限量,
100094,InspireOverMax,鼓舞值达到上限,
100095,TaskNotFind,没有找到指定任务,
100096,TaskNotFinished,没有完成指定任务,
100097,ConditionNotMet,条件不满足,
100098,AlreadyAccepted,任务应接取,
100099,AlreadyFinished,任务已经完成过,
100100,TaskTypeMismatched,任务类型不匹配,
100101,Login_InvalidToken,平台验证失败,
100102,Login_NoName,还没指定名字,
100103,Login_NameExists,名字已存在,
100104,Login_NameTooShort,名字太短,
100105,Login_NameTooLong,名字太长,
100106,Login_NameInvalid,名字不合法,
100107,Login_NameHaveSp,名字不合法,
100108,MsgSizeOverflow,消息长度溢出,
100109,MsgCanNotNull,消息内容不能为空,
100110,SendMsgFast,说话太快了,
100111,CanNotNullForPrivateUser,私聊对象不能为空,
100112,OffOlineOrNotUser,不在线或者没有该用户,
100113,ItemHrefNumOverflow,物品链接太多,
100114,BeBanSpeak,被禁言,
100115,PrivateUserCanNotMe,私聊对象不能是自己,
100116,CanNotLookMyself,不能查看自己,
100117,NotBuyDevelop,您还未购买成长计划,
100118,CanNotFindAward,找不到该奖励,
100119,NotExistsThsBox,该宝箱不存在,
100120,HasDungeonAddedAward,副本额外奖励未领取,
100121,MapOrBattleNotExists,地图或副本不存在,
100122,NotFoundTheDiff,没找到该难度,
100123,MapNotOpen,该地图未开启,
100124,BattleNotOpen,该副本未开启,
100125,DiffNotOpen,该难度未开启,
100126,NotEnoughBattleTimes,挑战次数不足,
100127,BattleBoxAlreadyRece,该冒险宝箱奖励已领过 ,
100128,NotEnoughBoxStar,冒险星数不足，无法领取宝箱,
100129,DungeonMapNotExists,该副本不存在,
100130,DungeonMapNotOpen,该副本未开启,
100131,NotEnoughDungeonTimes,副本挑战次数不足,
100132,NotEnoughRollTimes,重新Roll点次数不足，提升VIP可增加次数,
100133,NotEnoughActivityBattleTimes,挑战次数不足,
100134,NotOpenActivityBattle,该活动关卡未开放,
100135,NotHasThisCommander,没有获得该指挥官,
100136,HeroNotEnoughLevel,英雄等级不足,
100137,CanNotFindHero,未选择英雄,
100138,Collecting,正在采集中,
100139,Collected,请先点击采集完成后再尝试采集,
100140,Most4HeroCollect,同时最多只能有4个英雄进行采集,
100141,HeroCanOnlyCollectAMap,相同的英雄只允许采集一张地图,
100142,HeroCollecting,该英雄正在采集中，请选择其他英雄,
100143,NotHasCollecting,该地图还没有开始采集,
100144,CollectionMapNotUnlock,该采集地图尚未开启,
100145,NotCollected,未采集完成,
100146,NotEnoughAidTimes,您今日援助次数不足,
100147,NotHasRogue,没有盗贼,
100148,HeroDisable,英雄不可用,
100149,PleaseSel2Hero,请选择两只英雄才可互换好感,
100150,HeroLvAndExpCanNotEqual,2个英雄好感经验和等级相同不可互换,
100151,HasNotHero,没有该英雄,
100152,FavorLevelFilled,英雄好感等级已满,
100153,NotHasCanUseFavorItem,没有可用的好感物品,
100154,NoNeed2BuyVSCount,已有挑战次数，无需购买,
100155,NotEnoughVipLevel,VIP等级不足,
100156,LowVersion,客户端版本与服务器版本不一致，请重启游戏进行更新,
100157,PrefixNotAllowed,登录失败,
100158,Forbidden,您已被封号,
100159,ActivityNotOpen,活动未开启,
100160,ActivityOpened,活动已开启,
100161,ActivityAlreadEnd,活动已结束,
100162,CanNotVSSelf,不能挑战自己,
100163,ServerNotReady,服务器尚未开启,
