Table:CsvNpc,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,modelTid,occupation:Occupation,color:ItemColor,isBoss,level,hp,phyAttack,magicAttack,phyDefence,magicDefence,speed,skill1,skill2,skill3,skill4,initNuqi,recoverNuqi,energyAddWhenTeammateDie,buffs:a,inCombatMotion,scaleDelta:f
#,名字,模型,职业,颜色,2否2Boss,等级,生命,物理攻击,魔法攻击,物理防御,魔法防御,速度,普通技能,普通技能,普通技能,怒气技能或奥义技能,初始怒气或初始能量,每回合回复怒气或能量系数,人头奖励能量,buff列表,入场动作,缩放增量
#,,,,,,,,,,,,,,,,,,,,,,
#,TID格式：ABBBCCDE,,,,,,,,,,,,,,,,,,,,,
#,A：等于5，表示军团boss,,,,,,,,,,,,,,,,,,,,,
#, BBB：暂无用，从000开始,,,,,,,,,,,,,,,,,,,,,
#, CC：第几个boss，从01开始,,,,,,,,,,,,,,,,,,,,,
#, D：第几场子战斗，1、2、3（目前只有1）,,,,,,,,,,,,,,,,,,,,,
#, E：站位，0到6，0表示指挥官,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
50000112,大范,1018,,紫,1,29,10133827,1319,1319,158,158,197,2031,,,10000001,0,50,,10229,,
50000212,永生者沃尔丹,85,,紫,1,37,20811621,2363,2363,283,283,354,2047,,,10000001,0,50,,10229,,
50000312,影牙堡主,1039,,紫,1,43,30730896,3222,3222,386,386,483,2035,,,10000001,0,50,,10229,,
50000412,阿库麦尔,150,,紫,1,48,40569984,4254,4254,510,510,638,1000006,,,10000001,0,50,,10229,,
50000512,大检察官,1012,,橙,1,53,48718656,5108,5108,612,612,766,2005,,,10000001,0,50,,10229,,
50000612,巫妖,1151,,橙,1,58,60529896,6347,6347,761,761,952,2051,,,10000001,0,50,,10229,,
50000712,阿扎达斯,86,,橙,1,63,69794676,7319,7319,878,878,1097,1000006,,,10000001,0,50,,10229,,
50000812,加兹瑞拉,105,,橙,1,67,78734376,8256,8256,990,990,1238,1000006,,,10000001,0,50,,10229,,
50000912,瑟莱德丝公主,29,,橙,1,71,88768512,9308,9308,1116,1116,1396,1000006,,,10000001,0,50,,10229,,
50001012,伊兰尼库斯,30,,橙,1,76,103288752,10831,10831,1299,1299,1624,1000006,,,10000001,0,50,,10229,,
50001112,大帝,1019,,橙,1,80,111719160,11715,11715,1405,1405,1757,2006,,,10000001,0,50,,10229,,
50001212,BOSS,12,,橙,1,84,121948344,12788,12788,1534,1534,1918,1000006,,,10000001,0,50,,10229,,
50001312,BOSS,12,,橙,1,88,133716240,14022,14022,1682,1682,2103,1000006,,,10000001,0,50,,10229,,
50001412,BOSS,12,,红,1,92,147185388,15435,15435,1852,1852,2315,1000006,,,10000001,0,50,,10229,,
50001512,BOSS,12,,红,1,95,156374316,16398,16398,1967,1967,2459,1000006,,,10000001,0,50,,10229,,
50001612,BOSS,12,,红,1,98,164577168,17259,17259,2071,2071,2588,1000006,,,10000001,0,50,,10229,,
50001712,BOSS,12,,红,1,101,175824936,18438,18438,2212,2212,2765,1000006,,,10000001,0,50,,10229,,
50001812,BOSS,12,,红,1,103,182478240,19136,19136,2296,2296,2870,1000006,,,10000001,0,50,,10229,,
50001912,BOSS,12,,红,1,105,189684180,19892,19892,2387,2387,2983,1000006,,,10000001,0,50,,10229,,
50002012,BOSS,12,,红,1,107,196218288,20577,20577,2469,2469,3086,1000006,,,10000001,0,50,,10229,,
50002112,BOSS,12,,红,1,109,199826676,20955,20955,2514,2514,3143,1000006,,,10000001,0,50,,10229,,
50002212,BOSS,12,,红,1,111,203727636,21364,21364,2563,2563,3204,1000006,,,10000001,0,50,,10229,,
50002312,BOSS,12,,红,1,113,209297340,21948,21948,2633,2633,3292,1000006,,,10000001,0,50,,10229,,
50002412,BOSS,12,,红,1,115,215116272,22559,22559,2707,2707,3383,1000006,,,10000001,0,50,,10229,,
50002512,BOSS,12,,红,1,116,217651896,22825,22825,2739,2739,3423,1000006,,,10000001,0,50,,10229,,
50002612,BOSS,12,,红,1,118,223232436,23410,23410,2809,2809,3511,1000006,,,10000001,0,50,,10229,,
50002712,BOSS,12,,红,1,120,227826900,23891,23891,2866,2866,3583,1000006,,,10000001,0,50,,10229,,
50002812,BOSS,12,,红,1,120,227826900,23891,23891,2866,2866,3583,1000006,,,10000001,0,50,,10229,,
50002912,BOSS,12,,红,1,120,227826900,23891,23891,2866,2866,3583,1000006,,,10000001,0,50,,10229,,
50003012,BOSS,12,,红,1,120,227826900,23891,23891,2866,2866,3583,1000006,,,10000001,0,50,,10229,,
#50000515,血色指挥官,1063,,橙,1,46,9421902,3952,3952,474,474,592,2039,,,10000001,0,50,,10229,,
#50001115,铁炉堡公主,1056,,橙,1,67,19683594,8256,8256,990,990,1238,1000006,,,10000001,0,50,,10229,,
,,,,,,,,,,,,,,,,,,,,,,
Table:CsvLegion,,,,,,,,,,,,,,,,,,,,,,
tid,a#kill_reward,a#in_reward,a#conquer_reward,,,,,,,,,,,,,,,,,,,
#,击杀掉落组,参与掉落组,战胜掉落组,,,,,,,,,,,,,,,,,,,
200001,"252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,","251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,","253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,",,,,,,,,,,,,,,,,,,,
