Table:CsvLevelAward,,,,
tid,name:s,items:a,items_count:a,level
#,名字,奖励物品列表,奖励物品数量列表,等级
#,,最多四个,最多四个,
#,,,,
1001,十级礼包,"103,40013,107,40021,","50,1,10000,1,",10
1002,十二级礼包,"103,40013,107,40021,","50,1,10000,1,",12
1003,十五级礼包,"103,40013,107,40053,","100,1,20000,2,",15
1004,十八级礼包,"103,40013,107,40022,","100,1,20000,1,",18
1005,二十级礼包,"103,40014,107,40022,","100,1,40000,1,",20
1006,二十三级礼包,"103,40014,107,40053,","150,1,40000,3,",23
1007,二十五级礼包,"103,40014,107,40052,","150,1,40000,1,",25
1008,二十八级礼包,"103,40014,107,40052,","150,1,40000,1,",28
1009,三十级礼包,"103,40014,107,40052,","150,1,40000,1,",30
1010,三十三级礼包,"103,40014,107,40041,","200,1,60000,1,",33
1011,三十六级礼包,"103,40014,107,40041,","200,1,60000,1,",36
1012,三十八级礼包,"103,40014,107,40041,","200,1,60000,1,",38
1013,四十级礼包,"103,40014,107,40041,","200,1,60000,1,",40
1014,四十五级礼包,"103,40014,107,50024,","300,1,80000,5,",45
1015,五十级礼包,"103,40014,107,50024,","300,1,80000,5,",50
1016,五十五级礼包,"103,40014,107,50024,","400,1,100000,5,",55
1017,六十级礼包,"103,40014,107,50024,","400,1,100000,5,",60
1018,六十五级礼包,"103,40014,107,50024,","500,1,120000,5,",65
1019,七十级礼包,"103,40014,107,50024,","500,1,120000,5,",70
