Table:CsvLoginAward,,,
tid,name:s,items:a,items_count:a
#,名字,奖励物品列表,奖励物品数量列表
#,,最多4个,最多4个
#体力丹、绑钻、铜币,,,
1001,第一天,"40014,103,107,","2,100,100000"
1002,第二天,"40014,103,107,","2,100,100000"
1003,第三天,"40014,103,107,","2,100,200000"
1004,第四天,"40014,103,107,","2,200,200000"
1005,第五天,"40014,103,107,","2,200,200000"
1006,第六天,"40014,103,107,","2,200,200000"
1007,第七天,"40014,103,107,","2,300,200000"
#,,,
#绑钻、花、地精打孔装置,,,
2001,第一天,"103,40012","100,10,"
2002,第二天,"103,107,40012,","100,100000,10,"
2003,第三天,"103,40051,108,40012,","100,5,1000,10,"
#,,,
#,,,
3001,第一天,"103,40007","100,2"
3002,第二天,"103,44004","100,5"
3003,第三天,"103,40051","100,8"
