Table:CsvLuckyAward,,,
tid,type:LuckyType,count,drop_mgr
#,类型,次数,掉落id
1001,冒险,6,401
1002,冒险,8,405
1003,冒险,12,404
1004,冒险,18,402
1005,冒险,24,401
1006,冒险,40,403
1007,冒险,350,403
1008,冒险,750,403
1009,冒险,1230,403
1010,冒险,1790,403
1011,冒险,2430,403
1012,冒险,3150,403
1013,冒险,3950,403
1014,冒险,4830,403
1015,冒险,5790,403
1016,冒险,6830,403
#,青铜宝箱,20,60004
#,青铜宝箱,40,60004
#,青铜宝箱,60,60004
#,青铜宝箱,80,60004
#,青铜宝箱,100,60004
#,青铜宝箱,120,60004
#,青铜宝箱,140,60004
#,青铜宝箱,160,60004
#,青铜宝箱,180,60004
#,青铜宝箱,200,60004
#,青铜宝箱,220,60004
#,白银宝箱,20,60005
#,白银宝箱,40,60005
#,白银宝箱,60,60005
#,白银宝箱,80,60005
#,白银宝箱,100,60005
#,白银宝箱,120,60005
#,白银宝箱,140,60005
#,白银宝箱,160,60005
#,白银宝箱,180,60005
#,白银宝箱,200,60005
#,白银宝箱,220,60005
2001,氪金宝箱,4,100001
2002,氪金宝箱,9,100001
2003,氪金宝箱,98,100002
2004,氪金宝箱,197,100002
2005,氪金宝箱,298,100002
2006,氪金宝箱,398,100002
2007,氪金宝箱,497,100002
2008,氪金宝箱,598,100002
2009,氪金宝箱,698,100003
2010,氪金宝箱,797,100003
2011,氪金宝箱,898,100003
2012,氪金宝箱,998,100003
2013,氪金宝箱,1097,100003
2014,氪金宝箱,1198,100003
2015,氪金宝箱,1298,100003
2016,氪金宝箱,1397,100003
2017,氪金宝箱,1498,100003
2018,氪金宝箱,1598,100003
2019,氪金宝箱,1697,100003
2020,氪金宝箱,1798,100003
2021,氪金宝箱,1898,100003
2022,氪金宝箱,1997,100003
2023,氪金宝箱,2098,100003
2024,氪金宝箱,2198,100003
2025,氪金宝箱,2297,100003
2026,氪金宝箱,2398,100003
2027,氪金宝箱,2498,100003
2028,氪金宝箱,2597,100003
2029,氪金宝箱,2698,100003
2030,氪金宝箱,2798,100003
