Table:CsvMirrorBattle,,,,,,,,
tid,name:s,need_level,drop_group,map:s,,,,
#,名称,开放等级,掉落组,地图预制名,,,,
80701,镜像挑战-简单,69,,JingJiChang,,,,
,,,,,,,,
Table:CsvMirrorBattleHero,,,,,,,,
tid,npcTid:a,heroTid,TransTimes,drop_group,month,day,combat,pos
#,,英雄tid,,掉落组,必出那天几月,必出那天几号,出现场次0-1,出现位置0-5
1001,60701111,,,,,,,
1002,60701112,,,,,,,
1003,60701113,,,,,,,
1004,60701121,,,,,,,
1005,60701122,,,,,,,
1006,60701123,,,,,,,
2001,60701114,1104,5,7104,,,,
2002,60701115,1005,5,7005,,,,
2003,60701116,1105,5,7105,,,,
2004,60701124,1006,5,7006,,,,
2005,60701125,1009,5,7009,,,,
2006,60701126,1014,5,7014,,,,
2007,60701114,1107,5,7107,,,,
2008,60701115,1017,5,7017,,,,
2009,60701116,1112,5,7112,,,,
2010,60701124,1024,5,7024,,,,
2011,60701125,1026,5,7026,,,,
2012,60701126,1029,5,7029,,,,
2013,60701114,1117,5,7117,,,,
2014,60701115,1030,5,7030,,,,
2015,60701116,1122,5,7122,,,,
2016,60701124,1015,5,7015,,,,
2017,60701125,1021,5,7021,,,,
2018,60701126,1018,5,7018,,,,
2019,60701114,1128,5,7128,,,,
2020,60701115,1005,5,7005,,,,
2021,60701116,1130,5,7130,,,,
2022,60701124,1021,5,7021,,,,
2023,60701125,1009,5,7009,,,,
2024,60701126,1015,5,7015,,,,
2025,60701114,1124,5,7124,,,,
2026,60701115,1017,5,7017,,,,
2027,60701116,1109,5,7109,,,,
2028,60701124,1024,5,7024,,,,
2029,60701125,1018,5,7018,,,,
2030,60701126,1029,5,7029,,,,
2031,60701114,1111,5,7111,,,,
2032,60701115,1026,5,7026,,,,
2033,60701116,1115,5,7115,,,,
2034,60701124,1014,5,7014,,,,
2035,60701125,1006,5,7006,,,,
2036,60701126,1030,5,7030,,,,
