Table:CsvModel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,res:s,texReplace:s,selRadius:f,selHeight:f,selYOffset:f,halfWidth:f,originalHeight:f,attackDis1:f,attackDis2:f,attackDis3:f,scaleDelta:f,attackProcessType1:AttackProcessType,attackProcessType2:AttackProcessType,attackProcessType3:AttackProcessType,attackNode1:s,attackNode2:s,attackNode3:s,hurtNode1:s,otherNode1:s,otherNode2:s,otherNode3:s,deadSound:s,facePositionStr:s,faceRotationStr:s,l_conversationPositionStr:s,l_conversationRotationStr:s,r_conversationPositionStr:s,r_conversationRotationStr:s,delayDownload,replaceTid
#,名字,资源,贴图替换,选择半径,选择高度,选择高度偏移,半径,初始高度,攻击距离1,攻击距离2,攻击距离3,缩放增量,攻击流程1,攻击流程2,攻击流程3,攻击节点名1,攻击节点名2,攻击节点名3,受创节点名1,特殊节点1,特殊节点2,特殊节点3,死亡音效,拍照位置,拍照角度,对话形象位置,对话形象角度,对话形象位置,对话形象角度,#0不延迟，1强更，>=2延迟，数越小越优先下载,替代品
1,# 月之女祭司,yuezhinvjisi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.02,-1.46,1.23","0,174.45,0","-0.031,-1.07,2.33","0,158,0","-0.031,-1.07,2.33","0,187,0",100,4
2,麦迪文,maidiwen_01,maidiwen_01,,,,0.5,2,1,1,1,,普通远程,普通远程2,普通远程3,Bone23,Bone23,Bone23,Bip01,,,,,"0.01,-1.96,1.8","0,167.8,0","-0.05,-1.45,3.42","0,158,0","0.07,-1.45,3.42","0,201,0",0,4
3,# 恶魔猎手,yilidan_01,,0.75,3.5,,0.5,1.95,1.65,1.65,1.65,,高级瞬移近战,高级瞬移近战2,高级瞬移近战3,gongji01,gongji01,gongji01,shouchuang01,,,,,"-0.09,-1.33,1.4","0,148.9,0","-0.113,-1.23,2.75","0,163.34,0","0.01,-1.12,2.75","0,194.98,0",0,4
4,# 鸡,ji_01,,1,1,,0.5,0.8,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,shouchuang01,,,,,"0.070,-0.55,1.210","15.465,174.98,353.052","0.050,-0.55,1.959","0.000,169.554,0.000","0.050,-0.55,1.959","0,169.554,0",0,4
5,# 盗贼,daozei_01,"daozei_01,daozei_01_pifeng",0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通近战3,gongji01,gongji01,gongji01,shouchuang01,Bip01,,,,"-0.03,-1.36,1.35","0,169.51,0","0,-1.16,2.48","0,160,0","0,-1.16,2.48","0,184,0",0,4
6,骷髅兵,kuloubing_01,,0.75,3.5,,0.5,1.95,0.9,0.9,0.9,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,shouchuang01,,,,,"-0.04,-1.27,1.53","0,165.68,0","0.005,-1.34,2.8","0,161,0","0.005,-1.2,2.8","0,195,0",0,4
7,死亡骑士,siwangqishi_01,,0.75,3.5,,0.5,2.9,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,shouchuang01,,,,,"0,-2.36,1.8","0,161.65,0","-0.1,-1.46,3.64","0,142,0","0.05,-1.55,3.64","0,214,0",0,4
8,死亡之翼,siwangzhiyi_01,,5,5,1.5,0.65,7,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,shouchuang01,,,,,"-2.000,-6.8,5.600","351.367,135.039,354.739","-1.292,-6.333,9.427","0,133,0","-1.292,-6.333,9.427","0,133,0",0,4
9,山丘之王,shanqiuzhiwang_01,,0.75,3.5,,0.5,1.7,1.45,1.45,1.45,-0.2,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,shouchuang01,Bip01 L Finger1,Bip01 R Finger1,,,"0.15,-1.17,1.66","0,164.17,0","0.077,-1.22,3.08","0,153.77,0","0.077,-1.22,3.08","0,182,0",0,4
10,穆克拉,mukela_01,,3,6,,1.8,5.25,5,5,5,,普通近战,普通近战2,普通近战3,gongji01,gongji02,gongji02,shouchuang01,,,,,"-1,-3.71,5.15","0,143.94,0","0.08,-3.2,7.2","0,158,0","0.08,-3.2,7.2","0,158,0",49,4
11,托尔贝恩王子 ,tuoerbeienwangzi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop2,Bip01 Prop2,Bip01 Prop2,shouchuang01,gongji02,,,,"-0.04,-1.46,1.19","0,160.3,0","0.04,-1.05,2.34","0,153,0","0.08,-1.05,2.56","0,202,0",0,4
12,大检察官,huaitemaien_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 L Hand,,,,"0,-1.42,0.74","0,158.09,0","-0.02,-0.98,2.09","0,157,0","-0.02,-0.98,2.09","0,204,0",0,4
13,魅魔,meimo_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,Bip01 R Finger0,Bip01 R Finger0,Bip01 R Finger0,Bip01,,,,,"0.03,-1.53,1.36","0,166.6199,0","-0.044,-1.18,2.45","0,149,0","-0.044,-1.18,2.45","0,196,0",10,4
14,乌瑟尔,wuseer_01,wuseer_01,0.75,3.5,,0.5,1.95,1,1,1,0,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,Bip01 L Finger1,Bip01 R Finger1,,,"-0.15,-2.1,1.5","0.28,156.3,3.1","0.18,-1.49,3.06","0,150,0","0.18,-1.32,3.06","0,195,0",0,4
15,枭兽,xiaoshou_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bone02(mirrored),Bip01,Bip01,Bone02,Bone02(mirrored),,,"-0.19,-1.43,1.69","0,155.71,0","0,-1.22,3.1","0,162,0","0,215,0","0,215,0",19,4
16,鱼人,yuren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,Bip01 L Finger1,Bip01 R Finger1,,,"-0.14,-1.18,1.52","0,143.39,0","0,-1.14,2.66","0,154,0","0,-1.14,2.66","0,207,0",0,4
17,吉安娜,jianna_01,"jianna_01,jianna_02",0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bone02,Bone02,Bone02,Bip01,,,,,"-0.04,-2,1.45","0,158,0","0,-1.44,3.18","0,143,0","0,-1.44,3.18","0,202,0",0,4
18,大范,fankelifu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"0.02,-1.41,1.12","0,150.8799,0","-0.01,-1.02,2.32","0,151,0","-0.01,-1.02,2.32","0,195,0",0,4
19,大帝,suoruisendadi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.03,-1.4,1.4","0,160.75,0","0.01,-1.05,2.498","0,164,0","0.01,-1.05,2.498","0,202,0",0,4
20,阿鲁高之子,alugaozhizi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.1,-1.38,1.12","0,151.32,0","0,-1.05,2.4","0,149,0","0,-0.95,2.4","0,204,0",11,4
21,大法师,andongnidasi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.04,-1.37,1.2","0,153.7,0","0.1,-1.06,2.45","0,153,0","0.1,-1.06,2.45","0,205,0",0,4
22,霜狼督军,deleiketaer_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji02,gongji01,Bip01,,,,,"0.02,-1.25,1.51","0,168.243,0","-0.05,-1,2.72","0,149,0","0.05,-0.89,2.72","0,192,0",0,4
23,迪菲亚盗贼,difeiya_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.16,-1.39,1.19","0,167.47,0","0.06,-1.03,2.28","0,150,0","0.15,-1.03,2.28","0,197,0",0,4
24,地精男,dijingnan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-1.37,1.25","0,150.74,0","0.06,-1.24,2.84","0,150,0","0.06,-1.24,2.84","0,187,0",11,4
25,地狱犬,diyuquan_01,,0.75,3.5,,0.5,1,1,1,1,,普通远程,普通远程2,普通远程3,Bone10(mirrored),Bone10(mirrored),Bone10(mirrored),Bip01,Bone10(mirrored),Bone10,,,"-0.2,-0.59,1.4","0,140.9,0","0.05,-0.79,2.18","0,155,0","0.05,-0.79,2.18","0,226,0",10,4
26,黑铁矮人男,heitieairennan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,Bip01 HeadNub,Bip01 L Hand,,,"0.02,-1.31,1.13","0,155.64,0","0.01,-1.1,2.57","0,156,0","0.05,-1.1,2.57","0,198,0",25,4
27,烈焰小鬼,lieyanxiaogui_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.02,-0.69,1.32","0,149.1999,0","0.03,-0.84,2.14","0,145,0","0.01,-1.05,2.57","0,201,0",10,4
28,玛法里奥,mafaliao_01,mafaliao_01,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 L Finger0Nub,Bip01 R Finger0Nub,,,"0,-2.16,1.6","0,159.4,0","-0.04,-1.7,3.43","0,161,0","-0.04,-1.7,3.43","0,195,0",0,4
29,瑟莱德丝公主,selaidesigongzhu_01,,0.75,3.5,,0.5,2.5,1,1,1,1,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.02,-2.48,1.66","0,159.1,0","0,-1.7,3.67","0,152,0","0,-1.7,3.67","0,200,0",0,4
30,伊兰尼库斯,yilannisiku_01,,0.75,3.5,,0.5,2.5,1,1,1,0.5,普通远程,普通远程2,普通远程3,gongji02,gongji02,gongji02,Bip01,,,,,"-1.14,-2.44,2.68","0,131.895,0","0.03,-1.9,4.85","0,138,0","0.03,-1.9,4.85","0,138,0",0,4
31,肉色憎恶,zengwu_01,,0.75,3.5,,0.5,1.95,1,1,1,0.5,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.04,-1.7,0.98","0,143.8,0","0,-1.18,2.95","0,153,0","0,-1.18,2.95","0,209,0",0,4
32,驯犬者带狗,xunquanzhe_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.39,1.12","0,160.23,0","-0.044,-1.02,2.32","0,198,0","-0.044,-1.02,2.32","0,198,0",0,4
33,狗头人,goutouren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 L Hand,,Bip01 HeadNub,,"-0.1,-1.36,1.36","0,150.48,0","0.13,-1.06,2.35","0,143,0","0.13,-1.06,2.35","0,211,0",0,4
34,暴风摄政王,bowaerfotagen_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop2,Bip01 Prop2,Bip01 Prop2,shouchuang01,gongji02,,,,"-0.04,-1.46,1.19","0,160.3,0","0.04,-1.05,2.35","0,153,0","0.08,-1.05,2.35","0,202,0",0,4
35,荆棘谷猎手,hemitenaixinwali_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop2,Bip01 Prop2,Bip01 Prop2,Bip01,,,,,"-0.1,-1.14,1","0,166.35,0","-0.05,-0.9,2.14","0,152,0","0.07,-0.9,2.14","0,192,0",0,4
36,赫洛德,heluode_01,,0.75,3.5,,0.5,1.95,1,1,1,0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.14,-1.2,1.25","0,150.33,0","0.03,-0.95,2.18","0,150,0","0.03,-0.95,2.18","0,210,0",0,4
37,萨特,sate_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.07,-1.49,1","0,145.68,0","-0.05,-1.1,2.54","0,145,0","-0.05,-1.1,2.74","0,195,0",10,4
