#,富文本编码规则：（暂时就这几种，如果有更多需求后期再加）,,,
#,<b>加粗</b>          <i>斜体</i>           <size=40>文字大小</i> ,,,
#,颜色：例如<color=#ffe5d7>文本内容</color>      ,,,
#, 这些颜色是根据美术提供的游戏内目前所有可能用到的颜色,,,
#,蓝色：#659ef7     深褐色：#693e15  紫色：#7a65f3    绿色：#93ec5a  ,,,
#,棕色：#b3753e     红色：#f75a4a    黄色：#fcdb72    按钮颜色：#fdeabd  ,,,
#,普通文本：#ffe5d7  白色：#ffffff    橙色：#ffa200  ,,,
#,,,,
#,活动公告（到时间自动播放）,,,
Table:CsvNoticeActivity,,,,
tid,notice:s,play_time:d,loop_times,loop_interval
#,公告,播放时间,循环次数,循环间隔时间(s)
1,<color=#fcdb72>世界Boss活动将于20:00准时开放，请小伙伴们快加入吧！</color>,2016-1-1,1,100
2,<color=#fcdb72>世界Boss活动开始啦，大家快冲啊！</color>,2016-2-1,1,100
3,<color=#fcdb72>世界Boss活动已结束！</color>,2016-3-1,1,100
,,,,
,,,,
#,事件公告（人为触发的）          {0}、{1}、{2}... 代表参数，具体需跟程序配合,,,
Table:CsvNoticeEvent,,,,
tid,notice:s,type:NoticeWorldType,,
#,公告,公告类型,,
101,恭喜<color=#f75a4a>{0}</color>获得稀有英雄{1}！,普通英雄招募,,
102,恭喜<color=#f75a4a>{0}</color>获得史诗英雄{1}！,紫色英雄招募,,
103,"恭喜<color=#f75a4a>{0}</color>在一阵电闪雷鸣后,获得传说英雄{1}！",橙色英雄招募,,
104,在硝烟四起、高手如云的英雄嘉年华中，<color=#f75a4a>{0}</color> 修炼有成，在竞技场中夺得天下第一的宝座！,竞技场第一名,,
105,<color=#f75a4a>{0}</color> 通过艰苦卓绝的历练后，前往竞技场小试牛刀，获得<color=#659ef7> {1}</color>  连胜,竞技场连胜,,
106,恭喜各位玩家，守城成功！,世界Boss胜利后,,
107,很遗憾，守城失败！,世界Boss失败后,,
108,<color=#f75a4a>{0}</color>成功开启觉醒第二层，让我们祝他好运！,激活觉醒二层,,
