Table:CsvNpc,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,modelTid,occupation:Occupation,color:ItemColor,isBoss,level,hp,phyAttack,magicAttack,phyDefence,magicDefence,speed,skill1,skill2,skill3,skill4,initNuqi,recoverNuqi,energyAddWhenTeammateDie,buffs:a,inCombatMotion,scaleDelta:f
#,名字,模型,职业,颜色,是否是Boss,等级,生命,物理攻击,魔法攻击,物理防御,魔法防御,速度,普通技能,普通技能,普通技能,怒气技能或奥义技能,初始怒气或初始能量,每回合回复怒气或能量系数,人头奖励能量,buff列表,入场动作,缩放增量
10101111,狗头人,33,其它,,,1,297,46,46,8,8,3,2035,,,0,50,50,180,0,,
10101113,狗头人,33,其它,,,1,297,61,61,8,8,3,2035,,,0,50,50,180,0,,
10101121,狗头人,33,其它,,,1,297,61,61,8,8,3,2035,,,0,50,50,180,0,,
10101123,狗头人,33,其它,,,1,297,61,61,8,8,3,2035,,,0,50,50,180,0,,
10102111,狼,48,其它,,,2,261,55,55,9,9,3,2028,,,0,50,50,180,"20047,0",,
10102113,狼,48,其它,,,2,272,55,55,9,9,3,2028,,,0,50,50,180,"20047,0",,
10102115,狼,48,其它,,,2,237,63,63,9,9,3,2028,,,0,50,50,180,"20047,0",,
10103114,狗头人矿工,134,其它,,,3,291,48,48,9,9,3,1000008,,,0,50,50,180,"30048,0",,
10103116,狗头人矿工,134,其它,,,3,291,45,45,9,9,3,1000008,,,0,50,50,180,"30048,0",,
10104111,迪菲亚盗贼,23,其它,,,4,219,33,33,6,6,2,2025,,,0,50,50,180,0,,
10104113,迪菲亚盗贼,23,其它,,,4,219,33,33,6,6,2,2025,,,0,50,50,180,0,,
10104122,迪菲亚秘术师,53,其它,,,4,269,40,40,8,8,3,2003,,,1020,50,50,180,0,,
10104125,迪菲亚秘术师,53,其它,,,4,239,53,53,8,8,3,2003,,,1020,50,50,180,0,,
10104131,迪菲亚盗贼,23,其它,,,4,316,56,56,9,9,3,2025,,,0,50,50,180,0,,
10104133,迪菲亚盗贼,23,其它,,,4,316,56,56,9,9,3,2025,,,0,50,50,180,0,,
10104135,迪菲亚秘术师,53,其它,,,4,316,62,62,9,9,3,2003,,,1020,50,50,180,0,,
10105112,加瑞克,94,其它,蓝,1,5,718,77,77,10,10,9,2031,,,1001,50,50,180,"10006,0",,
10105114,迪菲亚盗贼,23,其它,,,5,199,70,70,10,10,4,2025,,,0,50,50,180,0,,
10105116,迪菲亚秘术师,53,其它,,,5,199,72,72,10,10,4,2003,,,1020,50,50,180,0,,
10201111,鱼人,16,其它,,,5,281,109,109,10,10,4,2034,,,1026,50,50,180,0,,
10201113,鱼人,16,其它,,,5,267,120,120,10,10,4,2034,,,1026,50,50,180,0,,
10201115,曲奇船长,64,其它,蓝,1,5,322,140,140,10,42,50,2035,,,1032,50,50,180,"10002,0",,
10202111,森林狼,141,其它,,,6,398,76,76,11,11,4,2028,,,0,50,50,180,"20047,0",,
10202113,森林狼,141,其它,,,6,398,76,76,11,11,4,2028,,,0,50,50,180,"20047,0",,
10202115,灰熊,115,其它,,,6,398,81,81,11,11,4,2032,,,0,50,50,180,0,,
10203111,公主的随从,142,其它,,,7,277,91,91,13,13,5,2028,,,0,50,50,180,0,,
10203113,公主的随从,142,其它,,,7,277,91,91,13,13,5,2028,,,0,50,50,180,0,,
10203115,公主,114,其它,蓝,1,7,811,102,102,20,20,13,2028,,,0,50,50,180,"10010,0",,
10204111,鱼人,124,其它,,,7,444,89,89,13,13,5,2034,,,1026,50,50,180,0,,
10204112,鱼人,124,其它,,,7,444,89,89,13,13,5,2034,,,1026,50,50,180,0,,
10204113,鱼人,124,其它,,,7,444,89,89,13,13,5,2034,,,1026,50,50,180,0,,
10205111,狗头人矿工,134,其它,,,8,329,67,67,9,9,3,1000008,,,0,50,50,180,"30048,0",,
10205113,狗头人矿工,134,其它,,,8,329,67,67,9,9,3,1000008,,,0,50,50,180,"30048,0",,
10205122,狗头人,33,其它,,,8,405,83,83,12,12,4,2035,,,0,50,50,180,0,,
