Table:CsvOccasionalWelfare,,,,,,,,,,
tid,level,item_1,item_1_count,description1:s,item_2,item_2_count,description2:s,paid_refresh,price_type,price
#,等级组,物品1,数量1,描述1,物品2,数量2,描述2,刷新概率,价格类型,价格
10001,10,100910,1,法力风暴护腿,100920,1,狮心头盔,9000,1,200
10002,10,40007,1,高级召唤石,50023,1,200绑钻,1000,1,100
#,,,,,,,,,,
20001,20,100940,1,黑色龙鳞战靴,100930,1,洞察法袍,500,1,200
20002,20,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
20003,20,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
20004,20,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
20005,20,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
20006,20,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
20007,20,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
20008,20,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
20009,20,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
20010,20,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
20011,20,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
20012,20,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
20013,20,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
20014,20,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
20015,20,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
20016,20,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
20017,20,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
30001,30,100940,1,黑色龙鳞战靴,100930,1,洞察法袍,500,1,200
30002,30,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
30003,30,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
30004,30,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
30005,30,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
30006,30,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
30007,30,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
30008,30,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
30009,30,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
30010,30,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
30011,30,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
30012,30,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
30013,30,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
30014,30,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
30015,30,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
30016,30,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
30017,30,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
40001,40,100940,1,黑色龙鳞战靴,100930,1,洞察法袍,500,1,200
40002,40,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
40003,40,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
40004,40,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
40005,40,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
40006,40,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
40007,40,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
40008,40,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
40009,40,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
40010,40,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
40011,40,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
40012,40,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
40013,40,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
40014,40,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
40015,40,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
40016,40,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
40017,40,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
50001,50,100940,1,黑色龙鳞战靴,100930,1,洞察法袍,500,1,200
50002,50,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
50003,50,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
50004,50,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
50005,50,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
50006,50,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
50007,50,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
50008,50,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
50009,50,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
50010,50,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
50011,50,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
50012,50,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
50013,50,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
50014,50,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
50015,50,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
50016,50,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
50017,50,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
60001,60,11120,5,踏云腿甲碎片,11123,5,闪避之靴碎片,250,1,600
60002,60,11121,5,风蛇的拥抱碎片,11122,5,烈焰之环碎片,250,1,600
60003,60,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
60004,60,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
60005,60,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
60006,60,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
60007,60,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
60008,60,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
60009,60,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
60010,60,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
60011,60,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
60012,60,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
60013,60,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
60014,60,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
60015,60,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
60016,60,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
60017,60,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
60018,60,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
70001,70,11120,5,踏云腿甲碎片,11123,5,闪避之靴碎片,250,1,600
