Table:CsvOnlineAward,,,,
tid,name:s,time,items:a,items_count:a
#,名字,时间,奖励物品列表,奖励物品数量列表
#,,单位:秒,最多四个,最多四个
#,,填的是两个奖励之间的间隔时间,,
1001,5分钟奖励,300,"2021,40006,","10,1,"
1002,5分钟奖励,300,"2021,70001,","10,1,"
1003,10分钟奖励,600,"2021,40014,","15,1,"
1004,15分钟奖励,900,"2021,100650,","15,1,"
#,,,,
2001,5分钟奖励,300,"2026,103,40012,","10,50,1,"
2002,5分钟奖励,300,"2026,107,40053,","10,20000,4,"
2003,10分钟奖励,600,"2026,103,40014,","15,100,1,"
2004,15分钟奖励,900,"2026,108,200923,","15,1000,1,"
#,,,,
3001,5分钟奖励,300,"11118,201,","2,200,"
3002,5分钟奖励,300,"11118,40007,","2,1,"
3003,10分钟奖励,600,"11118,40052,","2,3,"
3004,15分钟奖励,900,"11118,40051,","4,3,"
