Table:CsvPSkillInfo,,,,,,,,,,,,,,,
tid,name:s,lv_exp,total_exp,attr:AttrType,attr_p,attr_v,color:ItemColor,icon:s,upgradeCostMoney,upgradeCostBookTID:a,upgradeCostBookCount:a,decomposeCostDiamond,decomposeGainItemTID:a,decomposeGainItemCount:a,desc:s
#,名字,等级经验,总经验,,属性万分比,属性值,,图标,进阶消耗金钱,进阶消耗技能书TID,进阶消耗技能书数量,拆解消耗钻石,拆解获得物品TID（数组）,拆解获得物品数量（数组）,描述
#,,,,,,,,,,,,,,,
#格挡,,,,,,,,,,,,,,,
1101,初级格挡,12,-1,格挡,50,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,","1,",格挡+0.5%
1102,初级格挡,20,12,格挡,65,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,","1,",格挡+0.65%
1103,初级格挡,30,32,格挡,80,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,","1,",格挡+0.8%
1104,初级格挡,40,62,格挡,95,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,","1,",格挡+0.95%
1105,初级格挡,50,102,格挡,112,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40041,","1,1,",格挡+1.12%
1106,初级格挡,62,152,格挡,130,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40041,","1,1,",格挡+1.3%
1107,初级格挡,75,214,格挡,147,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40041,","1,2,",格挡+1.47%
1108,初级格挡,87,289,格挡,165,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40041,","1,2,",格挡+1.65%
1109,初级格挡,100,376,格挡,182,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40041,","1,3,",格挡+1.82%
1110,初级格挡,112,476,格挡,200,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40041,","1,4,",格挡+2%
1111,初级格挡,127,588,格挡,225,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40042,","1,1,",格挡+2.25%
1112,初级格挡,142,715,格挡,250,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40042,40041,","1,1,2,",格挡+2.5%
1113,初级格挡,157,857,格挡,275,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40042,40041,","1,1,3,",格挡+2.75%
1114,初级格挡,172,1014,格挡,300,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,","1,1,",格挡+3%
1115,初级格挡,187,1186,格挡,325,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40041,","1,1,1,",格挡+3.25%
1116,初级格挡,205,1373,格挡,350,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40041,","1,1,3,",格挡+3.5%
1117,初级格挡,222,1578,格挡,375,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,","1,1,1,",格挡+3.75%
1118,初级格挡,240,1800,格挡,400,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,40041,","1,1,1,3,",格挡+4%
1119,初级格挡,257,2040,格挡,425,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,","1,2,",格挡+4.25%
1120,初级格挡,275,2297,格挡,450,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40041,","1,2,2,",格挡+4.5%
1121,初级格挡,295,2572,格挡,480,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,","1,2,1,",格挡+4.8%
1122,初级格挡,315,2867,格挡,510,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,40041,","1,2,1,3,",格挡+5.1%
1123,初级格挡,335,3182,格挡,540,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40041,","1,3,1,",格挡+5.4%
1124,初级格挡,355,3517,格挡,570,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,","1,3,1,",格挡+5.7%
1125,初级格挡,375,3872,格挡,600,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,40041,","1,3,1,3,",格挡+6%
1126,初级格挡,397,4247,格挡,630,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40041,","1,4,2,",格挡+6.3%
1127,初级格挡,420,4644,格挡,660,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,40041,","1,4,1,1,",格挡+6.6%
1128,初级格挡,442,5064,格挡,690,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,","1,5,",格挡+6.9%
1129,初级格挡,465,5506,格挡,720,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,","1,5,1,",格挡+7.2%
1130,初级格挡,487,5971,格挡,750,,绿,Icon/20001gedang_lv_64,100000,20002,1,100,"20001,40043,40042,40041,","1,5,1,4,",格挡+7.5%
