Table:CsvResReplace,,,,
tid,Type:RResType,name:s,delayDownload,replaceTid
#,,,#0不延迟，1强更，>=2延迟，数越小越优先下载,替代品
1,场景,AiErWenSenLin,0,8
2,场景,AiSaLa,73,8
3,场景,AiHaoDongXue,22,8
4,场景,ALaXi,61,8
5,场景,AoDaMan,46,8
6,场景,ATaHaKaShengMiao,0,8
7,场景,BattleScene,0,8
8,场景,BeiJunXiuDaoYuan,0,8
9,场景,BeiShangZhaoZe,64,8
10,场景,CharShadow,0,8
11,场景,CharShadowPlane,0,8
12,场景,CharShadowPlane2,0,8
13,场景,ChenNiZhaoZe,55,8
14,场景,ChiJiShan,25,8
15,场景,ChouJiang,0,8
16,场景,CreateRole,0,8
17,场景,DarkLegionInvasion,0,8
18,场景,Gacha,0,8
19,场景,HeiAnShenYuan,31,8
20,场景,HeiHaiAn,19,8
21,场景,HeiShiShenYuan,70,8
22,场景,HuangWuZhiDi,46,8
23,场景,HuiGu,28,8
24,场景,JingJiChang,0,8
25,场景,JingJiGu,49,8
26,场景,JusticeAvenger,0,8
27,场景,MainCity,0,8
28,场景,MaLaDun,0,8
29,场景,PinJiZhiDi,22,8
30,场景,QiLiangZhiDi,58,8
31,场景,ShiDi,31,8
32,场景,SiWangKuangKeng,0,8
33,场景,TaNaLiSi,52,8
34,场景,TiDaoGaoDi,40,8
35,场景,WenYiZhiDi,0,8
36,场景,XiBuHuangYe,0,8
37,场景,XierSiBuLaDeQiuLing,31,8
38,场景,XinTeLan,67,8
39,场景,XueSeXiuDaoYuan,34,8
40,场景,YingYaChengBao,0,8
41,场景,YinSongSenLin,12,8
42,场景,ZhuCheng,0,8
43,场景,ZhuChengRaw,0,8
44,场景,ZhuChengYeWan,10,42
45,场景,ZuErFaLaKe,52,8
#,,,,
1000,冒险,aierwensenglin,0,
1001,冒险,aisala,73,1000
1002,冒险,alaxi,61,1000
1003,冒险,angeluohuanxingshan,80,1000
1004,冒险,beijunxiudaoyuan,0,1000
1005,冒险,beipinjizhidi,22,1000
1006,冒险,beishangzhaoze,64,1000
1007,冒险,chennizhaoze,55,1000
1008,冒险,chijishan,25,1000
1009,冒险,dongwenyizhidi,80,1000
1010,冒险,feilasi,76,1000
1011,冒险,feiwudesenlin,79,1000
1012,冒险,heihaian,19,1000
1013,冒险,huangwuzhidi,46,1000
1014,冒险,huigu,28,1000
1015,冒险,jingjigu,49,1000
1016,冒险,musesenlin,43,1000
1017,冒险,nanpinjizhidi,40,1000
1018,冒险,qiliangzhidi,58,1000
1019,冒险,shidi,31,1000
1020,冒险,tanalisi,52,1000
1021,冒险,tiruisifalindi,34,1000
1022,冒险,xibuhuangye,0,1000
1023,冒险,xiersibulaide,37,1000
1024,冒险,xintelan,67,1000
1025,冒险,xiwenyizhidi,80,1000
1026,冒险,yinsongsenlin,0,1000
1027,冒险,zhengzhan_beijing_01,0,1000
1028,冒险,zhuorexiagu,70,1000
#,,,,
2000,副本,aihaodongxue,0,2004
2001,副本,atahakashenmiao,64,2004
2002,副本,aodaman,46,2004
2003,副本,heianshenyuan,0,2004
2004,副本,maladun,0,2004
2005,副本,siwangkuangjing,0,2004
2006,副本,tidaogaodi,40,2004
2007,副本,xuesexiudaoyuan,34,2004
2008,副本,yingyachengbao,0,2004
2009,副本,zuerfalake,52,2004
