Table:CsvRichIcon,,,,
tid,name:s,img_path:s,type:RichIconType,code:s
#,图标名称,图片路径,图标类型,编码
1,emoji表情1,Emoji/emoji_1,表情,@1
2,emoji表情2,Emoji/emoji_2,表情,@2
3,emoji表情3,Emoji/emoji_3,表情,@3
4,emoji表情4,Emoji/emoji_4,表情,@4
5,emoji表情5,Emoji/emoji_5,表情,@5
6,emoji表情6,Emoji/emoji_6,表情,@6
7,emoji表情7,Emoji/emoji_7,表情,@7
8,emoji表情8,Emoji/emoji_8,表情,@8
9,emoji表情9,Emoji/emoji_9,表情,@9
10,emoji表情10,Emoji/emoji_10,表情,@10
11,emoji表情11,Emoji/emoji_11,表情,@11
12,emoji表情12,Emoji/emoji_12,表情,@12
13,emoji表情13,Emoji/emoji_13,表情,@13
14,emoji表情14,Emoji/emoji_14,表情,@14
15,emoji表情15,Emoji/emoji_15,表情,@15
16,emoji表情16,Emoji/emoji_16,表情,@16
17,emoji表情17,Emoji/emoji_17,表情,@17
18,emoji表情18,Emoji/emoji_18,表情,@18
19,emoji表情19,Emoji/emoji_19,表情,@19
20,emoji表情20,Emoji/emoji_20,表情,@20
21,emoji表情21,Emoji/emoji_21,表情,@21
22,emoji表情22,Emoji/emoji_22,表情,@22
23,emoji表情23,Emoji/emoji_23,表情,@23
24,emoji表情24,Emoji/emoji_24,表情,@24
25,emoji表情25,Emoji/emoji_25,表情,@25
26,emoji表情26,Emoji/emoji_26,表情,@26
27,emoji表情27,Emoji/emoji_27,表情,@27
28,emoji表情28,Emoji/emoji_28,表情,@28
29,emoji表情29,Emoji/emoji_29,表情,@29
30,emoji表情30,Emoji/emoji_30,表情,@30
31,emoji表情31,Emoji/emoji_31,表情,@31
32,emoji表情32,Emoji/emoji_32,表情,@32
33,emoji表情33,Emoji/emoji_33,表情,@33
34,emoji表情34,Emoji/emoji_34,表情,@34
35,emoji表情35,Emoji/emoji_35,表情,@35
36,emoji表情36,Emoji/emoji_36,表情,@36
37,emoji表情37,Emoji/emoji_37,表情,@37
38,emoji表情38,Emoji/emoji_38,表情,@38
39,emoji表情39,Emoji/emoji_39,表情,@39
40,emoji表情40,Emoji/emoji_40,表情,@40
41,emoji表情41,Emoji/emoji_41,表情,@41
42,emoji表情42,Emoji/emoji_42,表情,@42
43,emoji表情43,Emoji/emoji_43,表情,@43
44,emoji表情44,Emoji/emoji_44,表情,@44
45,emoji表情45,Emoji/emoji_45,表情,@45
46,emoji表情46,Emoji/emoji_46,表情,@46
47,emoji表情47,Emoji/emoji_47,表情,@47
48,emoji表情48,Emoji/emoji_48,表情,@48
49,emoji表情49,Emoji/emoji_49,表情,@49
50,emoji表情50,Emoji/emoji_50,表情,@50
51,emoji表情51,Emoji/emoji_51,表情,@51
52,emoji表情52,Emoji/emoji_52,表情,@52
53,emoji表情53,Emoji/emoji_53,表情,@53
54,emoji表情54,Emoji/emoji_54,表情,@54
55,emoji表情55,Emoji/emoji_55,表情,@55
56,钻石,Common/zuanshi,系统图标,/zuanshi
57,绑定钻石,Common/bangzuan,系统图标,/bangzuan
58,体力,Icon/104,系统图标,/tili
59,精力,Common/Jingli_01,系统图标,/jingli
60,经验,Icon/106,系统图标,/exp
61,铜币,Icon/107tongbi_2,系统图标,/money
62,战魂,Icon/108zhanhun_2,系统图标,/zhanhun
63,星星,Common/xingxing_01,系统图标,/star
64,竞技场点数,Icon/107tongbi,系统图标,/jingji
65,英魂,Common/yinghun_01,系统图标,/yinghun
