Table:CsvRob,,
tid,probability,probability_player
#,抢机器人概率,抢玩家概率
200011,3000,9000
200012,3000,9000
200013,3000,9000
200021,1000,5000
200022,1000,5000
200023,1000,5000
200024,1000,5000
200031,500,4000
200032,500,4000
200033,500,4000
200034,500,4000
200035,500,4000
200036,500,4000
200111,3000,9000
200112,3000,9000
200113,3000,9000
200121,1000,5000
200122,1000,5000
200123,1000,5000
200124,1000,5000
200131,500,4000
200132,500,4000
200133,500,4000
200134,500,4000
200135,500,4000
200136,500,4000
200211,3000,9000
200212,3000,9000
200213,3000,9000
200221,1000,5000
200222,1000,5000
200223,1000,5000
200224,1000,5000
200231,500,4000
200232,500,4000
200233,500,4000
200234,500,4000
200235,500,4000
200236,500,4000
200311,3000,9000
200312,3000,9000
200313,3000,9000
200321,1000,5000
200322,1000,5000
200323,1000,5000
200324,1000,5000
200331,500,4000
200332,500,4000
200333,500,4000
200334,500,4000
200335,500,4000
200336,500,4000
200411,3000,9000
200412,3000,9000
200413,3000,9000
200421,1000,5000
200422,1000,5000
200423,1000,5000
200424,1000,5000
200431,500,4000
200432,500,4000
200433,500,4000
200434,500,4000
200435,500,4000
200436,500,4000
200511,3000,9000
200512,3000,9000
200513,3000,9000
200521,1000,5000
200522,1000,5000
200523,1000,5000
200524,1000,5000
200531,500,4000
200532,500,4000
200533,500,4000
200534,500,4000
200535,500,4000
200536,500,4000
200611,3000,9000
200612,3000,9000
200613,3000,9000
200621,1000,5000
200622,1000,5000
200623,1000,5000
200624,1000,5000
200631,500,4000
200632,500,4000
200633,500,4000
200634,500,4000
200635,500,4000
200636,500,4000
200711,3000,9000
200712,3000,9000
200713,3000,9000
200721,1000,5000
200722,1000,5000
200723,1000,5000
200724,1000,5000
200731,500,4000
200732,500,4000
200733,500,4000
200734,500,4000
200735,500,4000
200736,500,4000
200811,3000,9000
200812,3000,9000
200813,3000,9000
200821,1000,5000
200822,1000,5000
200823,1000,5000
200824,1000,5000
200831,500,4000
200832,500,4000
200833,500,4000
200834,500,4000
200835,500,4000
200836,500,4000
200911,3000,9000
200912,3000,9000
200913,3000,9000
200921,1000,5000
200922,1000,5000
200923,1000,5000
200924,1000,5000
200931,500,4000
200932,500,4000
200933,500,4000
200934,500,4000
200935,500,4000
200936,500,4000
201011,3000,9000
201012,3000,9000
201013,3000,9000
201021,1000,5000
201022,1000,5000
201023,1000,5000
201024,1000,5000
201031,500,4000
201032,500,4000
201033,500,4000
201034,500,4000
201035,500,4000
201036,500,4000
201111,3000,9000
201112,3000,9000
201113,3000,9000
201121,1000,5000
201122,1000,5000
201123,1000,5000
201124,1000,5000
201131,500,4000
201132,500,4000
201133,500,4000
201134,500,4000
201135,500,4000
201136,500,4000
201211,3000,9000
201212,3000,9000
201213,3000,9000
201221,1000,5000
201222,1000,5000
201223,1000,5000
201224,1000,5000
201231,500,4000
201232,500,4000
201233,500,4000
201234,500,4000
201235,500,4000
201236,500,4000
201311,3000,9000
201312,3000,9000
201313,3000,9000
201321,1000,5000
201322,1000,5000
201323,1000,5000
201324,1000,5000
201331,500,4000
201332,500,4000
201333,500,4000
201334,500,4000
201335,500,4000
201336,500,4000
201411,3000,9000
201412,3000,9000
201413,3000,9000
201421,1000,5000
201422,1000,5000
201423,1000,5000
201424,1000,5000
201431,500,4000
201432,500,4000
201433,500,4000
201434,500,4000
201435,500,4000
201436,500,4000
201511,3000,9000
201512,3000,9000
201513,3000,9000
201521,1000,5000
201522,1000,5000
201523,1000,5000
201524,1000,5000
201531,500,4000
201532,500,4000
201533,500,4000
201534,500,4000
201535,500,4000
201536,500,4000
