Table:CsvRuleDesc,,,
tid,func_name:FuncName,title:s,desc:s
#,名字,,
1,英雄召唤,召唤简介,<size=22><color=#fcdb72>一、普通招募</color></size>\n普通招募每5分钟会赠送一次免费招募的机会，也可以使用初级召唤石进行招募\n\n<size=22><color=#fcdb72>二、钻石招募</color></size>\n钻石招募每24小时会赠送一次免费招募的机会，也可以使用高级召唤石或钻石进行招募\n使用钻石十连抽会额外赠送两次召唤英雄的机会
2,赛场,赛场规则,<size=22><color=#fcdb72>一、铜币赛场</color></size>\n在指定等级阶段消耗一定铜币可以参与比赛\n\n<size=22><color=#fcdb72>二、钻石赛场</color></size>\n在指定等级阶段消耗一定钻石（包括绑钻）可以参与比赛\n\n<size=22><color=#fcdb72>三、挑战结果</color></size>\n挑战擂主胜利会获得奖金池里一定的收益，如果没有战胜但击杀了敌方英雄也有收益\n\n<size=22><color=#fcdb72>四、奖励发放</color></size>\n每晚21点30分会为擂主发放奖金池中的奖金
3,占星,占星说明,<size=22><color=#fcdb72>一、占星</color></size>\n抓牌需要消耗一定量铜币，并可获得星座装备\n\n<size=22><color=#fcdb72>二、星座装备</color></size>\n星座装备和普通装备一样可以增加英雄属性\n\n<size=22><color=#fcdb72>三、星座熔炼</color></size>\n星座熔炼会提供星座升级需要的星值
4,军团BOSS,帮助,一、玩家每天可挑战军团boss3次，VIP玩家可额外获得挑战次数，挑战次数会在当天24:00时重置\n\n二、军团每击杀一个boss，每位成员均有一次机会选择一个boss宝箱，获得奖励\n\n三、击杀当前boss后，会自动开启下一个boss\n\n四、军团boss会在每周一刷新
5,跨服神将,神将说明,<size=22><color=#fcdb72>一、限时神将</color></size>\n每20小时可以获得一次免费抽取的机会，有几率获得指定神将\n\n<size=22><color=#fcdb72>二、积分宝箱</color></size>\n达到指定的积分可以开启宝箱\n\n三、第1名的排名奖励需要达到400积分\n\n四、2-3名的排名奖励需要达到350积分\n\n五、4-6名的排名奖励需要达到300积分\n\n六、7-10名的排名奖励需要达到200积分\n\n七、11-20名的排名奖励需要达到100积分\n\n八、21-30名的排名奖励需要达到50积分\n\n九、玩家未达到活动对应积分需求，只能够领取自身积分所在档位的奖励
6,军团战,军团战规则,1、军团战每周二、四、六开启，军团等级到达2级，则自动报名\n2、军（副）团长通过使用“决斗令”在12点05分至12点30分可以指定与本军团排名±2以内的军团为对手\n3、未指定对手的军团，则在12点30分由系统自动分配对手\n4、军团每名成员需要确认上阵的英雄，最多上阵4名英雄\n5、军团战分三路，每路可以配置4个梯队，每个梯队最多6名英雄\n6、每个梯队最多战斗两场，之后自动切换到下一梯队\n7、三路战斗中，胜利得1积分，失败减1分，三路总分为正者获胜，负者失败，双方为零则排名高的一方算输
7,无尽试炼,活动说明,1、活动每日凌晨5点重置，重置后，可继续从第一关开始挑战\n2、闯关过程中，我方成员血量不会被重置，选择重生后，敌方单位血量不会被重置\n3、阵亡的英雄，不会出现在下一波战斗中\n4、战败后，可使用“净化石”重新满状态挑战一次（净化石每日五点重置为1颗）\n5、排行榜每5分钟进行一次更新，今日排行榜奖励，可以在次日凌晨5点后，在主界面领取
8,装备洗练,洗练说明,1、装备需要鉴定后方可洗炼，没有“神秘属性”的装备无法进行洗炼\n2、洗炼成功后需进行替换操作，预览属性才会替换当前属性并且生效\n3、根据消耗的洗炼石等级不同，装备洗炼后可获得不同的套装前缀，材料不足时将消耗一定的钻石\n4、获得心仪的属性、套装前缀，均可锁定后再进行洗炼，最多锁定两条属性（套装前缀不计算在内）\n5、在不锁定套装前缀的情况下进行洗炼将直接替换为新的套装前缀，而不需替换操作
9,精英副本,活动说明,1、活动61级开启，开启后每日14:00至24:00可挑战\n2、队伍中必须有两名成员，方可进挑战，队伍中所有成员均可点击【开始挑战】，进入战斗\n3、每个关卡总计5场战斗，每个成员最多战斗三场（任意成员没有胜利两场，则本次挑战失败）\n4、挑战成功后可获得结算奖励，若两名成员，在单个关卡中，每只怪物挑战的回合数≤指定回合数，则可以获得额外奖励(不计算失败的场次）\n5、成功挑战第一个关卡后，则在次日14：00前无法变更队伍（若第一个关卡挑战失败则允许退出队伍，重新寻找队友）
