Table:CsvSacrifice,,,,,,,,,,
tid,times,item_id1,num1,price1,item_id2,num2,price2,item_id3,num3,price3
#,次数,物品1,数量1,价格1,物品2,数量2,价格2,物品3,数量3,价格3
1,1,107,30000,2,108,100,5,40012,1,5
2,2,107,30000,5,108,200,10,40012,1,5
3,3,107,30000,10,108,200,10,40012,1,8
4,4,107,30000,15,108,200,12,40012,1,8
5,5,107,30000,20,108,200,12,40012,1,10
6,6,107,32000,25,108,300,20,40012,1,12
7,7,107,34000,30,108,300,20,40012,1,14
8,8,107,36000,35,108,400,28,40012,1,16
9,9,107,38000,40,108,500,35,40012,1,18
10,10,107,40000,45,108,600,42,40012,1,20
11,11,107,42000,50,108,800,58,40012,1,24
12,12,107,44000,60,108,1000,75,40012,1,28
13,13,107,46000,70,108,1200,90,40012,1,32
14,14,107,48000,80,108,1400,108,40012,1,36
15,15,107,50000,90,108,1600,125,40012,1,40
16,16,107,52000,100,108,1800,140,40012,1,45
17,17,107,54000,120,108,2000,165,40012,1,50
18,18,107,56000,140,108,2200,185,40012,1,55
19,19,107,58000,160,108,2400,200,40012,1,60
20,20,107,60000,180,108,2600,220,40012,1,70
