Table:CsvScoreLuckyAward,,,,,,,,
tid,group_id,times,clear_num,success_prob,success_drop,fail_drop,show_items:a,show_count:a
#,概率组,次数,次数重置值,掉落成功概率,成功掉落组,失败掉落组,展示物品,展示物品数量
#第一组：10101,,,,,,,,
10101,10101,1,1,0,9001,9002,"2011,50044,40022,107","50,2,30,500000"
10102,10101,2,1,1000,9001,9002,"2011,50044,40022,107","50,2,30,500000"
10103,10101,3,1,3000,9001,9002,"2011,50044,40022,107","50,2,30,500000"
10104,10101,4,1,6000,9001,9002,"2011,50024,40022,107","50,2,30,500000"
10105,10101,5,1,10000,9001,9002,"2011,50024,40022,107","50,2,30,500000"
#第二组：20101,,,,,,,,
20101,20101,1,1,0,9001,9002,"2011,50044,40022,107","50,2,30,500000"
20102,20101,2,1,1000,9001,9002,"2011,50044,40022,107","50,2,30,500000"
20103,20101,3,1,3000,9001,9002,"2011,50044,40022,107","50,2,30,500000"
20104,20101,4,1,6000,9001,9002,"2011,50024,40022,107","50,2,30,500000"
20105,20101,5,1,10000,9001,9002,"2011,50024,40022,107","50,2,30,500000"
