Table:CsvScoreLuckyRank,,
tid,items:a,items_count:a
#,奖励物品列表,奖励物品数量列表
#,最多四个,最多四个
#,第一组：10101,
10101,"2011,50044,40022,107,","50,2,30,500000,"
10102,"2011,50044,40022,107,","50,1,25,480000,"
10103,"2011,50044,40022,107,","50,1,25,450000,"
10104,"2011,50024,40022,107,","50,40,20,420000,"
10105,"2011,50024,40022,107,","50,40,20,400000,"
10106,"2011,50024,40022,107,","50,40,15,390000,"
10107,"2011,50024,40022,107,","40,30,15,380000,"
10108,"2011,50024,40022,107,","40,30,15,370000,"
10109,"2011,50024,40022,107,","40,30,15,360000,"
10110,"2011,50024,40022,107,","40,30,15,350000,"
10111,"2011,50024,40022,107,","30,20,10,340000,"
10112,"2011,50024,40022,107,","30,20,10,330000,"
10113,"2011,50024,40022,107,","30,20,10,320000,"
10114,"2011,50024,40022,107,","30,20,10,310000,"
10115,"2011,50024,40022,107,","30,20,10,300000,"
10116,"2011,50024,40022,107,","30,20,10,290000,"
10117,"2011,50024,40022,107,","30,20,10,280000,"
10118,"2011,50024,40022,107,","30,20,10,270000,"
10119,"2011,50024,40022,107,","30,20,10,260000,"
10120,"2011,50024,40022,107,","30,20,10,250000,"
10121,"2011,50024,40022,107,","20,10,5,240000,"
10122,"2011,50024,40022,107,","20,10,5,230000,"
10123,"2011,50024,40022,107,","20,10,5,220000,"
10124,"2011,50024,40022,107,","20,10,5,210000,"
10125,"2011,50024,40022,107,","20,10,5,200000,"
10126,"2011,50024,40022,107,","20,10,5,190000,"
10127,"2011,50024,40022,107,","20,10,5,180000,"
10128,"2011,50024,40022,107,","20,10,5,170000,"
10129,"2011,50024,40022,107,","20,10,5,160000,"
10130,"2011,50024,40022,107,","20,10,5,150000,"
#,第二组：20101,
20101,"2012,50044,40022,107,","50,2,30,500000,"
20102,"2012,50044,40022,107,","50,1,25,480000,"
20103,"2012,50044,40022,107,","50,1,25,450000,"
20104,"2012,50024,40022,107,","50,40,20,420000,"
20105,"2012,50024,40022,107,","50,40,20,400000,"
20106,"2012,50024,40022,107,","50,40,15,390000,"
20107,"2012,50024,40022,107,","40,30,15,380000,"
20108,"2012,50024,40022,107,","40,30,15,370000,"
20109,"2012,50024,40022,107,","40,30,15,360000,"
20110,"2012,50024,40022,107,","40,30,15,350000,"
20111,"2012,50024,40022,107,","30,20,10,340000,"
20112,"2012,50024,40022,107,","30,20,10,330000,"
20113,"2012,50024,40022,107,","30,20,10,320000,"
20114,"2012,50024,40022,107,","30,20,10,310000,"
20115,"2012,50024,40022,107,","30,20,10,300000,"
20116,"2012,50024,40022,107,","30,20,10,290000,"
20117,"2012,50024,40022,107,","30,20,10,280000,"
20118,"2012,50024,40022,107,","30,20,10,270000,"
20119,"2012,50024,40022,107,","30,20,10,260000,"
20120,"2012,50024,40022,107,","30,20,10,250000,"
20121,"2012,50024,40022,107,","20,10,5,240000,"
20122,"2012,50024,40022,107,","20,10,5,230000,"
20123,"2012,50024,40022,107,","20,10,5,220000,"
20124,"2012,50024,40022,107,","20,10,5,210000,"
20125,"2012,50024,40022,107,","20,10,5,200000,"
20126,"2012,50024,40022,107,","20,10,5,190000,"
20127,"2012,50024,40022,107,","20,10,5,180000,"
20128,"2012,50024,40022,107,","20,10,5,170000,"
20129,"2012,50024,40022,107,","20,10,5,160000,"
20130,"2012,50024,40022,107,","20,10,5,150000,"
