Table:CsvMysteryShop,,,,,,,,,,,,
tid,level,commodity_group,num,is_free,paid_refresh,commodity_id,discription:s,price_type:PriceType,price,,,
#,等级组,商品组别,购买数量,是否免费刷新,刷新概率,商品ID,描述,价格类型,价格(总价),,,
111001,1,1,1,1,0,200011,初级格挡之一,钻石,100,,,
111002,1,1,1,1,0,200012,初级格挡之二,钻石,100,,,
111003,1,1,1,1,0,200013,初级格挡之三,钻石,100,,,
111004,1,1,1,1,0,200111,初级抵抗之一,钻石,100,,,
111005,1,1,1,1,0,200112,初级抵抗之二,钻石,100,,,
111006,1,1,1,1,0,200113,初级抵抗之三,钻石,100,,,
111007,1,1,1,1,0,200211,初级命中之一,钻石,100,,,
111008,1,1,1,1,0,200212,初级命中之二,钻石,100,,,
111009,1,1,1,1,0,200213,初级命中之三,钻石,100,,,
111010,1,1,1,1,0,200311,初级闪避之一,钻石,100,,,
111011,1,1,1,1,0,200312,初级闪避之二,钻石,100,,,
111012,1,1,1,1,0,200313,初级闪避之三,钻石,100,,,
111013,1,1,1,1,0,200411,初级暴击之一,钻石,100,,,
111014,1,1,1,1,0,200412,初级暴击之二,钻石,100,,,
111015,1,1,1,1,0,200413,初级暴击之三,钻石,100,,,
111016,1,1,1,1,350,200611,初级速度之一,钻石,100,,,
111017,1,1,1,1,350,200612,初级速度之二,钻石,100,,,
111018,1,1,1,1,350,200613,初级速度之三,钻石,100,,,
111019,1,1,1,1,350,200711,初级血量之一,钻石,100,,,
111020,1,1,1,1,350,200712,初级血量之二,钻石,100,,,
111021,1,1,1,1,350,200713,初级血量之三,钻石,100,,,
111022,1,1,1,1,0,200811,初级韧性之一,钻石,100,,,
111023,1,1,1,1,0,200812,初级韧性之二,钻石,100,,,
111024,1,1,1,1,0,200813,初级韧性之三,钻石,100,,,
111025,1,1,1,1,350,200911,初级物攻之一,钻石,100,,,
111026,1,1,1,1,350,200912,初级物攻之二,钻石,100,,,
111027,1,1,1,1,350,200913,初级物攻之三,钻石,100,,,
111028,1,1,1,1,350,201011,初级物防之一,钻石,100,,,
111029,1,1,1,1,350,201012,初级物防之二,钻石,100,,,
111030,1,1,1,1,350,201013,初级物防之三,钻石,100,,,
111031,1,1,1,1,350,201111,初级法攻之一,钻石,100,,,
111032,1,1,1,1,350,201112,初级法攻之二,钻石,100,,,
111033,1,1,1,1,350,201113,初级法攻之三,钻石,100,,,
111034,1,1,1,1,350,201211,初级法防之一,钻石,100,,,
111035,1,1,1,1,350,201212,初级法防之二,钻石,100,,,
111036,1,1,1,1,350,201213,初级法防之三,钻石,100,,,
111037,1,1,1,1,0,201311,初级穿透之一,钻石,100,,,
111038,1,1,1,1,0,201312,初级穿透之二,钻石,100,,,
111039,1,1,1,1,0,201313,初级穿透之三,钻石,100,,,
111040,1,1,1,1,0,201511,初级受治疗之一,钻石,100,,,
111041,1,1,1,1,0,201512,初级受治疗之二,钻石,100,,,
111042,1,1,1,1,0,201513,初级受治疗之三,钻石,100,,,
111043,1,1,1,1,0,200021,中级格挡之一,钻石,1000,,,
111044,1,1,1,1,0,200022,中级格挡之二,钻石,1000,,,
111045,1,1,1,1,0,200023,中级格挡之三,钻石,1000,,,
111046,1,1,1,1,0,200024,中级格挡之四,钻石,1000,,,
111047,1,1,1,1,0,200121,中级抵抗之一,钻石,1000,,,
111048,1,1,1,1,0,200122,中级抵抗之二,钻石,1000,,,
111049,1,1,1,1,0,200123,中级抵抗之三,钻石,1000,,,
111050,1,1,1,1,0,200124,中级抵抗之四,钻石,1000,,,
111051,1,1,1,1,0,200221,中级命中之一,钻石,1000,,,
111052,1,1,1,1,0,200222,中级命中之二,钻石,1000,,,
111053,1,1,1,1,0,200223,中级命中之三,钻石,1000,,,
111054,1,1,1,1,0,200224,中级命中之四,钻石,1000,,,
111055,1,1,1,1,0,200321,中级闪避之一,钻石,1000,,,
111056,1,1,1,1,0,200322,中级闪避之二,钻石,1000,,,
111057,1,1,1,1,0,200323,中级闪避之三,钻石,1000,,,
111058,1,1,1,1,0,200324,中级闪避之四,钻石,1000,,,
111059,1,1,1,1,0,200421,中级暴击之一,钻石,1000,,,
111060,1,1,1,1,0,200422,中级暴击之二,钻石,1000,,,
111061,1,1,1,1,0,200423,中级暴击之三,钻石,1000,,,
111062,1,1,1,1,0,200424,中级暴击之四,钻石,1000,,,
111063,1,1,1,1,154,200621,中级速度之一,钻石,800,,,
