Table:CsvServiceHappy,,,,,,,,,,
tid,name:s,service_day_num,tab_type:ServiceHappyType,finish_type:ServiceHappyFinishType,op:MathOp,op_value,premise_op:MathOp,premise_op_value,items:a,items_count:a
#,名称,开服天数,开服七天乐标签类型,开服七天乐完成类型,条件类型,完成条件,前提条件类型,前提条件（需要与程序约定好才生效）,物品列表,物品数量列表
# 第一天,,,,,,主条件，进度总值,,不填或为0代表没有前提条件,最多4个物品,
10001,登入奖励：第一天,1,每日福利,登入奖励,大于等于,1,大于等于,1,"103,40014","100,1"
10002,累计充值150元,1,每日福利,充值送道具,大于等于,150,大于等于,,900004,1
10003,累计充值300元,1,每日福利,充值送道具,大于等于,300,大于等于,,"40010,60002","5,5"
10004,指挥官到达10级,1,每日福利,指挥官等级,大于等于,10,大于等于,,201,100
10005,指挥官到达20级,1,每日福利,指挥官等级,大于等于,20,大于等于,,201,100
10006,指挥官到达25级,1,每日福利,指挥官等级,大于等于,25,大于等于,,201,100
10007,战力到达10000,1,每日福利,战力GS,大于等于,10000,大于等于,,103,100
10008,通关西部旷野,1,冒险,通关冒险地图,大于等于,3,大于等于,,103,100
10009,通关黑海岸,1,冒险,通关冒险地图,大于等于,5,大于等于,,103,100
10010,通关赤脊山,1,冒险,通关冒险地图,大于等于,7,大于等于,,103,100
10011,通关湿地,1,冒险,通关冒险地图,大于等于,9,大于等于,,103,100
10012,通关希尔斯布莱德,1,冒险,通关冒险地图,大于等于,11,大于等于,,103,100
10013,通关夜色森林,1,冒险,通关冒险地图,大于等于,13,大于等于,,103,100
10014,通关荆棘谷,1,冒险,通关冒险地图,大于等于,15,大于等于,,103,100
10015,穿戴5件装备,1,英雄,最高穿戴装备数量,大于等于,5,大于等于,,107,10000
10016,穿戴15件装备,1,英雄,最高穿戴装备数量,大于等于,15,大于等于,,107,30000
10017,强化装备60次,1,英雄,装备强化,大于等于,60,大于等于,,41011,5
10018,强化装备120次,1,英雄,装备强化,大于等于,120,大于等于,,41011,5
10019,强化装备200次,1,英雄,装备强化,大于等于,200,大于等于,,41011,5
10020,进行十次高级召唤,1,英雄,高级抽将次数,大于等于,10,大于等于,,40021,1
10021,进行二十次高级召唤,1,英雄,高级抽将次数,大于等于,20,大于等于,,40022,1
10022,进行三十次高级召唤,1,英雄,高级抽将次数,大于等于,30,大于等于,,40023,1
10023,拥有一名橙色英雄,1,英雄,拥有橙色英雄数量,大于等于,1,大于等于,,50025,5
10024,拥有两名橙色英雄,1,英雄,拥有橙色英雄数量,大于等于,2,大于等于,,"42001,42002","15,15"
10025,半价抢购:巫妖法袍,1,半价抢购,半价抢购,大于等于,1,大于等于,100,100740,1
10026,半价抢购:大坏蛋面具,1,半价抢购,半价抢购,大于等于,1,大于等于,120,100850,1
10027,半价抢购:鉴定之书,1,半价抢购,半价抢购,等于,,等于,200,40053,16
10028,半价抢购:黑色龙鳞战靴,1,半价抢购,半价抢购,等于,,等于,400,100940,1
10029,将一件装备进阶到1级,1,英雄,装备进阶次数,大于等于,1,大于等于,,40053,12
# 第二天,,,,,,,,,,
20001,登入奖励：第二天,2,每日福利,登入奖励,大于等于,1,大于等于,2,"103,40017","100,1"
20002,累计充值450元,2,每日福利,充值送道具,大于等于,450,大于等于,,"40009,60001","5,5"
20003,指挥官到达30级,2,每日福利,指挥官等级,大于等于,30,大于等于,,201,100
20004,指挥官到达35级,2,每日福利,指挥官等级,大于等于,35,大于等于,,201,100
20005,战力达到20000,2,每日福利,战力GS,大于等于,20000,大于等于,,103,100
20006,竞技场排名到达500内,2,竞技场,竞技场排名,小于等于,1,小于等于,500,110,300
20007,竞技场排名到达300内,2,竞技场,竞技场排名,小于等于,1,小于等于,300,110,500
20008,竞技场排名到达100内,2,竞技场,竞技场排名,小于等于,1,小于等于,100,110,800
20009,进行10次培养操作,2,竞技场,英雄培养次数,大于等于,10,大于等于,,108,1000
20010,进行30次培养操作,2,竞技场,英雄培养次数,大于等于,30,大于等于,,108,1500
20011,进行50次培养操作,2,竞技场,英雄培养次数,大于等于,50,大于等于,,108,2000
20012,合成任意技能书5次,2,夺宝,合成任意技能书,大于等于,5,大于等于,,40019,2
20013,合成任意技能书10次,2,夺宝,合成任意技能书,大于等于,10,大于等于,,40019,2
20014,合成任意技能书20次,2,夺宝,合成任意技能书,大于等于,20,大于等于,,40019,2
20015,合成中级技能书1次,2,夺宝,合成中级技能书,大于等于,1,大于等于,,40016,1
20016,合成中级技能书3次,2,夺宝,合成中级技能书,大于等于,3,大于等于,,40017,1
20017,合成高级技能书1次,2,夺宝,合成高级技能书,大于等于,1,大于等于,,40042,1
20018,合成高级技能书2次,2,夺宝,合成高级技能书,大于等于,2,大于等于,,40043,1
20019,总计抢夺10次,2,夺宝,总计抢夺次数,大于等于,10,大于等于,,40019,1
