Table:CsvShop,,,,,,,,,,,,,,,,,,,
tid,item_id,item_name:s,discription_text:s,discount_text:s,pack_num,price:a,ori_price,price_type:PriceType,limit_buy_time,limit_day_time,limit_serverandday_time,begin_level,end_level,vip_level,is_recommend,begin_time,end_time,is_bulk:b,sort
#,道具编号,道具名,显示描述,优惠描述,堆叠数,售价,原价,货币类型,永久限购次数,每天限购次数,全服每日限购次数,可购起始等级,可购结束等级,可购vip等级,是否显示于推荐,出售开始时间,出售结束时间,是否批量购买,排序
#战魂,,,,,,,,,,,,,,,,,,,
20001,108,战魂,战魂,,100,10,10,钻石,,0,,1,,1,,,,,
20002,108,战魂,战魂,10%,550,50,55,钻石,,0,,1,,1,,,,,
20003,108,战魂,战魂,20%,2400,200,240,钻石,,0,,1,,1,,,,,
20004,108,战魂,战魂,30%,26000,2000,2600,钻石,,0,,1,,1,,,,,
20005,108,战魂,战魂,50%,75000,5000,7500,钻石,,0,,1,,1,,,,,
#钻石,,,,,,,,,,,,,,,,,,,
30001,40014,体力丹（中）,体力丹（中）,,1,"50,100,100,100,200,200,200,200,200,200,300,300,300,300,300,400,400,400,400,400,500,",100,钻石,,1,,1,,0,,,,1,3
30002,40017,精力丹（中）,精力丹（中）,,1,"50,100,100,100,200,200,200,200,200,200,300,300,300,300,300,400,400,400,400,400,500,",100,钻石,,1,,1,,0,,,,1,4
30003,60001,氪金宝箱,氪金宝箱,,1,50,50,钻石,,5,,1,,0,,,,1,5
30004,60002,白银宝箱,白银宝箱,,1,20,20,钻石,,5,,1,,0,,,,1,6
30005,60003,青铜宝箱,青铜宝箱,,1,10,10,钻石,,5,,1,,0,,,,1,7
30006,40009,氪金钥匙,氪金钥匙,,1,25,25,钻石,,,,1,,0,,,,1,8
30007,40010,白银钥匙,白银钥匙,,1,10,10,钻石,,,,1,,0,,,,1,9
30008,40011,青铜钥匙,青铜钥匙,,1,5,5,钻石,,,,1,,0,,,,1,10
30009,40031,军团号角,军团号角,,1,300,300,钻石,,,,28,,0,,,,1,11
30010,40032,军团徽记,军团徽记,,1,600,600,钻石,,,,28,,0,,,,1,12
30011,90005,守望堡烈酒,守望堡烈酒,,1,20,20,钻石,,,,1,,0,,,,1,13
30012,40020,初级英雄经验书,初级英雄经验书,,1,10,10,钻石,,,,1,,0,,,,1,14
30013,40021,次级英雄经验书,次级英雄经验书,,1,15,15,钻石,,,,10,,0,,,,1,15
30014,40022,中级英雄经验书,中级英雄经验书,,1,30,30,钻石,,,,20,,0,,,,1,16
30015,40023,高级英雄经验书,高级英雄经验书,,1,50,50,钻石,,,,35,,0,,,,1,17
30016,40024,大师级英雄经验书,大师级英雄经验书,,1,100,100,钻石,,,,55,,0,,,,1,18
30017,40025,宗师级英雄经验书,宗师级英雄经验书,,1,200,200,钻石,,,,85,,0,,,,1,19
30018,40041,初级技能经验书,初级技能经验书,,1,100,100,钻石,,,,1,,0,,,,1,20
30019,40042,中级技能经验书,中级技能经验书,,1,500,500,钻石,,,,1,,0,,,,1,21
30020,40043,高级技能经验书,高级技能经验书,,1,1000,1000,钻石,,,,1,,0,,,,1,22
#,103,10000绑钻,10000绑钻,,10000,1,50000,钻石,,1,,1,,0,,,,,1
#,113,vip经验,vip经验,,5000,1,5000,钻石,,1,,1,,0,,,,,2
