Table:CsvHeroSkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,pro:s,icon:s,desc:s,attackType:AttackType,isNormal:b,isNuqi:b,requireNuqi,EtargetOrder:SkillTargetSelOrder,MtargetOrder:SkillTargetSelOrder,EtargetFilter:SkillTargetFilter,MtargetFilter:SkillTargetFilter,EselNum,MselNum,extraAttack,extraSameActor:b,EextraOrder:SkillTargetSelOrder,MextraOrder:SkillTargetSelOrder,EextraFilter:SkillTargetFilter,MextraFilter:SkillTargetFilter,noMotion4ExtraAttack:b,noEffect4ExtraAttack:b,sameAim4ExtraAttack:b,extraAttackDelay:a,buffTIDs:a,attackMotion,attackEffectTid:a,hurtEffectTid,hurtEffectTidOnMy,bloodNumDelayOnRecover:b,hurtUIEffectTid,shakeScreen:a,dodgeTime,specialEffectTids:s,skillFactor1,skillFactor2,skillFactor3,skillFactor4,skillFactor5,skillFactor6,skillFactor7,skillFactor8,skillFactor9,skillFactor10,skillFactor11,skillFactor12,active_skill_buff:s,para1:a,nuqi_effect,r_nuqi_effect,ignore_buffs:a
#,名字,职业,图标,描述,攻击类型,是否普通攻击,是否怒气技能,需要多少怒气才能释放,敌方排序,我方排序,敌方候选目标过滤,我方候选目标过滤,对敌方产生效果最大目标数量,对我方,额外攻击次数,是否能攻击之前攻击过的目标,额外攻击敌方排序,额外攻击我方排序,额外攻击敌方候选目标过滤,额外攻击我方候选目标过滤,额外的攻击不产生攻击动作,额外攻击不产生攻击光效,额外攻击不改变目标,额外攻击的延迟时间,buff tid数组,攻击动作,攻击光效,受创光效,受创光效对自己,加血的飘数字效果要延迟,受创UI光效,震屏,如果被闪避，闪避停留时间,特殊光效集合,技能系数1,技能系数2,技能系数3,技能系数4,技能系数5,技能系数6,技能系数7,技能系数8,技能系数9,技能系数10,技能系数11,技能系数12,技能释放前和释放后处理,,,,
#英雄技能,,,,,,,,,,,,,不填或0只对我方产生影响,不填或0表示只对敌方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
1001,剑刃乱舞,大范2,SkillIcons/jianrenluanwu,对敌方单体目标造成110%的物理伤害，攻击3次,物理,,是,100,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,,,,,,2,,8,,,,,,,11000,11000,11000,,,,,,,,,,,,30001,30002,
1002,风暴之锤,山丘之王,SkillIcons/fengbaozhichui,对敌方一排目标造成117%的物理伤害并有20%的几率造成眩晕,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30008,",2,6,7,,,,"20,20,0,10,10",,,11700,11700,11700,,,,,,,,,,,,30001,30002,
1003,宁静,月之女祭司,SkillIcons/ningjing,引导技能，治疗己方全体相当于攻击力11%的生命值，持续3次,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,6,2,是,按血量从低到高,按血量从低到高,活的,活的,是,,,,,2,4,,,,,,,,,,,,,,1140,1140,1140,1140,1140,1140,,,30001,30002,
1004,烧尽,基丹,SkillIcons/shaojin,对敌方一列目标造成136%的法术伤害，并有50%的几率附加燃烧状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,"30011,",1,"10271,10272",10273,,,,,,,13600,12000,,,,,,,,,,,,,30001,30002,
1005,烈焰风暴,逐日者,SkillIcons/lieyanfengbao,对敌方全体目标造成64%的法术伤害，并有30%的几率附加燃烧状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30012,",2,1008,,,,,,,AttackMotionA:1007,6400,6400,6400,6400,6400,6400,,,,,,,,,30001,30002,
1006,神圣新星,大检察官,SkillIcons/shenshengxinxing,对敌方全体目标造成37%的法术伤害，治疗己方全体相当于攻击力17%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,6,6,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,53,56,55,,,,,AttackMotionA:54,3750,3750,3750,3750,3750,3750,1700,1700,1700,1700,1700,1700,,,30001,30002,
1007,圣盾术,大帝,SkillIcons/shengdunshu,为自己添加无敌效果一回合（至多抵挡2次伤害），并驱散身上所有debuff,物理,,是,100,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,0,1,,,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,,,,,"30028,30009,",2,,,,,,,,AttackMotionA2:48,,,,,,,,,,,,,,,30001,30002,
1008,治疗链,天灾首领,SkillIcons/zhiliaolian,治疗己方生命值最低英雄相当于攻击力58%的生命值，并会随机延展到其他2个英雄身上，每次效果下降,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,2,否,随机,随机,活的,活的,是,,,,,1,20322,,20323,,,,,AttackMotionA:20321,,,,,,,5800,5300,4500,,,,,,30001,30002,
1009,风暴打击,霜狼督军,SkillIcons/fengbaodaji,对敌方一列目标造成170%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,83,84,,,,"20,20,0,15,10",,,17000,15000,,,,,,,,,,,,,30001,30002,
1010,放气,瑟莱德丝公主,SkillIcons/linshiziyuan_02,对敌方全部目标造成75%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,60,61,,,,,,,7500,7500,7500,7500,7500,7500,,,,,,,,,30001,30002,
1011,刀扇,守望者,SkillIcons/daoshan,对敌方一排目标造成117%的物理伤害，并有50%的几率降低25点怒气,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30016,",2,10301,,,,,,,,11700,11700,11700,,,,,,,,,,,,30001,30002,
1012,伏击,刺客,SkillIcons/fuji,对敌方单体目标造成230%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,,,,,,"20,20,0,10,10",,,23000,,,,,,,,,,,,,,30001,30002,
1013,治疗之环,神仙姐姐,SkillIcons/zhiliaozhihuan,治疗己方生命值最低的三个英雄相当于攻击力53%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,3,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,,,,,,,,,,,,,,,5300,5300,5300,,,,,,30001,30002,
#,#,冰锥术,SkillIcons/bingzhuishu,对敌方一列目标造成170%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,"42,43",44,,,,,500,AttackMotionA:43,17000,15000,,,,,,,,,,,,,30001,30002,
1015,圣疗术,,SkillIcons/shengliaoshu,为己方一个英雄恢复相当于攻击力105%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,73,,74,,,,,,,,,,,,10500,,,,,,,,30001,30002,
#,噬灵瘟疫,,SkillIcons/linshiziyuan_04,,,,是,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
1017,奥术飞弹,大法师,SkillIcons/aoshufeidan,对敌方单体目标造成110%的法术伤害，攻击3次,法术,,是,100,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,是,,,,,2,20663,20664,,,,,,AttackMotionA:20661;AttackMotionA2:20662,11000,11000,11000,,,,,,,,,,,,30001,30002,
