Table:CsvCommanderSkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,pro:s,icon:s,icon_circle:s,desc:s,attackType:AttackType,isAoyi:b,EtargetOrder:SkillTargetSelOrder,MtargetOrder:SkillTargetSelOrder,EtargetFilter:SkillTargetFilter,MtargetFilter:SkillTargetFilter,EselNum,MselNum,extraAttack,extraSameActor:b,EextraOrder:SkillTargetSelOrder,MextraOrder:SkillTargetSelOrder,EextraFilter:SkillTargetFilter,MextraFilter:SkillTargetFilter,noMotion4ExtraAttack:b,extraAttackDelay:a,buffTIDs:a,attackMotion,attackEffectTid:a,hurtEffectTid,hurtEffectTidOnMy,hurtUIEffectTid,bloodNumDelay:b,bloodNumDelayOnRecover:b,shakeScreen:a,specialEffectTids:s,coolDown,skillFactor1,skillFactor2,skillFactor3,skillFactor4,skillFactor5,skillFactor6,skillFactorToECommand,skillFactor7,skillFactor8,skillFactor9,skillFactor10,skillFactor11,skillFactor12,skillFactorToMCommand,canUseWhenOneAllDead:b,active_skill_buff:s,para1:a
#,名字,职业,图标,图标,描述,攻击类型,是否奥义技能,敌方排序,我方排序,敌方候选目标过滤,敌方候选目标过滤,对敌方产生效果最大目标数量,对我方,额外攻击次数,是否能攻击之前攻击过的目标,额外攻击敌方排序,额外攻击我方排序,额外攻击敌方候选目标过滤,额外攻击我方候选目标过滤,额外的攻击不产生攻击动作,额外攻击的延迟时间,,攻击动作,攻击光效,受创光效,受创光效对自己,受创UI光效,受创飘血效果要延迟,加血的飘血效果要延迟,震屏,特殊光效集合,冷却回合数,技能系数1,技能系数2,技能系数3,技能系数4,技能系数5,技能系数6,对敌方指挥官,技能系数7,技能系数8,技能系数9,技能系数10,技能系数11,技能系数12,对我方指挥官,有一方死完能否使用,技能释放前和释放后处理,
#,已启用的技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,火球术,法师,SkillIcons/huoqiushu_01,SkillIcons/huoqiushu_02,对敌方单个英雄造成大量伤害,法术,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,1,1,5,,,,,,,1,34500,,,,,,,,,,,,,,否,,
10002,暴风雪,法师,SkillIcons/baofengxue_01,SkillIcons/baofengxue_02,对敌方全体英雄造成法术伤害，并持续三波,法术,否,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,"250, 700",,2,,,,,,,,AttackMotionA:2,1,3500,3500,3500,3500,3500,3500,,,,,,,,,否,,
10003,变形术,法师,SkillIcons/bianxingshu_01,SkillIcons/bianxingshu_02,将敌方单个英雄变成无法行动的小鸡,法术,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,"40001,40002",1,14,15,,,,,,,3,,,,,,,,,,,,,,,否,,
10004,炎爆术,法师,SkillIcons/yanbaoshu_01,SkillIcons/yanbaoshu_02,对敌方单个英雄造成巨量伤害,法术,是,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,1,12,13,,,,,,,0,60000,,,,,,,,,,,,,,否,,
20001,援护,战士,SkillIcons/yuanhu_01,SkillIcons/yuanhu_02,必定可以抵挡下一次的敌方攻击,物理,否,按位置大到小,按位置大到小,本方指挥官,本方指挥官,0,1,,,按位置大到小,按位置大到小,本方指挥官,本方指挥官,,,40005,2,1009,,,,,,,,3,,,,,,,,,,,,,,,否,,
20002,致死打击,战士,SkillIcons/zhisidaji_01,SkillIcons/zhisidaji_02,对敌方单体造成物理伤害并降低治疗效果,物理,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,"40003,41001,",1,10291,10292,,,,,"20,20,0,1,1",,1,30000,,,,,,,,,,,,,,否,,
20003,破甲攻击,战士,SkillIcons/pojiagongji_01,SkillIcons/pojiagongji_02,对敌方单体造成物理伤害并降低其护甲,物理,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,"40004,41002,",1,10201,10202,,,,,"20,20,0,1,1",,1,30000,,,,,,,,,,,,,,否,,
20004,旋风斩,战士,SkillIcons/xuanfengzhan_01,SkillIcons/xuanfengzhan_02,对敌方全体英雄造成大量物理伤害,物理,是,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,3,52,,,,,,"20,20,0,1,1",,0,14000,14000,14000,14000,14000,14000,,,,,,,,,否,,
