Table:CsvSpeakUI,,,
tid,content:s,time,cd
#,内容,发言持续时间,两次说话直接的间隔
#,以下是竞技场随机发言,,
10001,你惨了，遇到我是你最不幸的事。,4,2
10002,快来挑战我啊！我要把你打得满地找牙！,5,2
10003,快点快点，我都站累了。,7,3
10004,哈哈哈哈哈，来了只菜鸡！,5,4
#,以下是战役发言（tid对应战役tid）,,
20101,只有战胜我们五位四天王才能副本通关，等等，为什么四天王会有五个人？,5,0
20102,BOOM！不想被炸飞就把星级调低点。,5,0
20103,哇啦哇啦哇啦！,5,0
20104,蠢货，我们的事业是正义的！,5,0
20105,希望于我来说，只是这个冷酷的世界当中一个恶毒的玩笑罢了。,5,0
20201,欢迎进入亡者的世界。,5,0
20202,这里不欢迎活人！,5,0
20203,入侵者？,5,0
20204,嗷呜~,5,0
20205,谁敢打扰影牙堡主？在我的法术下颤抖吧。,5,0
20301,没有人，能与毒蛇之王抗衡。,5,0
20302,我是毒蛇之王，我无所不能。,5,0
20303,我的龟壳可是相当的硬啊，你确定已经换上战士的破甲了么？,5,0
20304,哇啦哇啦哇啦！,5,0
20305,只有降低治疗效果的技能才能阻止我的永生。,5,0
20401,看我这厚厚的龟壳，物理攻击对我是无效的，只有法术才能造成伤害。,5,0
20402,你们不该来这里……杀了他们!,5,0
20403,哇啦哇啦哇啦！,5,0
20404,湮没在海洋中吧。,5,0
20405,谁能抵挡我的全力一击！,5,0
20501,关门，放狗！,5,0
20502,你不能玷污这些圣迹！让正义的火焰吞噬你们吧！,5,0
20503,哈，你们就这点本事吗？,5,0
20504,异教徒？……净化他们！,5,0
20505,莫格莱尼倒下了，你们要为此付出代价！,5,0
20601,哼哼……,5,0
20602,哼哼……,5,0
20603,不久之后，天灾军团就会统治整个世界。,5,0
20604,我闻到了活人的臭味。我要吃了你们！,5,0
20605,来吧 ，死者的魂灵，来的你们的主人身边。,5,0
20701,没有人能盗取造物之神的秘密。,5,0
20702,以索瑞森的胡须的名义，杀了他们！,5,0
20703,我，格瑞姆洛克，是国王！,5,0
20704,咔噔……,5,0
20705,谁敢唤醒阿扎达斯？谁敢冒犯造物之神？,5,0
20801,沙怒王国是无敌的！,5,0
20802,来陪我过个泼水节吧。,5,0
20803,啊，沙漠会将你吞噬！,5,0
20804,这片沙漠是我的。感受沙漠的愤怒吧！,5,0
20805,吼……,5,0
20901,哗啦……,5,0
20902,又一个牺牲品。,5,0
20903,不来和我做一笔交易么？,5,0
20904,救救我，把我从诅咒中解救出去。,5,0
20905,大地的力量！,5,0
21001,我离你们的世界越来越近了。我要品尝生命的鲜血。,5,0
21002,防护盾消失了，起来吧，阿塔莱，起来吧！,5,0
21003,吼……,5,0
21004,吼……,5,0
21005,从我的阴影中滚出去！,5,0
21101,黑石深渊是我们的！,5,0
21102,招不招？不招再打！,5,0
21103,燃烧吧，黑石山的火焰！,5,0
21104,咔噔……,5,0
21105,我，才是黑石山的国王！,5,0
21201,把你的能量献给我！,5,0
21202,受死吧，入侵者！,5,0
21203,你想要当国王么？,5,0
21204,你要挑战国王的威严？！,5,0
21205,你休想窃取魔法的奥秘！,5,0
21301,！！！！！,5,0
21302,讲课开始了~,5,0
21303,新鲜的……血肉……,5,0
21304,自从没有了血肉，感觉身体轻松多了。,5,0
21305,开始上课！,5,0
21401,提米……提米……,5,0
21402,吃我一炮！,5,0
21403,去死吧，亡灵！,5,0
21404,吸取生命。,5,0
21405,血色十字军这群白痴，居然不知道他们的领袖是个恶魔。,5,0
21501,安息吧，灵魂！,5,0
21502,这儿有活人！！！,5,0
21503,天灾塔被摧毁了，快来保护！,5,0
21504,拉姆斯登想吃肉啦！,5,0
21505,入侵者快离开我的领地！,5,0
21601,去死吧！！！,5,0
21602,！！！！！,5,0
21603,吼……,5,0
21604,吼……,5,0
21605,杀了他们！,5,0
21701,去死吧，入侵者！,5,0
21702,死吧！,5,0
21703,我们才是真正的部落,5,0
21704,吼……,5,0
21705,杀了他们！,5,0
#,以下是偶遇福利npc随机发言,,
30001,时间就是金钱，我的朋友。,6,4
30002,我这里可是童叟无欺，货真价实。,6,4
30003,啊，又一个潜在的客户。,6,4
30004,很高兴认识你！我们有生意往来吗？,6,4
